,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,,
33,CO2,LGBM_separate,0.944068275,0.84899715,-1,-1,0.951859418,0.654460029,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.896664434,0.770878084,0.727193807,0.779780966,0.697031176,0.771521468,0.852867914,0.754435086,0.841609413,0.77,0.07
34,CO2,BGLGBM_separate,0.948809091,0.769395438,-1,-1,0.954723826,0.596342312,{'n_estimators': 50},0.775606677,0.648093768,0.641034534,0.684687343,0.634857022,0.797774875,0.795276827,0.616895594,0.695111656,0.69,0.08
35,CFCs,DT_separate,0.855294296,1.223801772,-1,-1,0.791664705,6.794981831,{'criterion': 'squared_error'},1.578648976,0.678018065,1.441403345,2.650849039,1.579688154,1.842856026,0.738933756,3.875218479,2.564486116,2.37,1.82
36,CFCs,GBR_separate,0.91742667,0.816748903,-1,-1,0.901893061,1.596971942,"{'learning_rate': 0.1, 'n_estimators': 200}",0.72443211,0.145184713,0.704400825,1.04715097,0.12659277,1.467598919,0.06193304,0.944621564,0.881827145,0.77,0.54
37,CFCs,BG_separate,0.863465111,1.178013905,-1,-1,0.895127842,1.934333732,{'n_estimators': 100},0.796370198,0.389686301,1.238175214,1.615400919,0.715697215,2.142412524,0.071248129,3.864689862,1.983309539,1.48,1.10
38,CFCs,ETR_separate,0.883916981,1.058157259,-1,-1,0.818224716,5.08621046,{'n_estimators': 180},0.856941803,0.316983036,1.104520925,1.284220668,0.139958219,1.920052792,0.102845301,2.507352361,1.93373354,1.53,1.49
39,CFCs,RF_separate,0.863102105,1.184003749,-1,-1,0.892802473,2.087593054,{'n_estimators': 200},0.801315548,0.390935736,1.235410175,1.614452871,0.738649046,2.057098081,0.087460609,3.869093516,1.945616564,1.48,1.10
40,CFCs,LGBM_separate,0.919254466,0.715785968,-1,-1,0.874195862,1.716675732,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 20}",0.58792845,0.192789799,0.228433886,1.876898525,0.415069162,1.315933675,0.290044663,0.783765339,1.091665632,0.85,0.62
41,CFCs,BGLGBM_separate,0.919737934,0.81065226,-1,-1,0.829528945,2.249417116,{'n_estimators': 50},0.455884779,0.191954864,0.619933804,0.959722336,0.306320792,1.317336943,0.066287323,0.853978183,1.288311561,0.83,0.66
42,Methane,DT_separate,0.838899733,1.965281692,-1,-1,0.859141714,1.612569135,{'criterion': 'friedman_mse'},1.410951006,1.615651779,1.395179153,1.664155251,1.734929682,1.248082963,1.660920422,1.923547882,1.495454686,1.58,0.19
43,Methane,GBR_separate,0.912970501,1.053683154,-1,-1,0.9166232,0.924912899,"{'learning_rate': 0.5, 'n_estimators': 200}",0.833634719,0.787962668,0.74111666,0.933344771,0.786546825,0.936153236,1.431168777,0.956952755,0.88108238,0.92,0.19
44,Methane,BG_separate,0.910589803,1.082606793,-1,-1,0.910791502,0.966201843,{'n_estimators': 100},0.807499857,0.73296375,0.729391334,0.92936238,1.028125161,0.798857996,0.901700438,1.12561468,0.850518758,0.89,0.13
45,Methane,ETR_separate,0.926091145,0.885619034,-1,-1,0.915646741,0.90558081,{'n_estimators': 200},0.694639656,0.720161002,0.681652601,0.907432282,0.933611805,0.890852563,0.801633138,1.073761702,0.759662478,0.84,0.13
46,Methane,RF_separate,0.911826656,1.068184444,-1,-1,0.910909216,0.964129518,{'n_estimators': 200},0.829408406,0.725732388,0.727129873,0.93961918,1.01182726,0.801914068,0.899798966,1.126643121,0.852496067,0.89,0.13
47,Methane,LGBM_separate,0.926714377,0.88685246,-1,-1,0.935855688,0.719355521,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",0.779591702,0.565050193,0.581279169,0.840186278,0.861659229,0.669262943,0.784102865,1.042918699,1.046999678,0.79,0.17
48,Methane,BGLGBM_separate,0.930452964,0.835209538,-1,-1,0.931683473,0.755967854,{'n_estimators': 50},0.753074976,0.563799118,0.535657156,0.757300107,0.816001875,0.731429996,0.75227025,0.967420699,0.737333319,0.74,0.12
49,E&E,DT_separate,0.832734918,1.343576553,-1,-1,0.880920013,0.928913786,{'criterion': 'squared_error'},1.095729767,1.516492121,1.068959595,0.995462636,1.131964445,1.22317884,0.987855125,1.468468969,1.087266615,1.15,0.20
50,E&E,GBR_separate,0.937371678,0.496632288,-1,-1,0.947098722,0.377587234,"{'learning_rate': 0.5, 'n_estimators': 200}",0.385449421,0.641361921,0.503017429,0.345104923,0.401958841,0.583337652,0.370236902,0.69916474,0.453864959,0.48,0.13
51,E&E,BG_separate,0.898716342,0.810924692,-1,-1,0.923242629,0.533251482,{'n_estimators': 100},0.760155653,1.030421224,0.77920122,0.563879926,0.596420873,0.80418699,0.709336989,0.919283032,0.658113433,0.74,0.16
52,E&E,ETR_separate,0.908097493,0.739755463,-1,-1,0.909119468,0.620144089,{'n_estimators': 180},0.663938154,1.118683596,0.716958905,0.373619889,0.593644852,0.689797326,0.692356647,0.901573475,0.571312914,0.69,0.20
53,E&E,RF_separate,0.899317979,0.806774711,-1,-1,0.92384259,0.528213897,{'n_estimators': 200},0.764083822,1.018835255,0.768860017,0.567096864,0.592200871,0.79035269,0.701210774,0.922002821,0.655060833,0.73,0.16
54,E&E,LGBM_separate,0.934641509,0.525733503,-1,-1,0.948224893,0.363140461,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 30}",0.373794,0.705481322,0.522843722,0.30115384,0.427570764,0.503967387,0.486212817,0.618463878,0.459093974,0.48,0.12
55,E&E,BGLGBM_separate,0.937153738,0.508617594,-1,-1,0.949578147,0.342415993,{'n_estimators': 50},0.385713767,0.702949708,0.502436185,0.296105485,0.354466322,0.474228824,0.427509874,0.637850642,0.444251898,0.46,0.13
