,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,,
30,CO2,BG_separate,0.930530025,1.029393824,-1,-1,0.94149497,0.803269279,{'n_estimators': 100},1.040416922,0.82705689,0.892575523,0.976484629,0.83318808,1.272372975,1.059345877,0.788072817,0.912463889,0.94,0.15
31,CO2,ETR_separate,0.936673465,0.934569631,-1,-1,0.939643557,0.79774477,{'n_estimators': 180},1.055212381,0.789114983,0.948830144,0.976637617,0.815792047,1.155275467,1.07962562,0.748367564,0.953372645,0.93,0.14
32,CO2,RF_separate,0.930888538,1.023934831,-1,-1,0.941415587,0.798558337,{'n_estimators': 120},1.046584801,0.832937593,0.892829914,0.966226093,0.836762688,1.269203681,1.051098308,0.806430641,0.917815836,0.94,0.15
33,CO2,LGBM_separate,0.938554083,0.923557858,-1,-1,0.946690178,0.754717071,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",1.052654621,0.690713077,0.769987467,0.842984129,0.72057598,0.937693617,0.76455271,0.768510065,0.871287421,0.82,0.11
34,CO2,BGLGBM_separate,0.945475334,0.815107075,-1,-1,0.952923307,0.643769929,{'n_estimators': 50},0.94329854,0.656697556,0.717479329,0.763852269,0.648119959,0.87607699,0.827629762,0.621207916,0.760529828,0.75,0.11
35,CFCs,DT_separate,0.853869355,1.086743803,-1,-1,0.793498602,6.758876164,{'criterion': 'absolute_error'},1.462338913,0.675084373,1.43044889,2.472691301,1.582080651,1.716405354,0.854737271,3.841594085,2.636455978,2.343071298,1.808175378
36,CFCs,GBR_separate,0.928755002,0.677725398,-1,-1,0.908742961,1.569854191,"{'learning_rate': 0.1, 'n_estimators': 200}",0.623056672,0.122259275,0.634816888,1.074562584,0.129194486,1.495131312,0.056346468,0.798780303,1.052125665,0.76,0.55
37,CFCs,BG_separate,0.878748596,0.977339627,-1,-1,0.897844144,1.968395274,{'n_estimators': 100},0.799908915,0.393857412,1.24264113,1.604903214,0.71385149,1.978413499,0.068742267,3.84126,1.982543031,1.46,1.09
38,CFCs,ETR_separate,0.916586536,0.666811389,-1,-1,0.839643639,4.150117043,{'n_estimators': 150},0.910516079,0.30416728,0.650274241,1.180924667,0.152869678,1.702974634,0.061482606,0.901383807,1.707716426,1.17,1.2
39,CFCs,RF_separate,0.878794218,0.966395346,-1,-1,0.896720024,2.017450299,{'n_estimators': 150},0.799344107,0.391687716,1.275222342,1.614195828,0.747208812,1.967245023,0.090447069,3.837269621,1.973738025,1.47,1.08
40,CFCs,LGBM_separate,0.932009122,0.542653848,-1,-1,0.879595812,1.75179847,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 10}",0.697984565,0.282106459,0.413033462,1.604564323,0.482623671,1.313319013,0.235882196,0.836394391,1.039834209,0.87,0.55
41,CFCs,BGLGBM_separate,0.938814309,0.568937198,-1,-1,0.82273726,2.312309705,{'n_estimators': 50},0.441277441,0.221384628,0.609193938,0.965030849,0.303869935,1.192339925,0.060835248,0.771176248,1.303835676,0.82,0.67
42,Methane,DT_separate,0.831524686,2.039648869,-1,-1,0.844163999,1.809921667,{'criterion': 'friedman_mse'},1.533572672,1.33542586,1.266484447,1.768434015,1.807463119,1.278078171,1.456623653,2.25547238,1.841864616,1.63533406,0.316398268
43,Methane,GBR_separate,0.91124588,1.068107989,-1,-1,0.906479996,1.040443085,"{'learning_rate': 0.5, 'n_estimators': 200}",0.937220056,0.765498714,0.700507863,1.110439724,1.073402139,0.99336357,1.399396247,1.272811624,0.843775402,1.01,0.22
44,Methane,BG_separate,0.903211203,1.171940523,-1,-1,0.905431267,1.033413629,{'n_estimators': 100},0.981826326,0.827304124,0.741894296,1.002424911,1.055993708,0.819126318,0.943905015,1.189780947,0.902842048,0.95,0.13
45,Methane,ETR_separate,0.916739254,1.000657748,-1,-1,0.903089196,1.038569294,{'n_estimators': 200},0.868555246,0.857328216,0.729616531,0.978860073,0.975944482,0.981377238,0.940037592,1.145317458,0.828913477,0.93,0.12
46,Methane,RF_separate,0.904035821,1.16102556,-1,-1,0.904859169,1.03655209,{'n_estimators': 200},0.988551854,0.819028075,0.732564814,0.98040541,1.048212214,0.810871839,0.949787237,1.185720754,0.909827088,0.95,0.13
47,Methane,LGBM_separate,0.908123337,1.100569311,-1,-1,0.925394053,0.853604433,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",1.018268302,0.742819984,0.64013149,0.967318081,1.065773633,0.824303,0.942572447,1.098469266,0.862880676,0.9,0.14
48,Methane,BGLGBM_separate,0.922735993,0.929433297,-1,-1,0.925906868,0.829921476,{'n_estimators': 50},0.905787559,0.622503677,0.601426243,0.802303345,0.846995802,0.715517172,0.835294123,1.055884377,0.718993659,0.79,0.14
49,E&E,DT_separate,0.824379209,1.39442333,-1,-1,0.884460852,0.917089901,{'criterion': 'squared_error'},1.138538679,1.489043301,1.061301306,0.921897959,1.133579131,1.261072372,1.214149411,1.270764316,0.931344878,1.133878125,0.184313632
50,E&E,GBR_separate,0.9233227,0.60936413,-1,-1,0.938295406,0.394047083,"{'learning_rate': 0.5, 'n_estimators': 200}",0.445745218,0.713943353,0.691333702,0.364158198,0.417640422,0.580069031,0.40064094,0.749998603,0.494942156,0.53,0.15
51,E&E,BG_separate,0.89725525,0.8246771,-1,-1,0.914217801,0.601762201,{'n_estimators': 100},0.808413,1.000781327,0.828311082,0.585288086,0.70150628,0.897312199,0.821572391,0.907337773,0.664681505,0.78,0.14
52,E&E,ETR_separate,0.899614522,0.805096548,-1,-1,0.889126171,0.747618945,{'n_estimators': 100},0.766436999,1.188909578,0.788331517,0.463359367,0.716066953,0.727597761,0.808910589,0.934309939,0.632656938,0.78,0.19
53,E&E,RF_separate,0.897073902,0.827168426,-1,-1,0.914870457,0.594004961,{'n_estimators': 200},0.825674053,1.013353449,0.826405687,0.578175748,0.683583973,0.896626588,0.823307375,0.894937048,0.656220614,0.78,0.14
54,E&E,LGBM_separate,0.931526794,0.554178568,-1,-1,0.944734649,0.378859236,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 30}",0.421701206,0.718343844,0.645769042,0.337899249,0.433268878,0.546732534,0.429459047,0.730500101,0.477325891,0.51,0.14
55,E&E,BGLGBM_separate,0.932783047,0.546177996,-1,-1,0.947033449,0.358212612,{'n_estimators': 50},0.428486278,0.717554337,0.553404801,0.310938911,0.391093005,0.520759648,0.442981093,0.720058371,0.44624038,0.49,0.14
