,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,,
10,Methane,BG_total,0.923911091,1.026704704,0.928713502,0.860151786,0.911407911,0.982812404,{'n_estimators': 100},0.807129991,0.786415968,0.667967152,0.936034663,0.930572778,0.84387333,0.928984594,1.037087965,1.068162388,0.9,0.12
11,E&E,BG_total,0.923911091,1.026704704,0.928713502,0.860151786,0.929746334,0.502010086,{'n_estimators': 100},0.683241529,0.990431702,0.731500319,0.604866429,0.555175858,0.883033869,0.743731192,0.986606072,0.565444143,0.72,0.18
12,CO2,ETR_total,0.932274861,0.922539282,0.935316592,0.769134692,0.941709295,0.745081599,{'n_estimators': 200},0.918416419,0.689715861,0.830149971,0.886264731,0.795711497,1.001536731,1.037195519,0.732471261,0.848717961,0.85,0.11
13,CFCs,ETR_total,0.932274861,0.922539282,0.935316592,0.769134692,0.845062399,2.039335654,{'n_estimators': 200},0.262684811,0.380450571,0.592717857,0.137931285,0.252756233,0.892995012,0.092937046,2.334098759,2.328859174,0.93,0.93
14,Methane,ETR_total,0.932274861,0.922539282,0.935316592,0.769134692,0.922029226,0.871402412,{'n_estimators': 200},0.779757821,0.724361989,0.67258261,0.9086498,0.844746456,0.898362568,0.757766941,0.991725295,0.729217418,0.82,0.1
15,E&E,ETR_total,0.932274861,0.922539282,0.935316592,0.769134692,0.930316021,0.484327314,{'n_estimators': 200},0.600377642,1.012840953,0.611525659,0.431530898,0.485604753,0.611274648,0.638059955,0.814844399,0.508375062,0.62,0.18
16,CO2,RF_total,0.924650346,1.016715498,0.929691651,0.851936001,0.939811165,0.796767542,{'n_estimators': 200},1.022482984,0.818336206,0.873942532,0.900566597,0.859550275,1.073277817,1.05074591,0.804807219,0.891490659,0.91,0.1
17,CFCs,RF_total,0.924650346,1.016715498,0.929691651,0.851936001,0.680957855,3.234550307,{'n_estimators': 200},0.405968801,0.196789934,0.860688433,0.670627939,1.020878334,1.771347387,0.375813158,1.422688492,2.877862774,1.28,1.05
18,Methane,RF_total,0.924650346,1.016715498,0.929691651,0.851936001,0.911982033,0.977832147,{'n_estimators': 200},0.818756444,0.785614431,0.684663485,0.946561605,0.946499611,0.866528272,0.919862178,1.043186435,1.069487803,0.91,0.12
19,E&E,RF_total,0.924650346,1.016715498,0.929691651,0.851936001,0.930684611,0.50089279,{'n_estimators': 200},0.695254404,0.978867428,0.718663595,0.60858403,0.552580798,0.860429867,0.743590169,1.000475296,0.562515277,0.72,0.18
20,CO2,LGBM_total,0.938364386,0.844810859,0.945453278,0.689579956,0.960165573,0.549120956,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.809754138,0.660794244,0.654205045,0.689933721,0.728810735,0.767275711,0.798027433,0.614468342,0.51557783,0.68,0.1
21,CFCs,LGBM_total,0.938364386,0.844810859,0.945453278,0.689579956,0.786324937,3.159134756,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.442845717,0.230299993,0.305161022,1.122409163,0.44878765,0.63470009,0.156732867,1.326279696,1.068588541,0.89,0.89
22,Methane,LGBM_total,0.938364386,0.844810859,0.945453278,0.689579956,0.918146007,0.965799074,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",1.007104033,0.744513717,0.590678514,0.98704674,1.148527758,0.809845722,0.992677303,1.037907342,1.160592114,0.94,0.18
23,E&E,LGBM_total,0.938364386,0.844810859,0.945453278,0.689579956,0.938111329,0.421718279,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.431779172,0.775983938,0.509245972,0.337556199,0.425900416,0.508289703,0.483672705,0.972101641,0.453697259,0.53,0.19
24,CO2,BGLGBM_total,0.941577522,0.797760985,0.945633914,0.661535363,0.959781318,0.531953464,{'n_estimators': 50},0.746357442,0.627869203,0.711651908,0.704962647,0.690081439,0.790572066,0.872317216,0.60176045,0.659216053,0.69,0.1
25,CFCs,BGLGBM_total,0.941577522,0.797760985,0.945633914,0.661535363,0.674114999,3.426732535,{'n_estimators': 50},0.198596601,0.368343172,0.221964193,0.245165266,0.202394573,0.385364136,0.086450822,0.877668251,1.793627406,0.78,1.06
26,Methane,BGLGBM_total,0.941577522,0.797760985,0.945633914,0.661535363,0.923275199,0.899652705,{'n_estimators': 50},0.877424765,0.611639178,0.507877948,0.938701669,0.944611744,0.729396134,0.8975638,1.000623943,0.81657263,0.82,0.16
27,E&E,BGLGBM_total,0.941577522,0.797760985,0.945633914,0.661535363,0.941997257,0.376348046,{'n_estimators': 50},0.540653096,0.849007505,0.459570636,0.347225299,0.373234461,0.512612548,0.53068477,0.786312749,0.454294005,0.52,0.17
28,CO2,DT_separate,0.879735411,1.787666874,-1,-1,0.898758701,1.48447682,{'criterion': 'squared_error'},1.416336441,1.631238663,1.53197243,1.595516475,1.321972289,1.625649892,1.495638296,1.635617726,1.387554476,1.51,0.11
29,CO2,GBR_separate,0.942209874,0.858562603,-1,-1,0.95586915,0.572156496,"{'learning_rate': 0.5, 'n_estimators': 200}",0.861981636,0.765792922,0.764192051,0.710611843,0.743117698,0.846572711,0.788005701,0.672833461,0.706405953,0.74,0.08
30,CO2,BG_separate,0.932690579,0.997087429,-1,-1,0.939970816,0.794674724,{'n_estimators': 100},0.947296909,0.814525548,0.865039658,0.928021568,0.835128177,1.074920217,1.03298334,0.790441933,0.85777385,0.89,0.1
31,CO2,ETR_separate,0.94160782,0.866508143,-1,-1,0.941973951,0.742710114,{'n_estimators': 200},0.922565003,0.714893016,0.845208267,0.880062299,0.80438031,1.015451467,1.028320488,0.751882809,0.850120782,0.86,0.11
32,CO2,RF_separate,0.933423479,0.986600433,-1,-1,0.940484078,0.791687762,{'n_estimators': 200},0.961482083,0.822238511,0.861278882,0.914034736,0.838056861,1.078242937,1.034372868,0.835671449,0.863938539,0.9,0.1
33,CO2,LGBM_separate,0.941533051,0.878626033,-1,-1,0.955701046,0.585634882,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.798137263,0.697263392,0.702448048,0.776565189,0.707535037,0.815523109,0.828684766,0.652397803,0.693710957,0.73,0.08
34,CO2,BGLGBM_separate,0.948104414,0.776780113,-1,-1,0.959524614,0.529565024,{'n_estimators': 50},0.767915775,0.611577846,0.637717552,0.700742437,0.654918255,0.778678771,0.786081314,0.571473535,0.665397552,0.67,0.09
35,CFCs,DT_separate,0.872963397,0.988980025,-1,-1,0.790083717,6.812864518,{'criterion': 'squared_error'},1.414490623,0.675345787,1.431837061,2.457948993,1.583171872,1.672708114,1.055824025,4.740671407,2.657949589,2.45,1.91
36,CFCs,GBR_separate,0.92685585,0.681783719,-1,-1,0.908782848,1.563800326,"{'learning_rate': 0.1, 'n_estimators': 200}",0.617191451,0.135090059,0.624543745,1.048198666,0.12561564,1.438115333,0.05407429,0.811916935,0.999615559,0.74,0.53
37,CFCs,BG_separate,0.879392558,0.970695917,-1,-1,0.898129006,1.963998983,{'n_estimators': 100},0.784048162,0.396097868,1.232066942,1.609354649,0.715694519,1.974805469,0.065562266,3.832616631,1.94236825,1.45,1.08
38,CFCs,ETR_separate,0.909307986,0.714136303,-1,-1,0.830564066,4.48181233,{'n_estimators': 150},0.628311288,0.325216009,0.992885029,1.401198911,0.207052294,1.604883438,0.10912298,1.667192441,1.726017039,1.31,1.28
39,CFCs,RF_separate,0.87894263,0.969741985,-1,-1,0.893582675,2.165230248,{'n_estimators': 200},0.776955305,0.396432555,1.272819977,1.602159743,0.74010395,1.990696733,0.087239412,3.811137716,1.940926133,1.48,1.08
40,CFCs,LGBM_separate,0.930316055,0.550883385,-1,-1,0.884320327,1.701317483,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 10}",0.472173909,0.212545247,0.358684026,1.562410801,0.464672332,1.347512268,0.25699879,0.882660059,1.004859757,0.83,0.56
41,CFCs,BGLGBM_separate,0.938368131,0.570315009,-1,-1,0.823217903,2.305619097,{'n_estimators': 50},0.432916422,0.227923353,0.606686175,0.98196112,0.306656051,1.170926523,0.059481875,0.771810406,1.306451261,0.82,0.67
42,Methane,DT_separate,0.86426978,1.660086492,-1,-1,0.85069913,1.823522653,{'criterion': 'squared_error'},1.370896167,1.968196753,1.278458626,1.645833348,1.734044279,1.59995782,1.662171624,1.737296183,1.952851307,1.68,0.22
43,Methane,GBR_separate,0.913077041,1.0421078,-1,-1,0.922423725,0.877321461,"{'learning_rate': 0.5, 'n_estimators': 200}",0.742931436,0.625440311,0.638441967,1.037638929,0.863849707,0.975431279,1.206549204,1.02627934,0.662200473,0.87,0.2
44,Methane,BG_separate,0.912948133,1.048649145,-1,-1,0.910964502,0.984864822,{'n_estimators': 100},0.818832687,0.853247278,0.671822524,0.97140156,0.979858482,0.890046373,0.944968236,1.048076213,1.16910338,0.93,0.14
45,Methane,ETR_separate,0.926000498,0.885659612,-1,-1,0.919930569,0.886369074,{'n_estimators': 150},0.68881078,0.72435953,0.658493099,0.914400956,0.856604481,0.851254829,0.751137021,0.966932796,0.671086047,0.8,0.11
46,Methane,RF_separate,0.913830587,1.037633376,-1,-1,0.911236221,0.98372901,{'n_estimators': 200},0.802372015,0.868827063,0.666684732,0.957092843,0.972436442,0.879885484,0.935339833,1.042277375,1.160691533,0.93,0.13
47,Methane,LGBM_separate,0.914713926,1.020533531,-1,-1,0.924147074,0.873805779,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.769406432,0.580266029,0.6019605,0.881471701,0.864245574,0.668415766,0.889628649,0.979815473,0.799470491,0.79,0.13
48,Methane,BGLGBM_separate,0.92908941,0.846296678,-1,-1,0.933080533,0.764862598,{'n_estimators': 50},0.66589409,0.595165123,0.528109664,0.818988279,0.830569999,0.716587664,0.767947195,0.901160289,0.647651676,0.72,0.12
49,E&E,DT_separate,0.847656457,1.226496475,-1,-1,0.87471674,1.013387592,{'criterion': 'friedman_mse'},1.587295599,1.479314927,1.000214462,0.748386805,0.97053822,1.147762119,0.968978507,1.196733701,0.858394191,1.1,0.26
50,E&E,GBR_separate,0.922309394,0.609934596,-1,-1,0.94121451,0.42742889,"{'learning_rate': 0.5, 'n_estimators': 200}",0.433095804,0.855096035,0.564158593,0.423225872,0.384301575,0.573766571,0.357088484,0.750286644,0.502242462,0.53,0.16
51,E&E,BG_separate,0.902957848,0.784494193,-1,-1,0.913683796,0.618671959,{'n_estimators': 100},0.673710504,1.050305932,0.743320797,0.509797037,0.551727762,0.787081212,0.737891726,0.792873961,0.555957292,0.7,0.16
52,E&E,ETR_separate,0.915557772,0.677739541,-1,-1,0.921791102,0.555196666,{'n_estimators': 180},0.566685998,1.081108893,0.668423108,0.329375912,0.513682949,0.636199947,0.712943274,0.725928239,0.503808287,0.63,0.2
53,E&E,RF_separate,0.904418899,0.772376115,-1,-1,0.913831789,0.614303421,{'n_estimators': 200},0.677630443,1.045626503,0.727859851,0.506848807,0.54573805,0.782162106,0.741205875,0.79396996,0.552937237,0.7,0.16
54,E&E,LGBM_separate,0.931010384,0.560691607,-1,-1,0.945305721,0.379154811,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 30}",0.362315606,0.754377695,0.509125869,0.275088349,0.445204287,0.495884623,0.433573146,0.576459125,0.447282265,0.47,0.13
55,E&E,BGLGBM_separate,0.933973252,0.539835631,-1,-1,0.948298357,0.350956439,{'n_estimators': 30},0.362421743,0.736234218,0.478425878,0.283150467,0.355829209,0.49271887,0.432693379,0.636160185,0.446110575,0.46,0.14
