,S,V,L,BET,Vt,Temp(K),K,n,Vmic,Group
195,0.28,0.2809,0.058,3410.0,1.94,323.0,1.5780760760427617,1.0930091205690475,1.21,1
204,0.28,0.2809,0.058,879.0,0.38,273.0,4.75758485848945,0.4161348437619422,0.33,2
205,0.28,0.2809,0.058,1135.0,0.62,273.0,5.399949046067814,0.5053442632238409,0.43,2
206,0.28,0.2809,0.058,1185.0,0.87,273.0,6.253315259139824,0.5913421725273497,0.66,2
207,0.28,0.2809,0.058,1562.0,0.75,273.0,6.013413757011243,0.5346838000690134,0.64,2
208,0.28,0.2809,0.058,879.0,0.38,298.0,3.6793577914365554,0.5163487839622509,0.33,0
209,0.28,0.2809,0.058,1185.0,0.87,298.0,4.1229584475479975,0.6539437370154793,0.66,0
210,0.28,0.2809,0.058,1562.0,0.75,298.0,3.746476004485074,0.6331759387222715,0.64,0
211,0.28,0.2809,0.058,1483.0,0.66,273.0,6.110107410228942,0.5352266839223825,0.61,2
212,0.28,0.2809,0.058,1487.0,0.79,273.0,6.303118888678896,0.5319237571985582,0.66,2
213,0.28,0.2809,0.058,2322.0,1.06,273.0,6.190005048884868,0.6214508247842377,0.79,2
214,0.28,0.2809,0.058,2521.0,1.34,273.0,6.082370053043711,0.665542426189698,0.78,2
215,0.28,0.2809,0.058,1483.0,0.66,298.0,4.250054502673748,0.6212075348352037,0.61,0
216,0.28,0.2809,0.058,1487.0,0.79,298.0,4.137802769748073,0.707196718794073,0.66,0
217,0.28,0.2809,0.058,2322.0,1.06,298.0,4.065577372206809,0.6059722924244423,0.79,0
218,0.28,0.2809,0.058,2521.0,1.34,298.0,3.681202977425832,0.734694559738341,0.78,0
219,0.28,0.2809,0.058,1967.0,0.94,273.0,6.444773592001833,0.6471341199600529,0.83,2
220,0.28,0.2809,0.058,2690.0,1.19,273.0,6.342568002555186,0.7031701341909014,0.92,2
221,0.28,0.2809,0.058,2599.0,1.33,273.0,5.477615976560636,0.757160281255355,0.82,2
222,0.28,0.2809,0.058,2349.0,0.99,298.0,4.164714089977633,0.7062240045838564,0.85,0
223,0.28,0.2809,0.058,1967.0,0.94,298.0,4.00768140477071,0.7199278272145767,0.83,0
224,0.28,0.2809,0.058,2690.0,1.19,298.0,3.878137776284442,0.7708508289435602,0.92,0
225,0.28,0.2809,0.058,2599.0,1.33,298.0,3.358556138683654,0.8083594287974775,0.82,0
226,0.28,0.2809,0.058,671.2,0.333,298.0,2.286273084627553,0.7357960703549637,0.267,0
227,0.28,0.2809,0.058,671.2,0.333,308.0,1.9218633648437524,0.729961785905032,0.267,0
228,0.28,0.2809,0.058,671.2,0.333,323.0,1.585116621452021,0.8119167603436898,0.267,1
230,0.28,0.2809,0.058,942.0,0.42,298.0,3.146782489737941,0.4977768370894967,0.31,0
231,0.28,0.2809,0.058,942.0,0.42,273.0,4.480851365267222,0.3703602734568457,0.31,2
232,0.28,0.2809,0.058,1200.0,0.68,273.0,4.381839819224442,0.5163518885341497,0.48,2
233,0.28,0.2809,0.058,1200.0,0.68,298.0,2.930036694449522,0.6245133884678266,0.48,0
234,0.28,0.2809,0.058,1200.0,0.68,323.0,2.0839966598580038,0.7710109999949802,0.48,1
235,0.28,0.2809,0.058,1330.0,0.73,273.0,5.103005102571483,0.5420717767158143,0.54,2
236,0.28,0.2809,0.058,1330.0,0.73,298.0,3.303699927002348,0.6480196916817645,0.54,0
237,0.28,0.2809,0.058,1330.0,0.73,323.0,2.163512870293019,0.7769005250056406,0.54,1
238,0.28,0.2809,0.058,1570.0,0.83,273.0,5.024919423056411,0.6097024635559893,0.65,2
239,0.28,0.2809,0.058,1570.0,0.83,298.0,3.256865213680232,0.7173634522650322,0.65,0
240,0.28,0.2809,0.058,1570.0,0.83,323.0,2.072064109432912,0.8736169320361284,0.65,1
241,0.28,0.2809,0.058,1820.0,0.95,273.0,5.509254651283591,0.6261224266841091,0.75,2
242,0.28,0.2809,0.058,1820.0,0.95,298.0,3.417599743886708,0.9182465110610484,0.75,0
243,0.28,0.2809,0.058,1820.0,0.95,323.0,2.070714172171497,0.9110167798213682,0.75,1
244,0.28,0.2809,0.058,2310.0,1.24,273.0,5.671828709210934,0.7491137557060357,0.96,2
245,0.28,0.2809,0.058,2310.0,1.24,298.0,3.0946801737418648,0.816078119322284,0.96,0
246,0.28,0.2809,0.058,2310.0,1.24,323.0,1.8235322222099517,0.942119462744919,0.96,1
247,0.28,0.2809,0.058,1890.0,0.9,298.0,4.221092673706565,0.6651839881323116,0.82,0
248,0.28,0.2809,0.058,1130.0,0.54,298.0,3.9359806328050335,0.5904415967109886,0.48,0
249,0.28,0.2809,0.058,1250.0,0.61,298.0,4.390760616479857,0.6288089074841086,0.55,0
250,0.28,0.2809,0.058,770.0,0.35,298.0,4.040403181918724,0.5030794477083301,0.34,0
251,0.28,0.2809,0.058,365.0,0.17,298.0,1.9396032394319864,0.5065880152644358,0.16,0
252,0.28,0.2809,0.058,1890.0,0.9,273.0,6.075338102668561,0.5839326080262351,0.82,2
253,0.28,0.2809,0.058,1130.0,0.54,273.0,5.908428836952379,0.532737905295071,0.48,2
254,0.28,0.2809,0.058,1250.0,0.61,273.0,6.259780735831243,0.5409246579624947,0.55,2
255,0.28,0.2809,0.058,770.0,0.35,273.0,5.480835122553712,0.4205144194728597,0.34,2
256,0.28,0.2809,0.058,365.0,0.17,273.0,2.790814777333231,0.3874383145075272,0.16,2
257,0.28,0.2809,0.058,1267.0,0.45,273.0,4.7637026967760505,0.4986698329081965,0.4,2
258,0.28,0.2809,0.058,1346.0,0.57,273.0,5.589135707856553,0.5476051439768834,0.46,2
259,0.28,0.2809,0.058,1379.0,0.58,273.0,5.766799797764855,0.5404454960414041,0.51,2
260,0.28,0.2809,0.058,1699.0,0.8,273.0,4.237341038236369,0.6370850190395685,0.48,2
261,0.28,0.2809,0.058,1111.0,0.55,273.0,4.069116389338185,0.6547636974496783,0.33,2
262,0.28,0.2809,0.058,1263.0,0.62,273.0,4.615482412081093,0.5551551606921649,0.41,2
263,0.28,0.2809,0.058,585.0,0.28,273.0,6.206526896261426,0.5094802799658462,0.2,2
264,0.28,0.2809,0.058,1593.0,0.74,273.0,4.592550492653055,0.6559692390993292,0.54,2
265,0.28,0.2809,0.058,1267.0,0.45,298.0,3.501530524551176,0.6456048226604127,0.05,0
266,0.28,0.2809,0.058,1346.0,0.57,298.0,3.2775376642995213,0.7254866114799008,0.46,0
267,0.28,0.2809,0.058,1379.0,0.58,298.0,4.224134441486708,0.668838788157759,0.51,0
268,0.28,0.2809,0.058,1699.0,0.8,298.0,2.025148124598472,0.6602952956662671,0.48,0
269,0.28,0.2809,0.058,1111.0,0.55,298.0,2.561944473276572,0.6122085716795996,0.33,0
270,0.28,0.2809,0.058,1381.0,0.62,298.0,2.8100042253004007,0.6611019856469832,0.49,0
271,0.28,0.2809,0.058,1263.0,0.62,298.0,2.890735935253317,0.6323372381433653,0.41,0
272,0.28,0.2809,0.058,585.0,0.28,298.0,4.176720716361777,0.6168396286708272,0.2,0
273,0.28,0.2809,0.058,1593.0,0.74,298.0,4.131977063169926,0.8375056957864639,0.54,0
274,0.28,0.2809,0.058,1417.0,0.91,283.0,4.225334839888187,0.5834920305449532,0.4,2
275,0.28,0.2809,0.058,1417.0,0.91,293.0,3.183199352384696,0.635172141301016,0.4,0
276,0.28,0.2809,0.058,1417.0,0.91,313.0,2.374993893006016,0.710498902436699,0.4,1
289,0.28,0.2809,0.058,970.0,0.618,273.0,5.819808872938201,0.49385398908919,0.455,2
290,0.28,0.2809,0.058,765.0,0.412,273.0,5.000900271083422,0.4215862483258866,0.367,2
291,0.28,0.2809,0.058,384.0,0.273,273.0,3.590834649798333,0.3330134407534716,0.174,2
292,0.28,0.2809,0.058,605.0,0.478,273.0,3.4428847357275467,0.3930125977328826,0.23,2
305,0.28,0.2809,0.058,1260.0,0.62,273.0,6.348362573842534,0.6018129183733859,0.55,2
306,0.28,0.2809,0.058,1260.0,0.62,298.0,4.849172473253271,0.7099697817428215,0.55,0
307,0.28,0.2809,0.058,1260.0,0.62,323.0,3.5618699062709283,0.8269005898441364,0.55,1
308,0.28,0.2809,0.058,1380.0,0.67,273.0,6.195476426605127,0.6180445397459656,0.61,2
309,0.28,0.2809,0.058,1380.0,0.67,298.0,4.719371897192933,0.7822029995348807,0.61,0
310,0.28,0.2809,0.058,1380.0,0.67,323.0,3.281923295873085,0.8604495487972584,0.61,1
311,0.28,0.2809,0.058,1390.0,0.69,273.0,6.749056122478078,0.6881775852729669,0.62,2
312,0.28,0.2809,0.058,1390.0,0.69,298.0,4.406451061809617,0.7421788703223577,0.62,0
313,0.28,0.2809,0.058,1390.0,0.69,323.0,2.644746738031729,0.9070304764814144,0.62,1
314,0.28,0.2809,0.058,1940.0,0.97,273.0,5.929850529052006,0.6898559216305002,0.82,2
315,0.28,0.2809,0.058,1940.0,0.97,298.0,3.9349795567111054,0.776109438833296,0.82,0
316,0.28,0.2809,0.058,1940.0,0.97,323.0,3.0571518498744776,1.0454667159182105,0.82,1
359,0.28,0.2809,0.058,990.0,0.456,298.0,3.182075261459917,0.6839449255729663,0.416,0
360,0.28,0.2809,0.058,2005.0,1.014,298.0,4.138956902665298,0.7425957904078854,0.872,0
361,0.28,0.2809,0.058,2162.0,1.124,298.0,4.385070350862184,0.7733854578074572,0.917,0
362,0.28,0.2809,0.058,2180.0,1.003,298.0,5.73640937233947,0.6850644194780751,0.928,0
363,0.28,0.2809,0.058,680.0,0.29,273.0,5.267935451202106,0.4040748081403874,0.27,2
364,0.28,0.2809,0.058,680.0,0.29,298.0,3.869179893884403,0.5050451488865239,0.27,0
365,0.28,0.2809,0.058,1274.0,0.46,273.0,7.513596660713176,0.5128991891645096,0.43,2
366,0.28,0.2809,0.058,1274.0,0.46,298.0,4.911290499259948,0.6630079109697594,0.43,0
367,0.28,0.2809,0.058,334.0,0.14,273.0,3.1510843584444923,0.3644081675650686,0.13,2
368,0.28,0.2809,0.058,334.0,0.14,298.0,2.391783551475505,0.4741392124861043,0.13,0
369,0.28,0.2809,0.058,2088.0,0.84,273.0,6.644674219992536,0.6907183077124056,0.71,2
370,0.28,0.2809,0.058,2088.0,0.84,298.0,4.240798403918528,0.7261339922386401,0.71,0
371,0.28,0.2809,0.058,2282.0,1.06,273.0,5.839132651125428,0.7840075743499183,0.87,2
372,0.28,0.2809,0.058,2282.0,1.06,298.0,3.4381342956554484,0.8423378473600166,0.87,0
383,0.28,0.2809,0.058,620.0,0.434,273.0,4.117055994870677,0.22554544640904,0.18,2
384,0.28,0.2809,0.058,620.0,0.434,293.0,3.459394923856673,0.2585586297051156,0.18,0
385,0.28,0.2809,0.058,620.0,0.434,313.0,2.887698745194321,0.292702242872509,0.18,0
386,0.28,0.2809,0.058,620.0,0.434,333.0,2.448837915617717,0.3743249876928379,0.18,1
387,0.28,0.2809,0.058,620.0,0.434,353.0,2.006978215286364,0.435226999956579,0.18,1
388,0.28,0.2809,0.058,1005.0,0.5,298.0,1.996779956538032,0.4415224325238884,0.36,0
389,0.28,0.2809,0.058,952.0,0.43,298.0,1.7703842681161353,0.5164730426123495,0.36,0
390,0.28,0.2809,0.058,815.0,0.38,298.0,1.6964782059794186,0.5503531915461425,0.3,0
409,0.28,0.2809,0.058,322.0,0.25,273.0,2.652097748287365,0.3853993147700216,0.16,2
410,0.28,0.2809,0.058,322.0,0.25,298.0,2.017697104882361,0.4421472246211834,0.16,0
411,0.28,0.2809,0.058,364.0,0.31,273.0,3.1859532797083268,0.4172710116420832,0.094,2
412,0.28,0.2809,0.058,364.0,0.31,298.0,2.1123402141908376,0.4439076957703551,0.094,0
413,0.28,0.2809,0.058,747.0,0.52,273.0,3.4755236113170733,0.3908883355628894,0.23,2
414,0.28,0.2809,0.058,747.0,0.52,298.0,2.25770059830048,0.4796239033474075,0.23,0
415,0.28,0.2809,0.058,355.0,0.29,273.0,2.251684456846863,0.343724128747927,0.11,2
416,0.28,0.2809,0.058,355.0,0.29,298.0,2.0473072973178104,0.4215488839393411,0.11,0
417,0.28,0.2809,0.058,1120.0,0.43,273.0,3.7433888475078314,0.4920305717080822,0.17,2
418,0.28,0.2809,0.058,1120.0,0.43,298.0,2.6142147232387014,0.4958951924053798,0.17,0
419,0.28,0.2809,0.058,1120.0,0.43,323.0,1.710637767797518,0.522158731789115,0.17,1
420,0.28,0.2809,0.058,1322.0,0.78,273.0,5.197779946640512,0.5313764847260461,0.23,2
421,0.28,0.2809,0.058,1322.0,0.78,298.0,3.386632436520886,0.5537348951331547,0.23,0
422,0.28,0.2809,0.058,1322.0,0.78,323.0,2.281663745609903,0.6056247527239127,0.23,1
423,0.28,0.2809,0.058,2510.0,1.05,273.0,5.179798553933535,0.5480727747742288,0.55,2
424,0.28,0.2809,0.058,2510.0,1.05,298.0,3.687244582519941,0.5429804298701686,0.55,0
425,0.28,0.2809,0.058,2510.0,1.05,323.0,2.3125886818552086,0.5808766547957168,0.55,1
426,0.28,0.2809,0.058,2100.0,0.78,273.0,2.813019950811281,0.28413885338349,0.29,0
