,0,1,2,3,4,5/1st,6,,5-r2,5-r3,5-no,5-opt
30,4,BG,0.75247327,0.023543086,0.791681572,0.016048109,{'n_estimators': 50},,0.02184009,0.02184009,0.036011609,0.026350048
31,4,ETR,0.74800397,0.024056988,0.80625106,0.015041107,{'n_estimators': 100},,0.021490169,0.021490169,0.032384165,0.02722441
32,4,RF,0.752024598,0.023619552,0.80767877,0.014770815,{'n_estimators': 80},,0.021936294,0.021936294,0.03183725,0.028761516
33,4,LGBM,0.727766077,0.026083224,0.813024071,0.015235644,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 20}",,0.017538479,0.017538479,0.035466296,0.035037653
34,4,BGLGBM,0.735137792,0.025250363,0.801103759,0.014731216,{'n_estimators': 10},,0.02301292,0.02301292,0.031686147,0.030506696
35,5,DT,0.647802646,0.03276011,0.793357805,0.021614716,{'criterion': 'friedman_mse'},,0.026713361,0.026713361,0.052687243,0.019269489
36,5,GBR,0.748981925,0.023225297,0.851711934,0.011380915,"{'learning_rate': 0.1, 'n_estimators': 200}",,0.021582489,0.021582489,0.016747203,0.015715047
37,5,BG,0.75830201,0.022494345,0.832308962,0.012717185,{'n_estimators': 100},,0.017881352,0.017881352,0.021436247,0.015558594
38,5,ETR,0.759289592,0.022372779,0.835781421,0.012519728,{'n_estimators': 150},,0.015678004,0.015678004,0.019332883,0.015667979
39,5,RF,0.759088569,0.022427897,0.824240652,0.013243282,{'n_estimators': 120},,0.017404932,0.017404932,0.020979704,0.014957941
40,5,LGBM,0.727446612,0.025410339,0.741161022,0.020238825,"{'learning_rate': 0.1, 'n_estimators': 180, 'num_leaves': 30}",,0.025622027,0.025622027,0.022991031,0.019175379
41,5,BGLGBM,0.740096339,0.02425947,0.748227967,0.01865606,{'n_estimators': 50},,0.022181593,0.022181593,0.021034927,0.023134375
42,6,DT,0.488336272,0.049590665,0.615473127,0.038905813,{'criterion': 'friedman_mse'},,0.036889181,0.036889181,0.021690089,0.046063907
43,6,GBR,0.758137414,0.023434195,0.792599441,0.017321876,"{'learning_rate': 0.5, 'n_estimators': 200}",,0.024922343,0.024922343,0.02633369,0.020502865
44,6,BG,0.74434751,0.025046473,0.763468493,0.018279363,{'n_estimators': 100},,0.0172937,0.0172937,0.027204846,0.023429812
45,6,ETR,0.758598451,0.023563897,0.813219455,0.014829818,{'n_estimators': 200},,0.019570583,0.019570583,0.021064028,0.024727813
46,6,RF,0.749526236,0.024551545,0.747029359,0.019582828,{'n_estimators': 150},,0.017417734,0.017417734,0.024686757,0.022528685
47,6,LGBM,0.751049834,0.02414507,0.79181117,0.016936913,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",,0.026413457,0.026413457,0.021783275,0.036797714
