,Unnamed: 0,n,kf,R_f,Q10,Q,kl,R_l,Index,
141,141,1.531847607,0.769467353,0.998125105,3.459367089,8.065763047,0.078696315,0.997821411,2892,0.538996649
142,142,1.461880759,0.660011282,0.998120079,3.188612015,8.1081634,0.067252842,0.99843137,2893,0.503601678
162,162,2.191017727,1.469306975,0.99485231,4.202632788,7.169566481,-14266951.07,-2.97E-08,2913,0.623521444
163,163,1.989645802,1.112982826,0.994069739,3.540711028,5.729738956,-14323633.04,-2.02E-08,2914,0.549090484
164,164,1.804669781,0.759581258,0.995846101,2.720772538,5.130112836,-8274987.659,-4.76E-08,2915,0.434692235
165,165,2.338955067,1.336193489,0.992075843,3.576108592,4.926601072,-7448470.333,-5.35E-08,2916,0.553410698
166,166,2.160962059,1.364073117,0.994496357,3.959082048,5.356896408,-19589776.59,-3.35E-08,2917,0.597594502
167,167,2.305282527,1.403413552,0.990759837,3.810412346,4.826395008,-28059921.19,-3.59E-08,2918,0.580971976
168,168,2.145720327,0.855127093,0.995007437,2.500775048,2.928871592,-30987230.54,-3.75E-08,2919,0.398074627
169,169,2.459664289,1.683145867,0.992627666,4.292213363,5.117140074,-46003011.13,-2.81E-08,2920,0.632681302
170,170,2.052821638,1.043512875,0.992707517,3.20355507,4.349585024,-22449163.67,-3.02E-08,2921,0.505632194
171,171,1.928933503,0.824638208,0.992420721,2.720724968,4.088732799,-15959904.58,-4.65E-08,2922,0.434684642
175,175,1.876997785,1.318015062,0.991615349,4.494548307,8.317958101,-13113954.12,-1.52E-08,2926,0.652686053
176,176,1.899621844,1.041078967,0.994864205,3.498680104,6.988007339,-12936989.13,-2.10E-08,2927,0.543904235
177,177,2.564184764,1.923368296,0.98481721,4.721173392,7.241697369,-11370717.01,-2.34E-08,2928,0.674049951
178,178,3.318186205,2.562690524,0.990055906,5.129388899,7.809617161,-18928033.66,-1.17E-08,2929,0.710065628
179,179,2.620799954,2.039840931,0.97321044,4.910878511,6.646351253,-11872271.67,-4.47E-08,2930,0.69115919
180,180,2.942246815,2.124815538,0.961523481,4.647266166,6.614916084,-11355332.92,-3.44E-08,2931,0.667197547
181,181,2.116386293,2.242135503,0.997802281,6.65526554,7.121012215,-14701406.72,-3.86E-08,2932,0.823165388
182,182,2.096378911,2.151422666,0.994816993,6.45265942,7.171869941,-24447310.97,-2.15E-08,2933,0.809738743
183,183,2.150683456,2.087997816,0.987753936,6.091139026,7.108444538,-13702418.29,-3.44E-08,2934,0.784698512
184,184,2.151990638,1.576038646,0.999317999,4.594654916,4.647028557,-53799052.93,-1.39E-08,2935,0.662252899
185,185,2.207789628,2.00082726,0.9991892,5.677423635,5.590213704,-17009152.41,-4.94E-08,2936,0.754151301
186,186,2.100698298,1.748360536,0.998265239,5.231945117,5.439209209,-21302446.43,-3.37E-08,2937,0.71866318
188,188,2.555497728,2.779872758,0.956046622,6.844443141,7.71955822,-26247030.8,-4.49E-08,2939,0.83533812
189,189,2.859386327,2.337140076,0.971698548,5.228897553,5.816869748,-49643329.27,-2.84E-08,2940,0.718410133
190,190,2.556576586,1.401621747,0.982425896,3.449680694,6.179853048,0.155373221,0.931031498,2941,0.537778898
