,n,kf,R_f,Q,kl,`,Index
87,2.43752998,1.363344153,0.956707046,4.028888867,-59535383.77,-2.66E-08,2838
88,1.981554354,0.805373798,0.987891248,3.123333308,-44863396.12,-2.94E-08,2839
89,2.464854955,0.858987828,0.928779406,2.497777774,-174859647.6,-9.17E-09,2840
90,2.168469457,1.648612874,0.976272073,6.357632762,-37997733.49,-1.68E-08,2841
91,2.322517263,1.610391263,0.97887617,6.055346424,-12754971.85,-5.37E-08,2842
92,2.54914613,1.510937321,0.972256466,4.279493578,-47042365.26,-3.84E-08,2843
93,2.887693269,1.386645702,0.979900213,3.991305127,-34979331.46,-1.37E-08,2844
94,2.390258358,1.010267428,0.95053863,3.52818709,-20819713.36,-3.24E-08,2845
95,2.581020221,1.002020623,0.974027537,3.270126689,-34766988.2,-2.27E-08,2846
96,3.029063907,1.204736826,0.955295046,3.29255167,-14931990.49,-4.73E-08,2847
97,2.426272961,1.932256645,0.96947744,7.148878232,-6013347.47,-5.22E-08,2848
98,2.021992721,0.92498107,0.983970566,4.112923237,-8210364.194,-5.14E-08,2849
99,2.416780797,1.141645163,0.990568274,3.969316365,-11329484.56,-4.30E-08,2850
100,2.078743401,1.045667369,0.987101883,4.993317385,-15709209.35,-1.86E-08,2851
101,2.287651808,1.638386674,0.980422154,6.153658581,-16893755.85,-2.74E-08,2852
102,2.37297592,1.380929971,0.985982262,4.915462835,-10595555.86,-4.02E-08,2853
103,2.231611277,1.360070893,0.984889965,5.601448848,-14113267.71,-2.34E-08,2854
104,2.150646466,1.962519022,0.977554873,7.906522243,-25157446.63,-1.99E-08,2855
105,2.320164441,2.76723892,0.984195215,8.226874378,-105748417.7,-1.53E-08,2856
106,2.132997642,2.295394524,0.985797677,7.546765889,-72702686.37,-1.82E-08,2857
107,2.031304394,1.972568445,0.973136932,6.937864419,-208680982,-6.13E-09,2858
108,2.378273938,2.471140166,0.967183143,10.74697183,-9212459.092,-3.15E-08,2859
109,2.630237632,2.738886341,0.960292863,10.2580387,-9496046.751,-3.58E-08,2860
110,2.612874119,2.459569978,0.95693483,8.552045551,-15671676.91,-2.78E-08,2861
111,2.971727874,2.071433166,0.948024504,6.667105282,-8646907.021,-4.35E-08,2862
112,3.258217974,1.767957618,0.956383092,5.401074435,-13646953.89,-4.10E-08,2863
113,2.928275766,1.475485037,0.975536211,4.015137229,-43552090.56,-2.09E-08,2864
114,2.311356674,0.69656114,0.981600201,2.634056465,-11526016.16,-4.00E-08,2865
115,2.152241355,0.649004942,0.982470416,2.673966422,-23183944.78,-1.83E-08,2866
116,1.994639078,0.443935073,0.9902645,1.998567313,-14053037.16,-3.47E-08,2867
117,1.950621972,0.345817268,0.982212689,1.75322349,-20669850.19,-1.79E-08,2868
118,2.088395133,0.747337666,0.98735981,6.08933244,0.061182384,0.998682681,2869
119,2.074071435,0.543189688,0.985931348,2.470782512,-24554224.74,-1.91E-08,2870
