,n,kf,R_f,Q1,Q,kl,R_l,Index
815,1.4604746262821229,2.23943946010055,0.9991779432178725,2.23943946010055,4.553994195617905,0.9225652518538102,0.9971754920760622,3578
816,1.4309361212784493,3.0994846185114815,0.9983327358349592,3.0994846185114815,6.386798454063103,0.8993863090600008,0.9981408629142136,3579
817,1.2901030164212874,1.8147711651487086,0.9925846390473186,1.8147711651487086,4.606700279000201,0.6207175929861942,0.9979601096457474,3580
818,1.3717951480421366,2.3568412648996473,0.9969812666378397,2.3568412648996473,5.389784599596176,0.7454873109371585,0.9985254512593466,3581
819,1.0859866116672054,1.4714236420480509,0.9864235884541152,1.4714236420480509,13.570090200288593,0.12151258787841392,0.9854934894766167,3582
820,1.0089766274776042,1.1859475471632959,0.9861591809531531,1.1859475471632959,47.74272203831527,0.025405237182882463,0.986216124750353,3583
821,1.275499632867422,0.8476542412375079,0.9534396057536038,0.8476542412375079,3.2983120715104812,0.34808070963308674,0.9397554381544947,3584
822,1.3040184232604297,1.653489623619327,0.9900804104523084,1.653489623619327,4.600428835705983,0.548845013484569,0.9863825532879299,3585
823,1.2080239543052531,1.4595798943703582,0.9860072357885943,1.4595798943703582,4.836632456397528,0.4217232051186957,0.988889054337914,3586
824,1.1754381774079392,1.0236119742295706,0.948792700105088,1.0236119742295706,8.129394468933203,0.1462443310915019,0.94116581417479,3587
825,1.230889811106569,1.0699573972795609,0.9924195265967726,1.0699573972795609,3.732642302968712,0.39599320370176505,0.9906620044807452,3588
826,1.37204140593792,0.9528421295019569,0.9885124204964258,0.9528421295019569,2.453696840416748,0.6232121392303276,0.975870673601668,3589
827,1.3808073156488936,0.7454739372098436,0.9184709139915195,0.7454739372098436,2.009945917229195,0.5845991952718144,0.9047146958942307,3590
828,1.3075315082786154,1.9905361862542303,0.9965946146011672,1.9905361862542303,5.423794084815537,0.5696052900256879,0.9968207489541997,3591
829,1.2152692091715502,1.238877564206114,0.9944826719394066,1.238877564206114,4.79855600664116,0.34583116368500766,0.9921702935140504,3592
830,1.3299196521482934,2.0840093221306435,0.9963464735440788,2.0840093221306435,5.55174252436652,0.5911382821204961,0.996327633784259,3593
831,1.1310609620154815,1.2581417950602507,0.9953401461349802,1.2581417950602507,6.7568896700199925,0.22727022183223833,0.9960771229010098,3594
832,1.3528273038794953,1.5595178525660673,0.9935110543312262,1.5595178525660673,3.9782001960192,0.634915820654317,0.9938890740956103,3595
833,1.1845802463740607,0.9784874074504954,0.9805999275229399,0.9784874074504954,4.982373327259423,0.245060753904561,0.9760443753298668,3596
834,1.3017873576478358,0.8445847124048365,0.9871862905031774,0.8445847124048365,2.323033999660795,0.5600643246673354,0.9919221990017543,3597
835,1.5310268669355902,0.8485090165184113,0.9792259070848119,0.8485090165184113,1.7893518168118998,0.8894757077752053,0.9642430024069139,3598
836,1.4116566698126427,0.5953603076050592,0.9823633943189309,0.5953603076050592,1.3834381190949647,0.7411678527260479,0.9796470259151235,3599
837,1.9091128674685898,1.0748579824938842,0.9744687293468705,1.0748579824938842,5.8226641452389725,0.1733951486729765,0.9985354512901454,3600
838,1.7875412130639088,0.8805218706921604,0.9793921584241965,0.8805218706921604,5.56455460540011,0.1453076165853422,0.9990776473344121,3601
839,1.6699821781642983,0.7413227124464136,0.9752028888631723,0.7413227124464136,5.565980337905946,0.12038542564429176,0.9965210682007274,3602
