,MSE,Indexs
408,0.009354346549391242,414
409,0.0026650320664325148,415
410,0.006934260647467192,416
411,0.001528113272448687,417
412,0.0044186847984778775,418
413,0.03114912379277981,419
414,0.00022324784240271243,420
415,0.003009857618663202,421
416,0.005618200523549356,422
417,0.005539308118024067,423
418,0.018162606424592855,424
419,0.03155356963513693,425
420,0.0026756714794041766,426
421,0.014574474551962431,427
422,0.028702160791863024,428
423,0.09013341731042372,429
424,0.09951912549206678,430
425,0.047900067476089575,431
426,0.02393691039386905,432
427,0.0032515021421151854,433
428,0.002458414833555195,434
429,0.006165059744330598,435
430,0.00023769495600958532,436
431,0.005613308406213412,437
432,0.025751355035684705,438
433,0.010326391340176051,439
434,0.027032025099838358,440
435,0.0057998826114647115,441
436,0.009527834004367368,442
437,0.01067243344530087,443
438,0.02108325794756653,444
439,0.01139447364634299,445
440,0.007061435385996319,446
441,0.015265922526926193,447
442,0.00246882062262341,448
443,0.0021424198547058924,449
444,0.005472409377382981,450
445,0.005612150506424998,451
446,0.006385751024585479,452
447,0.008221414493261421,453
448,0.009137385320347684,454
449,0.028088704308160215,455
450,0.08688977539800569,456
451,0.006561658932126368,467
452,0.01828076416734257,468
453,0.06279620201519412,469
454,0.002427589694813331,470
455,0.006205884116812651,471
456,0.04414550064071176,472
457,0.04564286547076398,473
458,0.04631271217198635,474
459,0.027953646421338046,475
460,0.015384247433760061,476
461,0.012459853703452836,477
462,0.0003800158735795971,478
463,0.004655166798500748,479
464,0.023903299849350326,480
465,0.00987616102617103,481
466,0.00588088267204514,482
467,0.0022784621799589594,483
468,0.004858832153470654,484
469,0.011930477100646977,485
470,0.0018719038606419662,486
471,0.0015501562799705092,487
472,0.0053007050195581105,488
473,0.007870652440088242,489
474,0.0017778702625150468,490
475,0.005270554583977291,491
476,0.0018055282059298882,492
477,0.009182344867933583,493
478,0.0036260675962185504,494
479,0.0010809551999003979,495
480,0.0015617988621255084,496
481,0.0014964165426697904,497
482,0.0015610867976252306,498
483,0.0020688173170900887,499
484,0.001971485469617408,500
485,0.004896606287876326,501
486,0.002783765819276617,502
487,0.005006972848974381,503
488,0.0055879997249410505,504
489,0.003535494744540603,514
490,0.00033792389411997837,515
491,0.00299530770149395,516
492,0.004138735318080331,517
493,0.0015987378140608682,518
494,0.001881951151766667,519
495,0.011847210071840752,520
496,0.008660872591902088,521
497,0.005752829859502981,522
498,0.009206742913370107,523
499,0.0024649321411280953,524
500,0.016356870584301565,525
501,0.00223937191679545,527
502,0.015078976358468733,528
503,0.04357585547675491,529
504,0.009617849902860248,531
505,0.020079995533431896,532
506,0.04412768247354762,533
507,0.016547170470153496,534
508,0.014018095852077701,535
509,0.03632601536680824,536
510,0.07037349572511321,537
511,0.02692970669388967,538
512,0.013423391972859034,539
513,0.007210845387022098,540
514,0.0018495434391511167,541
515,0.0019320510684309484,542
516,0.004243009860463914,543
517,0.011430036235601548,544
518,0.002877370512211876,545
519,0.01590276058763024,546
520,0.03007234675230346,547
521,0.04185662308897525,548
522,0.0403069856843195,549
523,0.03830858508364575,550
524,0.03771817962196842,551
525,0.009409719041609437,552
526,0.016415140451940893,553
527,0.025557191306201817,554
528,0.03491812527664351,555
529,0.09304717615519657,556
530,0.02832781965873794,557
531,0.0022397964067382282,558
532,0.009559225142531205,559
533,0.018169906379558166,560
534,0.02289744998512144,561
535,0.04407517696411736,562
536,0.025493396265141965,563
537,0.025604286791908615,564
538,0.04635098293547851,565
539,0.0018262960088398688,566
540,0.0030991611189545077,567
541,0.013302506033159023,568
542,0.020081868959919192,569
543,0.031513279386750755,570
544,0.025078506398262895,571
545,0.0034081362115639426,572
546,0.005717388309587392,573
547,0.005343302244923318,574
548,0.004893862511974774,575
549,0.004237505627609404,576
550,0.009273276076882483,577
551,0.006340851917839593,578
552,0.004881607763600622,579
553,0.006529662267187483,580
554,0.027002106141991864,581
555,0.007977308331722213,582
556,0.008623169798198488,583
557,0.03943828249659129,584
558,0.005477351573119384,585
559,0.001414136179930869,586
560,0.001461171901312539,587
561,0.000790895295747013,588
562,0.0016760090001380625,589
563,0.004669542203551266,590
564,0.00024019070940069836,591
565,0.0012448991616997817,592
566,0.007643312767107679,593
567,0.004272983954591076,594
568,0.002265522468350697,595
569,0.011703725386266415,596
570,0.009212974840050575,597
571,0.010386854650841182,598
572,0.013779556464892491,599
573,0.010170603189342306,600
574,0.003985047096003205,601
575,0.013522383083940936,602
576,0.026090662374602957,603
577,0.10351125394654377,604
578,0.002925454452462019,605
579,0.015121806636897892,606
