,group,r2,mse,
135,149,0.968853935,0.232196424,
136,150,0.347903205,2.777066272,
137,151,-0.301762949,4.147044101,
138,152,0.809824864,1.062771181,
139,153,0.992837029,0.063268999,
140,154,0.900798461,0.65865087,
141,155,0.992697601,0.110419589,
142,156,0.980131563,0.206760614,
143,157,0.993067161,0.04292679,
144,158,0.985914267,0.070602324,
145,159,0.962543972,0.228785553,
146,160,0.847958958,0.651131219,
147,161,0.972990522,0.084741231,
148,162,0.990099522,0.025862519,
149,163,0.974047135,0.253231895,
150,164,0.920798617,0.688671447,
151,165,0.787618404,1.638211953,
152,166,0.194213801,1.812921498,
153,167,0.947147487,0.223551546,
154,168,0.985320642,0.059431585,
155,169,0.527975533,0.807905145,
156,170,0.981324385,0.099619775,
157,171,0.937602879,0.208664915,
158,172,0.960586675,0.107904912,
159,173,-9.225012491,8.512531285,
160,174,-2.627645398,6.829911053,
161,175,-7.802125646,2.761088385,
162,176,0.649169542,13.61500448,del
163,177,-0.222991924,24.88478572,del
164,178,0.623267863,6.681478008,
165,179,0.698115973,2.892569481,
166,180,0.753449263,1.853894501,
167,181,-0.171484104,3.164521186,
168,182,0.853138849,1.317332853,
169,183,0.964641247,0.165597378,
170,184,0.92668372,0.572314559,
171,185,0.506077827,3.532857796,
172,186,0.921100614,0.42637993,
173,187,0.824227469,0.695065393,
174,188,0.771073795,1.634195461,
175,189,0.825640486,0.960458907,
176,190,-0.172632115,0.768374796,
177,191,-0.100993845,7.093575922,
178,192,0.63303158,1.12578203,
179,193,0.663898638,0.793857373,
180,194,0.772666272,0.058864311,
181,195,0.901997895,0.020326195,
182,196,0.977423117,0.003155394,
183,197,0.948171621,0.005392494,
184,198,0.851541945,0.019665152,
185,199,-10.92558214,0.106593206,
186,200,0.055274519,0.084324846,
187,201,-0.437100662,0.188991841,
188,202,0.615837611,0.032506901,
189,203,-0.065035726,0.128136293,
190,204,-0.587484245,0.087945823,
191,205,0.886555726,0.104008919,
192,206,0.95247435,0.022276055,
193,207,0.968450421,0.013849741,
194,208,0.492758926,0.402799162,
195,209,0.78815328,0.082216629,
196,210,0.95090368,0.017035648,
197,211,0.85290989,0.096548528,
198,212,0.771065927,0.064790109,
199,213,0.684986091,0.087077247,
200,214,0.669984886,0.399603925,
201,215,0.59250717,0.279260867,
202,216,0.0484496,0.569487989,
203,217,0.750996144,0.097410456,
204,218,0.826710333,0.049562152,
205,219,0.207590273,0.177205287,
206,220,0.787460757,1.495763197,
207,221,0.973192384,0.154884047,
208,222,0.885890625,0.63295976,
209,223,0.594571446,0.066637444,
210,224,0.351984082,0.057812574,
211,225,-0.639865475,0.087479354,
212,226,0.914464455,0.118476371,
213,227,0.907073991,0.130034532,
214,228,0.910329119,0.152738224,
215,229,0.928800403,0.756222044,
216,230,0.961243329,0.263041033,
217,231,0.978179555,0.169855266,
218,232,0.028723384,22.74029142,del
219,233,0.040252096,8.453560525,
220,234,0.948921265,0.696548206,
221,235,0.968427122,0.339657919,
222,236,0.946789954,0.48327265,
223,237,0.902790807,0.736401935,
224,238,0.913928005,0.717942697,
225,239,0.928376956,0.128653824,
226,240,0.90219788,0.188543088,
227,241,0.930594042,0.151350785,
228,242,0.962334142,0.175611204,
229,243,0.946857881,0.187561346,
230,244,0.915906221,0.209462509,
231,245,0.940242208,0.076882836,
232,246,0.910115184,0.011159064,
233,247,0.72000422,0.031695564,
234,248,0.61697846,0.032987616,
235,249,0.733143272,0.042088395,
236,250,-0.085797918,0.098035147,
237,251,0.72183693,4.823944679,
238,252,0.5736371,6.759786147,
239,253,-0.491788996,19.18518467,
240,254,0.547735783,2.098451478,
241,255,0.829415554,0.525952784,
242,256,-0.621623953,3.13327251,
243,257,0.688734637,0.437726403,
