,Unnamed: 0,CV_r2,CV_mse,test_r2_separa_model,test_mse_separa_model,kpg_pca_mse
1,1,0.0097314404194411,0.1417066793252958,0.062405242716629,0.5499087462518625,0.001489849195621
0,0,0.0073374153092056,0.0882454876964021,0.0518581111775683,0.4333691718851499,0.0012731426098091
1,1,0.009273200519791,0.1124054577868861,0.0542644150760388,0.5397531300237813,0.0012731426098091
0,0,0.0080798366880802,0.0888474603024637,0.0530682647663337,0.4431432877695437,0.0014003047879184
1,1,0.00867994713504,0.1066069293017543,0.0500559234342727,0.5177785577934161,0.0014003047879184
0,0,0.00761207994366,0.0925458793104659,0.0543279759800011,0.4603352641230869,0.0011686921312732
1,1,0.0086050148025639,0.1075287869277648,0.0540019652661775,0.4893857910909421,0.0011686921312732
0,0,0.0069210831725553,0.073675911358331,0.0552256883858546,0.4471821037022163,0.0012022172315324
1,1,0.0076629304099618,0.0884786683332081,0.0641122468254805,0.5324164170272043,0.0012022172315324
0,0,0.0067936038244957,0.0736925052308804,0.0546112947081937,0.4338480674236867,0.001190833744345
1,1,0.0072947642893882,0.0874798802774952,0.0665993054856852,0.5227099052253819,0.001190833744345
0,0,0.0060148190135723,0.0747980223901264,0.0459002390974421,0.3530583923504457,0.0010212925271673
1,1,0.0065617755911695,0.0905937054269931,0.0505596254776048,0.4990609500035335,0.0010212925271673
0,0,0.0053272094521193,0.0643628399336998,0.0427786317999304,0.348133023466123,0.0010356828015061
1,1,0.0064570633818357,0.0855213258589344,0.0434609180448967,0.4423946454281554,0.0010356828015061
0,0,0.0044757550707576,0.0550683810377556,0.0420686947169447,0.3431384548854272,0.0010115720606498
1,1,0.0053296683527309,0.069894765800234,0.039404224161266,0.442557342010797,0.0010115720606498
0,0,0.0054337584131358,0.0617567812008277,0.0370765919698481,0.3211912251616451,0.0008739489301979
1,1,0.006502838699433,0.0780196862655856,0.0426914414315401,0.4856107949606379,0.0008739489301979
0,0,0.0044518997891511,0.0541870251251978,0.0370253230483771,0.3115147825774024,0.0008824412609851
1,1,0.0059441144086962,0.0787007254724404,0.0421649164977635,0.4647692536749006,0.0008824412609851
0,0,0.0037385259228704,0.047447074150898,0.0382664252474456,0.2974192163132677,0.000785429217653
1,1,0.0046057503696217,0.0595480254850107,0.046890418773354,0.5237525817972917,0.000785429217653
0,0,0.0043239638501441,0.0508093098492325,0.036854214852763,0.2953691607078789,0.000755418144673
1,1,0.0052211032937914,0.0637666350936332,0.0384451436587192,0.454182062367762,0.000755418144673
0,0,0.0038066931578432,0.0449518868934944,0.0374453700787914,0.3197195655594301,0.0006795973930736
1,1,0.0048748576687115,0.0650533823594064,0.0405535063529467,0.4532502998056507,0.0006795973930736
0,0,0.0035831590380175,0.0418829339897661,0.0369423720904077,0.3075861703276941,0.0006061656644022
1,1,0.0044902478501019,0.0667942582782965,0.0344835790204006,0.3784234104571556,0.0006061656644022
0,0,0.003725060130241,0.0414404379542054,0.039141728817263,0.3098611114025578,0.000577642967226
1,1,0.0038858523587854,0.0513136641742473,0.0396296331408496,0.3769953158042167,0.000577642967226
0,0,0.0033288511691503,0.0437307379867165,0.0369196668736174,0.29597135280099,0.0005710350674497
1,1,0.0036120568181373,0.0594760469445441,0.0358957899088548,0.4327797562739773,0.0005710350674497
0,0,0.0034668705085363,0.034939713938585,0.0360372692120662,0.2788495076280113,0.0005231945751088
1,1,0.0039117883198685,0.0503567063602871,0.0395172518337969,0.3812065622000051,0.0005231945751088
0,0,0.0029895594353422,0.0283877345075977,0.0367621868109012,0.2881511203998725,0.000431566470154
