,Literature,Unnamed: 1,GAC,GAS,E,S,A,B,V,L,BET,Vt,Vmeso,Vmic,%C,%O,%N,Temp(K),Pressure,Adsorp(mmol/g),Index,logP,logQ,logD,Label,Unnamed: 25,K,n,R2
418,,309,C800-5,Ethane,0,0,0,0,0.3904,0.492,3067,2.1,,,91.88,7.52,0.61,308,0.006978152,0.184271817,2362,-4.964971164,-1.691343344,3.27362782,E&E,,4.335146711,0.68361,0.999290305
428,,319,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,3067,2.1,,,91.88,7.52,0.61,308,0.014904801,0.122690358,2363,-4.206071873,-2.098091514,2.107980359,E&E,,3.009859268,0.710374539,0.999394449
437,4,50,RX 1.5,Ethane,0,0,0,0,0.3904,0.492,1683,0.81,0.2,,,,,303,0.02,1.68,2364,-3.912023005,0.518793793,4.430816799,E&E,,7.836660884,0.268479892,0.935861526
445,,58,RX 0.8,Ethane,0,0,0,0,0.3904,0.492,1323,0.64,0.16,,,,,303,0.02,1.74,2365,-3.912023005,0.553885113,4.465908119,E&E,,6.537967862,0.253248983,0.974515309
454,,67,CGRAN,Ethane,0,0,0,0,0.3904,0.492,1378,0.99,0.54,,,,,303,0.04,1.36,2366,-3.218875825,0.3074847,3.526360525,E&E,,5.981612546,0.357606439,0.978527924
462,,75,CNR-115,Ethane,0,0,0,0,0.3904,0.492,1714,0.95,0.31,,,,,303,0.04,1.24,2367,-3.218875825,0.21511138,3.433987204,E&E,,6.978430858,0.36961366,0.958010293
470,,83,GAC 1240,Ethane,0,0,0,0,0.3904,0.492,982,0.56,0.2,,,,,303,0.04,2.81,2368,-3.218875825,1.033184483,4.252060308,E&E,,6.514051231,0.204503031,0.910284683
476,,89,RX 1.5,Propane,0,0,0,0,0.5313,1.05,1683,0.81,0.2,,,,,303,0.01,2.25,2369,-4.605170186,0.810930216,5.416100402,E&E,,9.804847216,0.236017325,0.919370648
484,,97,RX 0.8,Propane,0,0,0,0,0.5313,1.05,1323,0.64,0.16,,,,,303,0.05,4.33,2370,-2.995732274,1.465567542,4.461299816,E&E,,6.968812273,0.151695982,0.989626249
491,,104,CGRAN,Propane,0,0,0,0,0.5313,1.05,1378,0.99,0.54,,,,,303,0.03,2.84,2371,-3.506557897,1.043804052,4.550361949,E&E,,8.439207958,0.30061529,0.998219087
499,,112,CNR-115,Propane,0,0,0,0,0.5313,1.05,1714,0.95,0.31,,,,,303,0.01,0.95,2372,-4.605170186,-0.051293294,4.553876892,E&E,,10.92041415,0.410969899,0.974409451
508,,121,GAC 1240,Propane,0,0,0,0,0.5313,1.05,982,0.56,0.2,,,,,303,0.01,1.94,2373,-4.605170186,0.662687973,5.267858159,E&E,,8.376114179,0.276243166,0.984985417
