,Literature,Unnamed: 1,GAC,GAS,E,S,A,B,V,L,BET,Vt,Vmeso,Vmic,%C,%O,%N,Temp(K),Pressure,Adsorp(mmol/g),Index,K,n,R2,Excluded,P1,P2,P3,P4,P5
2218,,30,CAC5,Hydrogen,0,0,0,0,0.1086,-1.2,2900,1.45,0.487,0.963,,,,77,0.012589739,0.935812971,3823,13.51866245,0.444143972,0.987216564,,0.012589739,0.229120297,0.406623069,0.876000583,0.995888404
2229,,41,CAC2,Hydrogen,0,0,0,0,0.1086,-1.2,3191,1.48,0.403,1.077,,,,77,0.067056243,4.196994407,3824,12.68436255,0.36111857,0.980722032,,0.067056243,0.264036486,0.384061901,0.736886195,0.978341279
2239,43,0,12ACA-800,Hydrogen,0,0,0,0,0.1086,-1.2,915,0.99,0.62,0.37,,,,77,0.27204239,5.155780531,3825,7.568905796,0.199653295,0.986226809,,0.27204239,0.651910069,7.247383923,10.10301496,19.93835383
2250,,11,14ACA-700,Hydrogen,0,0,0,0,0.1086,-1.2,1083,1.22,0.77,0.45,,,,77,0.214688513,6.158030283,3826,9.16788039,0.219743497,0.997514968,,0.214688513,1.848866983,7.042538076,9.930953332,19.98889925
2260,,21,14ACA-800,Hydrogen,0,0,0,0,0.1086,-1.2,1871,2.03,1.26,0.77,,,,77,0.341163063,6.683391797,3827,9.705109441,0.217884605,0.984375896,,0.341163063,0.81760727,8.009783461,14.06457677,19.86753105
2270,,31,14ACA-900,Hydrogen,0,0,0,0,0.1086,-1.2,1980,1.92,1.2,0.72,,,,77,0.182570342,5.919290144,3828,10.74841782,0.242312176,0.988546759,,0.182570342,6.437473173,11.47077542,17.18292557,19.91430221
2281,,42,15ACA-800,Hydrogen,0,0,0,0,0.1086,-1.2,1521,0.99,0.37,0.62,,,,77,0.342939183,7.065257611,3829,10.26277911,0.211193305,0.984893644,,0.342939183,1.07233249,6.056495419,14.09869307,19.99467164
2293,44,0,1%PT-C,Hydrogen,0,0,0,0,0.1086,-1.2,2750,1.43,0.05,1.38,,,,77,0.01958623,1.85878963,3830,13.37776547,0.419119179,0.987589591,,0.01958623,0.35982121,0.9829368,1.11824017,1.19983297
2305,,12,6%PT-C,Hydrogen,0,0,0,0,0.1086,-1.2,1350,0.67,0.05,0.62,,,,77,0.01949962,1.25360231,3831,5.867508557,0.36709717,0.994525791,,0.01949962,0.05823285,0.20225908,1.05487259,1.19442603
2316,,23,1%PT-C,Hydrogen,0,0,0,0,0.1086,-1.2,2750,1.43,0.05,1.38,,,,87,0.0430761,0.99423631,3832,5.667123261,0.504368089,0.996165391,,0.0430761,0.28810195,0.44062833,0.61245019,1.15362654
2325,,32,6%PT-C,Hydrogen,0,0,0,0,0.1086,-1.2,1350,0.67,0.05,0.62,,,,87,0.02800596,0.69164265,3833,4.312417045,0.46218024,0.992784195,,0.02800596,0.51996927,0.70895846,0.90004485,1.19635619
2334,,41,0PT-C,Hydrogen,0,0,0,0,0.1086,-1.2,537,0.83,0.24,0.59,,,,77,0.02797503,0.47550432,3834,3.014421983,0.308041034,0.867911759,,0.02797503,0.24287916,0.61220892,0.78824991,1.20900125
2343,45,0,N-C-2,Hydrogen,0,0,0,0,0.1086,-1.2,1995,0.87,0.49,0.38,,,,77,0.94488189,8.991981317,3835,11.90435317,0.175003035,0.864383428,,0.94488189,2.598425197,8.897637795,36.53543307,42.99212598
2352,,19,C1,Hydrogen,0,0,0,0,0.1086,-1.2,1363,0.82,0.53,0.29,,,,77,0.68901802,6.75781621,3836,8.329183948,0.16940366,0.917401872,,0.68901802,16.4544065,22.6379547,28.6923336,33.7808785
2361,46,9,C-PASP,Hydrogen,0,0,0,0,0.1086,-1.2,952,0.61,0.12,0.49,87.23,11.33,1.44,77.3,0.031894934,2.205882353,3837,12.69257882,0.507093635,0.998553805,,0.031894934,0.30956848,0.780487805,0.893058161,0.99249531
2369,,104,LAC2600,Hydrogen,0,0,0,0,0.1086,-1.2,1157,0.59,0.05,0.54,67.8,30.84,,77,0.297151571,7.571156255,3838,10.22697473,0.162762492,0.968518001,,0.297151571,0.932193236,1.845215402,6.886988726,19.96710419
2378,,113,LAC2700,Hydrogen,0,0,0,0,0.1086,-1.2,1551,0.77,0.05,0.72,83.3,16.2,,77,0.365993138,7.104188225,3839,10.71658242,0.202962681,0.95147726,,0.365993138,1.003649039,6.89156364,13.46876532,19.97363978
2387,,122,LAC2800,Hydrogen,0,0,0,0,0.1086,-1.2,1924,0.95,0.08,0.87,85.9,13.75,,77,0.372528729,9.907957083,3840,13.5498701,0.198543136,0.975759724,,0.372528729,5.920810413,9.07140134,12.70976526,19.98475029
2396,,131,LAC4600,Hydrogen,0,0,0,0,0.1086,-1.2,1820,0.91,0.16,0.75,75.3,23.37,,77,0.50344745,5.979282626,3841,8.724511069,0.248038096,0.961969188,,0.50344745,4.437134423,11.36667139,17.10327099,19.97080833
2405,,140,LAC4700,Hydrogen,0,0,0,0,0.1086,-1.2,2038,1,0.16,0.84,78.3,21.18,,77,1.00166654,9.715272256,3842,10.76260755,0.2495611,0.980485827,,1.00166654,4.513599181,7.315128476,17.53308571,19.70132996
2414,,149,LAC4800,Hydrogen,0,0,0,0,0.1086,-1.2,3235,1.77,0.84,0.93,84.9,14.69,,77,0.792096463,9.809709499,3843,11.61676578,0.254089805,0.97839305,,0.792096463,4.095983966,6.269020881,12.70970623,19.84641694
2423,,158,LAC4900,Hydrogen,0,0,0,0,0.1086,-1.2,2750,1.66,1.23,0.43,92.6,7.04,,77,0.510418596,8.969904256,3844,12.52368501,0.251222226,0.980078868,,0.510418596,0.936529894,12.78312111,18.38116919,20.05990829
2434,,22,AA-3M,Hydrogen,0,0,0,0,0.1086,-1.2,3220,2.27,1.06,1.21,84.6,11.4,3.5,77,0.868244486,10.07782101,3845,11.8212216,0.338311432,0.99463665,,0.868244486,5.038166744,12.09592183,17.61604647,19.63093738
2446,,34,AS-2M,Hydrogen,0,0,0,0,0.1086,-1.2,3280,2.37,1.3,1.07,89.6,8.8,1.3,77,0.29406008,5.379377432,3846,12.10625409,0.352869536,0.985025537,,0.29406008,0.913496543,13.71184304,16.73402281,19.79613087
2457,,45,AA-0,Hydrogen,0,0,0,0,0.1086,-1.2,3000,1.41,0.32,1.09,93.7,5.9,0.1,77,0.2981312,7.149805447,3847,13.09867936,0.241955536,0.957144139,,0.2981312,4.150662731,12.00714012,17.92592129,19.89822202
2468,,56,AC-0,Hydrogen,0,0,0,0,0.1086,-1.2,3100,1.46,0.41,1.05,95,4.4,0.1,77,0.29922727,7.626459144,3848,13.10083936,0.227743972,0.956609556,,0.29922727,1.360223598,2.009253967,14.21979347,19.81492065
2479,47,0,C3,Hydrogen,0,0,0,0,0.1086,-1.2,1145,1.32,0.91,41,,,,77,0.065546218,2.941176471,3849,6.600658262,0.261799798,0.991336337,,0.065546218,0.168778281,0.328894635,1.693406593,2.938720103
2487,,8,C3PD,Hydrogen,0,0,0,0,0.1086,-1.2,942,1.1,0.77,0.34,,,,77,0.078539108,2.488687783,3850,5.910939429,0.291853802,0.986732776,,0.078539108,0.152165482,0.959922431,1.447834518,2.793406593
2495,,16,C3,Hydrogen,0,0,0,0,0.1086,-1.2,1145,1.32,0.91,41,,,,298,1.038285849,0.042938931,3851,0.04420396,0.867971784,0.996861125,,1.038285849,4.955434346,7.752829843,22.06292469,29.66076825
2504,,25,C3PD,Hydrogen,0,0,0,0,0.1086,-1.2,942,1.1,0.77,0.34,,,,298,0.623613464,0.264790076,3852,0.232054533,0.447485988,0.98503957,,0.623613464,3.338624731,5.656388108,22.68500969,27.96432564
2512,48,0,AC2,Hydrogen,0,0,0,0,0.1086,-1.2,1767,0.9,0.27,0.63,,,,77,1.863057325,6.743630573,3853,8.772144735,0.229373738,0.879741205,1,1.863057325,27.22929936,41.41719745,52.4522293,79.96815287
2522,,10,AC3,Hydrogen,0,0,0,0,0.1086,-1.2,2559,1.25,0.4,0.85,,,,77,1.576433121,13.93873007,3854,15.47073477,0.156001352,0.917484743,,1.576433121,14.04458599,40.70063694,53.02547771,79.53821656
2532,,20,AC5,Hydrogen,0,0,0,0,0.1086,-1.2,3208,1.75,0.74,1.01,90.11,5.99,0.3,77,1.719745223,16.78657647,3855,18.38124703,0.149545276,0.910198238,,1.719745223,2.579617834,40.12738854,68.78980892,79.68152866
2542,49,0,ACNF-CD24-M,Hydrogen,0,0,0,0,0.1086,-1.2,1450,,,0.65,,,,77,0.024326998,3.03030303,3856,9.745643577,0.279373942,0.988082375,,0.024326998,0.076244947,0.808097532,0.947204782,1.135985207
2552,,10,CNF-M,Hydrogen,0,0,0,0,0.1086,-1.2,587,,,0.28,,,,77,0.014311516,2.516233766,3857,6.334753484,0.165182349,0.913113154,,0.014311516,0.102042659,0.730115249,0.865210286,1.157254666
2563,,21,CNF,Hydrogen,0,0,0,0,0.1086,-1.2,520,,,0.22,,,,77,0.052249075,3.706709957,3858,6.354121518,0.180661716,0.997551876,,0.052249075,0.103982111,0.195454545,0.328657435,1.141425131
2571,,29,ACNF-CD24,Hydrogen,0,0,0,0,0.1086,-1.2,1910,,,0.87,,,,77,0.022409048,3.463203463,3859,11.80590962,0.300266454,0.993118471,,0.022409048,0.416724004,0.842186291,0.973372323,1.136337834
2581,,39,ACNF-CD24,Hydrogen,0,0,0,0,0.1086,-1.2,1910,,,0.87,,,,298,8.37769392,0.616352201,3860,0.178369658,0.678514722,0.99736077,,8.37769392,18.66733753,100.8664151,177.5047379,195.7769392
2589,,47,ACNF-CD24-M,Hydrogen,0,0,0,0,0.1086,-1.2,1450,,,0.65,,,,298,9.008301887,0.513626834,3861,0.141603282,0.682510779,0.994926818,,9.008301887,60.38004193,99.83798742,177.4014256,197.2655765
2597,,55,CNF-M,Hydrogen,0,0,0,0,0.1086,-1.2,587,,,0.28,,,,298,10.60159329,0.440251572,3862,0.118542879,0.685482443,0.99571038,,10.60159329,58.42381551,78.62675052,159.7075052,196.2425157
2604,,62,CNF,Hydrogen,0,0,0,0,0.1086,-1.2,520,,,0.22,,,,298,9.630859539,0.322851153,3863,0.101932428,0.693277474,0.994920559,,9.630859539,29.21392034,57.76368973,118.6589518,195.8809224
2611,50,0,0%PT-AC,Hydrogen,0,0,0,0,0.1086,-1.2,2200,1.21,0.27,0.94,,,,77,0.759492515,8.860852568,3864,10.4463359,0.181976617,0.951324713,,0.759492515,2.023182105,4.179720682,27.41891287,37.95498762
2618,,15,,Hydrogen,0,0,0,0,0.1086,-1.2,2200,1.21,0.27,0.94,,,,150,1.61123848,0.803061718,3865,1.187843734,0.470621671,0.949301496,,1.61123848,11.27090545,27.35223463,37.3544268,45.39098108
2625,,28,,Hydrogen,0,0,0,0,0.1086,-1.2,2087,1.06,0.19,0.87,,,,87,1.135710445,5.414093935,3866,6.25409836,0.197462935,0.92766775,1,1.135710445,3.503550833,24.04646678,34.1204502,42.39398491
2632,,35,,Hydrogen,0,0,0,0,0.1086,-1.2,2087,1.06,0.19,0.87,,,,150,1.808792717,0.90499898,3867,0.99281561,0.474271612,0.97571757,,1.808792717,7.039550537,33.14976544,40.52678422,49.34360572
2639,51,0,HCPB,Hydrogen,0,0,0,0,0.1086,-1.2,1299,1.01,0.63,0.38,93.54,6.46,,77,0.029089469,1.848214286,3868,7.228196545,0.374575661,0.998269192,,0.029089469,0.250798391,0.418917601,0.742777913,1.12388469
2647,,8,CHCPB-K-600,Hydrogen,0,0,0,0,0.1086,-1.2,2739,1.84,0.64,1.2,89.29,10.71,,77,0.054083374,3.696428571,3869,13.73272527,0.414817732,0.992663707,,0.054083374,0.23520234,0.378985861,0.748171624,1.133593369
2655,,16,CHCPB-K-700,Hydrogen,0,0,0,0,0.1086,-1.2,3101,1.84,0.41,1.4,91.21,8.79,,77,0.053955388,3.133928571,3870,15.62183777,0.500255741,0.996699747,,0.053955388,0.432447587,0.822312287,0.99467333,1.121800341
2663,,24,CHCPB-K-800,Hydrogen,0,0,0,0,0.1086,-1.2,2772,1.65,0.41,1.24,93.55,6.45,,77,0.021099464,2.732142857,3871,14.90600175,0.419154644,0.998850894,,0.021099464,0.087213554,0.284605071,0.522732813,1.12159922
2672,52,0,CX16AOXI,Hydrogen,0,0,0,0,0.1086,-1.2,1603,1.5,0.85,0.65,,,,298,9.463722397,0.496649894,3872,0.139721906,0.690957159,0.992982746,,9.463722397,20.18927445,157.4132492,183.9116719,196.214511
2681,,9,CX45AOXS,Hydrogen,0,0,0,0,0.1086,-1.2,1727,2.29,1.62,0.67,,,,77,1.158719588,9.993705586,3873,10.92269833,0.18142933,0.918354098,,1.158719588,2.114558342,4.276917744,14.88619881,29.87164868
2689,53,0,BCA,Hydrogen,0,0,0,0,0.1086,-1.2,419,0.196,0.044,0.152,,,,77,0.023961661,0.705652283,3874,4.549562922,0.399620135,0.986730515,,0.023961661,0.052715655,0.587859425,0.706070288,0.974440895
2700,,11,K-700-BCA,Hydrogen,0,0,0,0,0.1086,-1.2,945,0.404,0.057,0.347,,,,77,0.017571885,1.59651192,3875,9.455934589,0.356811206,0.98568756,,0.017571885,0.255591054,0.504792332,0.650159744,0.985623003
2712,,23,K-800-BCA,Hydrogen,0,0,0,0,0.1086,-1.2,1428,0.688,0.189,0.499,,,,77,0.02715655,2.42545588,3876,13.03832304,0.377822112,0.988499017,,0.02715655,0.068690096,0.835463259,0.92172524,0.985623003
2726,,37,K-900-BCA,Hydrogen,0,0,0,0,0.1086,-1.2,1753,1.229,0.547,0.682,,,,77,0.00798722,1.934644127,3877,13.84936065,0.380726009,0.996795154,,0.00798722,0.023961661,0.257188498,0.539936102,0.977635783
2740,54,0,MR-1/2,Hydrogen,0,0,0,0,0.1086,-1.2,2147,0.894,0.132,0.762,,,,77,0.03006263,2.727272727,3878,12.10831674,0.377266523,0.99193867,,0.03006263,0.065135699,0.142797495,0.245511482,1.012108559
2749,,9,MR-1/4,Hydrogen,0,0,0,0,0.1086,-1.2,2647,1.512,0.557,0.955,,,,77,0.03006263,2.242424242,3879,12.49615356,0.440851232,0.993551596,,0.03006263,0.120250522,0.290605428,0.420876827,1.037160752
2759,,19,MR-1/2,Hydrogen,0,0,0,0,0.1086,-1.2,2147,0.894,0.132,0.762,,,,298,1.031388152,0.067307692,3880,0.094247281,0.779915129,0.999381319,,1.031388152,9.743810787,15.59571176,20.87290009,50.48253758
2764,,24,MR-1/3,Hydrogen,0,0,0,0,0.1086,-1.2,2541,1.258,0.362,0.896,,,,298,1.809963003,0.098130841,3881,0.06738403,0.870342309,0.997237538,,1.809963003,5.198015115,9.839490803,20.8017394,49.03396398
2769,,29,MR-1/4,Hydrogen,0,0,0,0,0.1086,-1.2,2647,1.512,0.557,0.955,,,,298,1.027705628,0.066648629,3882,0.071346257,0.882805524,0.99992453,,1.027705628,5.359307359,15.4987013,20.51038961,50.11125541
2775,55,0,PDAC,Hydrogen,0,0,0,0,0.1086,-1.2,2193,0.995,0.051,0.944,,,,77,0.011093502,1.72183367,3883,13.05357364,0.359461884,0.988496598,,0.011093502,0.019017433,0.071315372,0.863708399,0.976228209
2788,,13,,Hydrogen,0,0,0,0,0.1086,-1.2,2193,0.995,0.051,0.944,,,,90,0.019017433,0.973528379,3884,8.330470887,0.485561754,0.993961781,,0.019017433,0.280507132,0.671949287,0.896988906,1.00792393
2801,,26,,Hydrogen,0,0,0,0,0.1086,-1.2,2193,0.995,0.051,0.944,,,,100,0.022187005,0.399755165,3885,5.603974938,0.564532222,0.994831331,,0.022187005,0.082408875,0.237717908,0.480190174,1.017432647
2812,,37,PDAC,Hydrogen,0,0,0,0,0.1086,-1.2,2193,0.995,0.051,0.944,,,,77,0.869565217,14.306698,3886,16.06637091,0.1394243,0.970871537,1,0.869565217,26.08695652,42.85714286,51.67701863,59.00621118
2823,,48,YP80F,Hydrogen,0,0,0,0,0.1086,-1.2,1889,1.11,0.181,0.929,,,,77,0.99378882,11.93242044,3887,12.81300072,0.156651061,0.972918973,,0.99378882,4.720496894,7.826086957,11.55279503,51.42857143
2833,56,0,C1,Hydrogen,0,0,0,0,0.1086,-1.2,3012,1.7,0.72,0.98,,,,77,0.006881365,2.042350872,3888,10.1852715,0.29945746,0.988002414,,0.006881365,0.184522519,0.297494942,0.439025699,1.192474765
2844,,11,C2,Hydrogen,0,0,0,0,0.1086,-1.2,2080,0.9,0.13,0.77,,,,77,0.014379772,1.831229949,3889,8.134161797,0.293663629,0.976312724,,0.014379772,0.10717759,0.611784169,1.048368526,1.193199119
2855,,22,C3,Hydrogen,0,0,0,0,0.1086,-1.2,1006,0.5,0.24,0.26,,,,77,0.008880046,2.206709219,3890,6.398578899,0.187587344,0.966054664,,0.008880046,0.317414682,0.799713835,1.060749617,1.190274875
2865,,32,C4,Hydrogen,0,0,0,0,0.1086,-1.2,606,0.3,0.06,0.24,,,,77,0.008075208,0.79824277,3891,3.953380914,0.278275706,0.961380732,,0.008075208,0.11742586,0.672603092,1.116511475,1.200308521
2876,,43,C5,Hydrogen,0,0,0,0,0.1086,-1.2,1069,1,0.9,0.1,,,,77,0.007873998,0.446126158,3892,3.499664403,0.357958001,0.971864281,,0.007873998,0.10562157,0.725668742,1.043888262,1.182910607
2886,57,0,MDC-1,Hydrogen,0,0,0,0,0.1086,-1.2,3174,4.06,3.05,1.01,,,,77,0.032760913,3.601789709,3893,16.41698337,0.429380065,0.9987601,,0.032760913,0.10981474,0.242068515,0.523891981,1.062126315
2896,,10,MDC-3,Hydrogen,0,0,0,0,0.1086,-1.2,1678,2.01,1.35,0.66,,,,77,0.011066262,1.918344519,3894,10.37185834,0.339750892,0.99414113,,0.011066262,0.06489288,0.196971506,0.391256061,1.062592053
2907,,21,MDC-8,Hydrogen,0,0,0,0,0.1086,-1.2,1978,1.92,1.14,0.78,,,,77,0.016603374,2.897091723,3895,12.03077549,0.321332247,0.996581827,,0.016603374,0.039981848,0.31132819,0.491306217,1.064721711
2917,,31,MDC-1,Hydrogen,0,0,0,0,0.1086,-1.2,3174,4.06,3.05,1.01,,,,298,1.54249073,0.646760732,3896,0.373117772,0.545862769,0.996177749,,1.54249073,10.68778639,21.01143532,30.31861102,100.8349602
2924,58,0,CC-KOH,Hydrogen,0,0,0,0,0.1086,-1.2,2464,1.21,0.19,1.02,,,,77,0.01534132,1.49204108,3897,13.30338208,0.404432211,0.987527951,,0.01534132,0.128647228,0.322607438,0.735484375,0.98820575
2934,,10,PC-KOH,Hydrogen,0,0,0,0,0.1086,-1.2,2580,1.27,0.2,1.07,,,,77,0.013245324,1.820584729,3898,10.9274881,0.394421576,0.995554929,,0.013245324,0.128901288,0.210928492,0.327063261,1.004856456
2944,,20,BC-KOH,Hydrogen,0,0,0,0,0.1086,-1.2,2243,1.34,0.33,1.01,,,,77,0.005506264,0.725976666,3899,13.69614691,0.445597963,0.994854259,1,0.005506264,0.122720788,0.400804198,0.797538549,0.996120698
2955,59,0,ACBS12,Hydrogen,0,0,0,0,0.1086,-1.2,1537,0.79,0.2,0.59,65.06,30.51,1.78,77,0.236686391,0.753768844,3900,6.423721438,0.2566101,0.843463701,,0.236686391,4.654832347,13.01775148,39.05325444,41.18343195
2964,,9,ACBS13,Hydrogen,0,0,0,0,0.1086,-1.2,1930,0.97,0.29,0.68,78.42,19.35,1.39,77,1.104536489,11.00502513,3901,11.80440077,0.141793898,0.949190279,,1.104536489,2.130177515,3.708086785,26.19329389,41.02564103
2972,,17,ACBS14,Hydrogen,0,0,0,0,0.1086,-1.2,2702,1.48,0.64,0.84,92.9,4.8,1.56,77,1.183431953,5.653266332,3902,9.985998579,0.290338805,0.86837477,1,1.183431953,5.364891519,14.43786982,27.06114398,40.15779093
2980,,25,ACBS16,Hydrogen,0,0,0,0,0.1086,-1.2,2838,1.54,0.7,0.84,96.28,1.44,1.67,77,1.025641026,7.236180905,3903,11.92264449,0.257460557,0.873594206,1,1.025641026,7.652859961,14.20118343,26.90335306,39.92110454
2988,60,0,750,Hydrogen,0,0,0,0,0.1086,-1.2,1926,1.05,0.26,0.79,,,,77,0.189996718,5.611222445,3904,9.935811458,0.330055326,0.999603101,,0.189996718,5.868810792,8.209310607,15.85282062,20.21380741
3000,,12,800,Hydrogen,0,0,0,0,0.1086,-1.2,2022,1.09,0.23,0.83,,,,77,0.257029739,4.659318637,3905,8.577672784,0.357188674,0.998181759,,0.257029739,2.33330773,5.025730904,6.982257197,19.9997207
3014,,26,700,Hydrogen,0,0,0,0,0.1086,-1.2,2089,1.1,0.19,0.91,,,,77,0.469719928,5.961923848,3906,9.092024933,0.331357278,0.990792689,,0.469719928,1.807307996,3.070182176,17.17239357,20.03232947
3028,,40,850,Hydrogen,0,0,0,0,0.1086,-1.2,1773,0.94,0.2,0.74,,,,77,0.21799697,3.156312625,3907,6.784310334,0.370721003,0.994355942,,0.21799697,3.935815883,5.298192203,7.392555145,19.95202949
3043,,55,900,Hydrogen,0,0,0,0,0.1086,-1.2,1749,0.94,0.22,0.72,,,,77,0.249767828,2.054108216,3908,5.295503932,0.395040284,0.992443663,,0.249767828,4.243539343,6.024592739,15.33959906,19.97779531
3057,,69,950,Hydrogen,0,0,0,0,0.1086,-1.2,921,0.5,0.12,0.38,,,,77,0.141886561,0.851703407,3909,2.8768135,0.395321997,0.994873698,,0.141886561,2.206573426,6.149302088,9.915580289,20.06067885
3070,61,0,ZTC-5,Hydrogen,0,0,0,0,0.1086,-1.2,3332,1.66,0.48,1.18,,,,77,0.549359298,10.17503297,3910,12.66618544,0.315140865,0.998250374,,0.549359298,5.771366234,11.55087354,15.01571226,18.93905596
3078,,8,ZTC-15,Hydrogen,0,0,0,0,0.1086,-1.2,3169,1.55,0.4,1.15,,,,77,0.539590016,6.785092075,3911,10.58314975,0.338058264,0.986989968,,0.539590016,6.457821124,11.31120048,14.31297523,20.19799078
3088,,18,C10-ZTC-5,Hydrogen,0,0,0,0,0.1086,-1.2,3292,1.64,0.48,1.16,,,,77,0.294274004,6.884399705,3912,12.14096165,0.313878857,0.994137106,,0.294274004,1.657263389,9.189717559,11.99218013,20.21401746
3099,,29,C10-ZTC-15,Hydrogen,0,0,0,0,0.1086,-1.2,2782,1.27,0.36,0.91,,,,77,0.879392245,8.499562705,3913,10.37805466,0.325045233,0.98876866,1,0.879392245,5.045873133,9.746025758,12.7093444,20.51720886
3110,62,0,CP-4-800,Hydrogen,0,0,0,0,0.1086,-1.2,3450,2.57,1.35,1.22,,,,77,0.113681476,6.186438673,3914,13.61101564,0.316903115,0.998788624,,0.113681476,1.147751741,5.183076078,14.5691593,20.0045746
3123,,13,CP-4-700,Hydrogen,0,0,0,0,0.1086,-1.2,3480,2.39,1.21,1.18,,,,77,0.112524681,4.902395356,3915,12.38020164,0.334095004,0.99675256,,0.112524681,0.548794435,4.045367427,14.16196718,20.16521147
3138,,28,CP-4-650,Hydrogen,0,0,0,0,0.1086,-1.2,3260,2.13,1.1,1.03,,,,77,0.084919327,4.26045257,3916,11.49876345,0.329997649,0.997806837,,0.084919327,1.959138818,5.04510189,10.88781447,19.97349886
3153,,43,CP-4-600,Hydrogen,0,0,0,0,0.1086,-1.2,2050,1.03,0.29,0.74,,,,77,0.083815112,3.034774859,3917,9.28121808,0.281551443,0.988605015,,0.083815112,1.415129311,4.120979806,14.15260765,19.88389977
3167,63,0,AC15,Hydrogen,0,0,0,0,0.1086,-1.2,675,0.9,0.477,0.363,71.4,27.8,,298,2.963621111,0.049819143,3918,0.019150342,0.99317409,0.999413648,,2.963621111,7.218047826,12.88821136,33.50952995,47.17348752
3175,,8,AC30,Hydrogen,0,0,0,0,0.1086,-1.2,909,1.204,0.704,0.5,89.3,6.5,,298,1.292609664,0.049408719,3919,0.043125737,0.855962286,0.99957331,,1.292609664,5.42481125,10.97455372,22.97200999,46.56867609
3184,,17,AC45,Hydrogen,0,0,0,0,0.1086,-1.2,1018,1.362,0.803,0.559,92.5,6.4,,298,2.323630492,0.068083005,3920,0.033372808,0.895197875,0.997630155,,2.323630492,6.70930264,14.70580276,40.62429529,43.84228899
3193,,26,AC60,Hydrogen,0,0,0,0,0.1086,-1.2,1034,1.35,0.785,0.565,93.3,5.5,,298,1.812179215,0.086378438,3921,0.047675432,0.919644341,0.998961267,,1.812179215,10.60246615,34.3754792,40.5742326,47.28353524
3202,,35,AC11,Hydrogen,0,0,0,0,0.1086,-1.2,664,0.37,0.084,0.286,91.9,6.3,,298,2.395209581,0.086387675,3922,0.041557068,0.945233171,0.999399521,,2.395209581,22.00598802,27.09580838,38.0239521,46.55688623
3211,,44,AC12,Hydrogen,0,0,0,0,0.1086,-1.2,940,0.707,0.182,0.525,93.8,5.1,,298,2.694610778,0.043397835,3923,0.027890619,0.943708589,0.997009837,,2.694610778,11.52694611,34.43113772,39.82035928,46.55688623
3220,,53,AC13,Hydrogen,0,0,0,0,0.1086,-1.2,937,0.98,0.464,0.516,93.1,6.2,,298,2.095808383,0.057656204,3924,0.031411246,0.993763346,0.998871147,,2.095808383,27.24550898,34.58083832,39.97005988,46.40718563
3229,,62,AC460,Hydrogen,0,0,0,0,0.1086,-1.2,1185,1.41,0.765,0.645,94.4,4.8,,298,1.849948613,0.032374101,3925,0.027767311,0.9445319,0.999547989,,1.849948613,5.459336235,15.23395041,27.38740225,47.2921134
3239,,83,AC15,Hydrogen,0,0,0,0,0.1086,-1.2,675,0.9,0.477,0.363,71.4,27.8,,77,0.176429917,2.489837398,3926,3.724070099,0.222229484,0.981945189,,0.176429917,4.757051236,7.109648809,10.48565911,19.58312472
3247,,91,AC30,Hydrogen,0,0,0,0,0.1086,-1.2,909,1.204,0.704,0.5,89.3,6.5,,77,0.1698734,1.930894309,3927,4.01738685,0.251180409,0.957654194,,0.1698734,1.667143504,5.208258827,12.26426341,25.02622607
3257,,101,AC45,Hydrogen,0,0,0,0,0.1086,-1.2,1018,1.362,0.803,0.559,92.5,6.4,,77,0.331402141,3.201219512,3928,5.023409588,0.214809292,0.95012291,,0.331402141,5.810266314,25.7796295,31.79195575,37.21538755
3268,,112,AC60,Hydrogen,0,0,0,0,0.1086,-1.2,1034,1.35,0.785,0.565,93.3,5.5,,77,0.483990177,3.709349593,3929,5.57296827,0.22903547,0.946684115,,0.483990177,1.235009418,5.233888849,29.31716854,36.20866414
3279,,123,AC11,Hydrogen,0,0,0,0,0.1086,-1.2,664,0.37,0.084,0.286,91.9,6.3,,77,0.628590659,3.53612293,3930,4.296548022,0.214520751,0.949894117,,0.628590659,1.968101728,7.266051297,11.37652941,17.68467104
3288,,132,AC12,Hydrogen,0,0,0,0,0.1086,-1.2,940,0.707,0.182,0.525,93.8,5.1,,77,0.781832167,4.099961539,3931,5.180224224,0.216493234,0.938199131,,0.781832167,3.900146631,13.01651403,17.85954665,31.6458739
3300,,144,AC13,Hydrogen,0,0,0,0,0.1086,-1.2,937,0.98,0.464,0.516,93.1,6.2,,77,0.485565251,3.843206894,3932,5.002326132,0.231287783,0.968217882,,0.485565251,2.419412995,3.749308911,12.13191991,22.54813586
3309,,153,AC460,Hydrogen,0,0,0,0,0.1086,-1.2,1185,1.41,0.765,0.645,94.4,4.8,,77,0.460441866,3.007701777,3933,5.412287435,0.272217731,0.933044544,,0.460441866,2.611507104,6.16273619,8.911368226,24.40692371
3320,,164,AC600,Hydrogen,0,0,0,0,0.1086,-1.2,1307,1.661,0.959,0.702,98.8,1.1,,77,0.374574497,3.453182569,3934,6.146167965,0.231680293,0.948980254,,0.374574497,1.454707153,2.079436079,4.922916512,32.19916849
3333,64,0,NPC-1,Hydrogen,0,0,0,0,0.1086,-1.2,2084.51,1.06,0.102,0.958,,,,77,0.049191642,0.695364238,3935,10.01716155,0.582700769,0.969278608,,0.049191642,0.114550447,0.440820742,0.725652585,0.998947641
