,Literature,Unnamed: 1,GAC,GAS,E,S,A,B,V,L,BET,Vt,Vmeso,Vmic,%C,%O,%N,Temp(K),Pressure,Adsorp(mmol/g),Index,K,n,R2,Excluded,P1,P2,P3,P4,P5
383,,10,NAC-1.5-650,Hydrogen,0,0,0,0,0.1086,-1.2,1342,0.65,0.15,0.5,64.5,8.3,18,77,0.013113918,2.77537109,3642,12.40799643,0.306146023,0.995393647,,0.013113918,0.034460839,0.229289719,0.463992609,1.009216765
394,,21,NAC-1.5-600,Hydrogen,0,0,0,0,0.1086,-1.2,1317,0.64,0.21,0.43,56.5,9.2,22.3,77,0.013159216,3.097088616,3643,15.0890352,0.324851288,0.993769739,,0.013159216,0.26125914,0.53404675,0.787690078,1.020139368
406,,33,NAC-1.5-500,Hydrogen,0,0,0,0,0.1086,-1.2,526,0.26,0.1,0.16,60.3,10.1,25.2,77,0.017264394,2.252739377,3644,7.368325419,0.278819983,0.997895695,,0.017264394,0.233077806,0.393689326,0.539493895,1.010643668
417,8,0,CNX-1-AC,Hydrogen,0,0,0,0,0.1086,-1.2,2864,1.43,0.42,1.01,88.45,10.2,0.46,77,0.969741095,12.26218097,3645,13.56018588,0.285555173,0.992429851,,0.969741095,2.023342208,8.063631858,11.95505243,20.00368423
426,,9,CNX-2,Hydrogen,0,0,0,0,0.1086,-1.2,2700,1.42,0.35,1.07,78.19,12.78,6.47,77,1.046495818,11.20649652,3646,12.30237717,0.308171243,0.992350067,,1.046495818,1.987026259,5.98774556,13.95874543,20.08035123
435,,18,CNX-1,Hydrogen,0,0,0,0,0.1086,-1.2,1803,0.93,0.19,0.74,77.38,15.31,5.27,77,1.04868881,9.176334107,3647,9.954619262,0.298187799,0.991344954,,1.04868881,4.104053088,7.956964724,11.96215773,20.0873688
442,9,0,AG-4-700,Hydrogen,0,0,0,0,0.1086,-1.2,2264,1.02,0.1,0.92,,,,77,0.299401198,8.340646294,3648,13.21066164,0.1712992,0.934437566,,0.299401198,1.19760479,21.25748503,27.84431138,42.66467066
452,,10,AU-4-700,Hydrogen,0,0,0,0,0.1086,-1.2,2137,0.95,0.08,0.87,,,,77,1.497005988,13.01190722,3649,13.39257352,0.1555205,0.940733268,,1.497005988,8.982035928,21.25748503,33.23353293,38.62275449
461,,19,CO-4-700,Hydrogen,0,0,0,0,0.1086,-1.2,2159,0.98,0.11,0.87,,,,77,0.598802395,4.892800606,3650,9.604191373,0.247639027,0.869204369,1,0.598802395,11.9760479,18.11377246,23.95209581,31.73652695
469,,27,LE-4-700,Hydrogen,0,0,0,0,0.1086,-1.2,1983,0.9,0.09,0.81,,,,77,0.149700599,5.610546149,3651,11.19632154,0.206544035,0.917893913,,0.149700599,0.598802395,2.095808383,27.99401198,32.93413174
480,10,0,CMK-3,Hydrogen,0,0,0,0,0.1086,-1.2,984,1.09,0.72,0.37,,,,77,0.021955139,1.374072884,3652,5.286364062,0.276349911,0.953527162,,0.021955139,0.363922274,0.82374617,0.909912805,0.985307539
492,,12,C1223-2,Hydrogen,0,0,0,0,0.1086,-1.2,1814,1.76,1.07,0.69,,,,77,0.036557619,2.175563982,3653,9.705394532,0.367164721,0.982174395,,0.036557619,0.083741457,0.289170255,0.510439831,0.979411702
505,,25,C1223-4,Hydrogen,0,0,0,0,0.1086,-1.2,2110,2.01,1.22,0.79,,,,77,0.031300212,2.605308824,3654,10.13436836,0.363947547,0.990165774,,0.031300212,0.222623562,0.553664546,0.756800994,0.983156587
519,,39,C1223-6,Hydrogen,0,0,0,0,0.1086,-1.2,2749,2.09,1.13,0.96,,,,77,0.01132892,1.861250723,3655,11.68310872,0.386011111,0.994405741,,0.01132892,0.289478758,0.363292414,0.505448079,0.985406089
533,11,0,CEMC750,Hydrogen,0,0,0,0,0.1086,-1.2,3360,1.71,0.47,1.24,,,,77,0.273461183,6.265356265,3656,11.94985563,0.329053561,0.993740686,,0.273461183,2.37324101,11.22658668,13.82749928,20.19863429
