,group,r2,mse
381,510,,0.091815019
382,511,,1.043218083
383,512,,0.115532822
384,513,,0.386163314
385,514,,0.23267509
386,515,,0.761401131
387,516,,0.195577185
388,517,,0.002148671
389,518,,0.115339814
390,519,,0.019967928
391,520,,0.21656925
392,521,,0.004762076
393,522,,0.010407187
394,523,,0.163511549
395,524,,0.00930325
396,525,,0.139063129
397,526,,0.182003983
398,527,,0.553895076
399,528,,0.018380116
400,529,,0.046897058
401,530,,0.226157766
402,531,,0.463032577
403,532,,0.185890416
404,533,,0.026000272
405,534,,0.03834676
406,535,,0.001679435
407,536,,0.20925088
408,537,,0.063300805
409,538,,0.196254839
410,539,,0.210026619
411,540,,0.000240092
412,541,,0.002317642
413,542,,0.001160714
414,543,,0.000226124
415,544,,8.37E-05
416,545,,0.000136489
417,546,,0.378852786
418,547,,0.008558482
419,548,,0.634089751
420,549,,0.128868718
421,550,,0.198909339
422,551,,0.001399832
423,552,,0.002632347
424,553,,0.01320899
425,554,,0.003813551
426,555,,8.700024245
427,556,,0.001830098
428,557,,7.16E-07
429,558,,0.002267048
430,559,,0.006611609
431,560,,0.094733251
432,561,,0.024067525
433,562,,0.021120978
434,563,,0.048707692
435,564,,0.011640734
436,565,,0.02560894
437,566,,0.06893744
438,567,,0.369572737
439,568,,0.175756721
440,569,,0.143760809
441,570,,0.301842475
442,571,,0.249214343
443,572,,0.005589755
444,573,,0.025845347
445,574,,0.037892552
446,575,,0.014955858
447,576,,0.054536868
448,577,,0.475288175
449,578,,0.309343311
450,579,,0.104130396
451,580,,0.159310143
452,581,,1.446893242
453,582,,0.571128773
454,583,,0.982681896
455,584,,0.002639743
456,585,,0.00081144
457,586,,0.00652524
458,587,,0.056366009
459,588,,0.005227974
460,589,,0.306748512
461,590,,0.162502379
462,591,,0.010403846
463,592,,0.011433526
464,593,,0.063187825
465,594,,0.0532311
466,595,,0.006577832
467,596,,0.00749296
468,597,,0.055836223
469,598,,0.728878305
470,599,,0.007901913
471,600,,1.56510523
472,601,,0.159547038
473,602,,0.612205879
474,603,,1.379336418
475,604,,0.096357755
476,605,,0.017399418
477,606,,4.785175192
478,607,,0.350940157
479,608,,0.610284936
480,609,,1.227391058
481,610,,1.068398055
482,611,,0.073857488
483,612,,0.325141344
484,613,,0.055324184
485,614,,5.224803276
486,615,,0.294910199
487,616,,0.003851314
488,617,,0.261137669
489,618,,0.05547828
490,619,,0.062277108
491,620,,0.040932785
492,621,,0.006827283
493,622,,0.236668391
494,623,,0.06247254
495,624,,0.001167541
496,625,,0.007837423
497,626,,0.007883521
498,627,,0.008311717
499,628,,0.034453216
500,629,,0.016605108
501,630,,1.04E-05
502,631,,0.168618561
503,632,,1.359772023
504,633,,0.379280705
505,634,,0.200139233
506,635,,0.106860751
507,636,,0.048112272
508,637,,0.630234731
509,638,,0.000344111
510,639,,0.405452373
511,640,,0.000628759
512,641,,0.00043156
513,642,,0.000203247
514,643,,7.67E-05
515,644,,0.006297537
516,645,,0.006025074
517,646,,0.309437596
518,647,,0.008760665
519,648,,0.006040188
520,649,,0.08419799
521,650,,0.066810343
522,651,,0.001751184
523,652,,0.520545333
524,653,,0.011302625
525,654,,0.062408282
526,655,,0.147567057
527,656,,0.002343336
528,657,,0.082289452
529,658,,0.025260921
530,659,,4.30E-05
531,660,,0.02129342
532,661,,8.71E-05
533,662,,0.001835711
534,663,,0.001319925
535,673,,0.428510484
536,674,,0.084022897
537,675,,0.472682979
538,676,,1.025678477
539,677,,0.056144107
540,678,,0.007453297
541,679,,0.300052843
542,680,,0.609446199
543,681,,0.09898986
544,688,,0.001088921
545,689,,0.00231317
546,690,,0.000301968
547,691,,0.000638659
548,692,,0.000653945
549,693,,5.43E-05
550,694,,0.001087814
551,695,,0.000503115
