,Unnamed: 0,CV_r2,CV_mse,test_r2_separa_model,test_mse_separa_model
2,2,0.0204551984996623,0.3363794311312732,0.1075288421040229,0.7824301062420314
3,3,0.017820126200259,0.3631012420539314,0.1080113691615593,0.8017852551344478
0,0,0.0192880614546887,0.2721766003676157,0.1449111577919785,1.8064275479309853
1,1,0.0190248491222488,0.2753942222223501,0.0872165578348416,1.162485263469853
2,2,0.0216240049579585,0.296546363608202,0.1113486310751842,1.4641868694490472
3,3,0.0175638321805754,0.2528918347360953,0.1186190871959688,1.4772062610006818
0,0,0.0159190308305415,0.1896859591129233,0.0827958864934245,0.5617185621863134
1,1,0.0202654373804664,0.2602637879008497,0.0863079076179952,0.6648901814245509
2,2,0.0194744983889209,0.2620319766281903,0.0807881202485939,0.5695954056168053
3,3,0.0176756815280497,0.206242031977912,0.0746728153478032,0.5138545002561072
0,0,0.01970730496701,0.1830583837253064,0.0888449443628874,0.6639913717539525
1,1,0.0169788436408045,0.1389757426184575,0.0896540800976635,0.7572694217879009
2,2,0.016784180953612,0.1482463764078345,0.0833284155936291,0.6629165706216829
3,3,0.0161720278869454,0.1513158017848891,0.0908216345944882,0.7514741474049437
0,0,0.0217704635249311,0.2850027046533514,0.1187019608441843,1.4229097525341112
1,1,0.0202677583278691,0.258121213440628,0.0985893350422436,1.1723670832064164
2,2,0.0189761040026227,0.243866275276623,0.1198037570993191,1.3796627846498304
3,3,0.0203892306507058,0.2938974260246476,0.1496114160777575,1.6832493480102777
0,0,0.0137791263066829,0.1107073179387821,0.0935597462134811,0.607004493298229
1,1,0.0149230928518216,0.1239685805244854,0.0959330379024544,0.6064754487270433
2,2,0.0115446709762759,0.0883900594999935,0.0853368141303789,0.5231171737424879
3,3,0.0134942154768926,0.1387190589432558,0.0828717458375053,0.4846648976361608
0,0,0.0167853292766532,0.2228047817447007,0.1124784542414362,0.8679058528382625
1,1,0.0135873256519418,0.1592598532787972,0.099014337631852,1.0918322324091436
2,2,0.0133840157526805,0.1670518943939939,0.0851100604367921,0.8175654688214371
3,3,0.0188726955685347,0.2345696941192704,0.0894537295978054,0.7986854887234457
0,0,0.0173808395767592,0.1969089752490565,0.124841601111506,1.4161252338971604
1,1,0.0192853343079909,0.2103682790757993,0.0811303476215663,0.9348031608136552
2,2,0.0163000948079598,0.1869132058806412,0.064844548153477,0.7903827484490041
3,3,0.0167053390693377,0.1809487563854416,0.0682020820239525,0.8076892343393776
0,0,0.0184885357673699,0.2214934839357357,0.0881787448129209,0.6167436121881292
1,1,0.017284670921705,0.1903893608708437,0.0578393615649336,0.3595470715822375
2,2,0.018738875108013,0.2191146082748949,0.0656241216326386,0.506291733495065
3,3,0.0198918748512388,0.2512343808539698,0.0627945459361197,0.673037944801299
0,0,0.0189594649148003,0.1502850924682237,0.0852263787156238,0.6309287956018323
1,1,0.0190540685447598,0.1505145548236001,0.0868552147222856,0.6769084938973462
2,2,0.0168326142588284,0.1359055057448233,0.075387657255996,0.60957415715213
3,3,0.0150348080578367,0.113141640549015,0.0769972688146997,0.5910356238913188
0,0,0.0188644665200264,0.2988959181632892,0.0843504726115821,0.6123420521622217
1,1,0.0205930340523052,0.3203872475714044,0.0658466461228144,0.5136915547901679
2,2,0.0182603466958631,0.2886294727953961,0.0711472222183743,0.5420705245937502
