,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,kpg_pca_mse
0,CO2,GBR_separate,0.936693992,0.889076042,-1,-1,0.947166994,0.598348464,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019030612
0,CO2,ETR_separate,0.935155976,0.903425912,-1,-1,0.95057918,0.585432577,{'n_estimators': 200},0.019030612
0,CO2,LGBM_separate,0.936456231,0.88323729,-1,-1,0.955505002,0.525564123,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019030612
1,CO2,GBR_separate,0.933167475,0.970950317,-1,-1,0.953577405,0.554363021,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019785885
1,CO2,ETR_separate,0.93906972,0.878077228,-1,-1,0.949472462,0.606509378,{'n_estimators': 200},0.019785885
1,CO2,LGBM_separate,0.940855367,0.854763345,-1,-1,0.965254778,0.429015169,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019785885
0,CO2,GBR_separate,0.942628647,0.8517397,-1,-1,0.9376337,0.629587093,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019325324
0,CO2,ETR_separate,0.939186065,0.888205559,-1,-1,0.939992156,0.557468725,{'n_estimators': 200},0.019325324
0,CO2,LGBM_separate,0.944783141,0.817235974,-1,-1,0.949307469,0.50824003,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019325324
1,CO2,GBR_separate,0.932773066,1.018024644,-1,-1,0.9445525,0.547175754,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019725026
1,CO2,ETR_separate,0.934561896,0.990130758,-1,-1,0.939824108,0.555119294,{'n_estimators': 200},0.019725026
1,CO2,LGBM_separate,0.932195886,1.031320585,-1,-1,0.934790513,0.649626811,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019725026
0,CO2,GBR_separate,0.945014051,0.791333069,-1,-1,0.943038133,0.855126605,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019126995
0,CO2,ETR_separate,0.946457681,0.765210472,-1,-1,0.929955929,0.976521537,{'n_estimators': 200},0.019126995
0,CO2,LGBM_separate,0.941004724,0.840985682,-1,-1,0.931202808,1.027488772,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019126995
1,CO2,GBR_separate,0.933008885,0.955271026,-1,-1,0.918959035,1.200852796,"{'learning_rate': 0.5, 'n_estimators': 200}",0.020443142
1,CO2,ETR_separate,0.940132008,0.848988885,-1,-1,0.926444371,1.006075623,{'n_estimators': 200},0.020443142
1,CO2,LGBM_separate,0.939076871,0.866043987,-1,-1,0.932539223,0.998750543,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.020443142
0,CO2,GBR_separate,0.942015098,0.831582393,-1,-1,0.925087682,0.867210143,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019985886
0,CO2,ETR_separate,0.937875836,0.885847322,-1,-1,0.91681121,0.944454184,{'n_estimators': 200},0.019985886
0,CO2,LGBM_separate,0.943018718,0.824013781,-1,-1,0.934817108,0.790886417,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019985886
1,CO2,GBR_separate,0.932474911,0.945180915,-1,-1,0.923117516,0.931153287,"{'learning_rate': 0.5, 'n_estimators': 200}",0.02104169
1,CO2,ETR_separate,0.940640765,0.828698442,-1,-1,0.91540627,0.962525048,{'n_estimators': 150},0.02104169
1,CO2,LGBM_separate,0.936933001,0.869963305,-1,-1,0.926525175,0.863695538,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.02104169
0,CO2,GBR_separate,0.94093522,0.812803392,-1,-1,0.953094668,0.658283519,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019875916
0,CO2,ETR_separate,0.937058983,0.862449019,-1,-1,0.950619152,0.656462926,{'n_estimators': 180},0.019875916
0,CO2,LGBM_separate,0.936254162,0.870651716,-1,-1,0.95696691,0.559036365,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019875916
1,CO2,GBR_separate,0.940174354,0.851832415,-1,-1,0.94988711,0.714350243,"{'learning_rate': 0.5, 'n_estimators': 200}",0.02092704
1,CO2,ETR_separate,0.936814268,0.890976162,-1,-1,0.948037585,0.692643706,{'n_estimators': 200},0.02092704
1,CO2,LGBM_separate,0.935189026,0.914079775,-1,-1,0.955974096,0.581505915,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.02092704
0,CO2,GBR_separate,0.934836793,0.878400026,-1,-1,0.95066408,0.599532828,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019099635
0,CO2,ETR_separate,0.936510595,0.854245694,-1,-1,0.953296004,0.555680103,{'n_estimators': 150},0.019099635
0,CO2,LGBM_separate,0.93663658,0.850886513,-1,-1,0.964582357,0.462764372,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019099635
1,CO2,GBR_separate,0.931023672,0.965763169,-1,-1,0.945574014,0.647657205,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019792681
1,CO2,ETR_separate,0.93421076,0.904122725,-1,-1,0.943804318,0.649720658,{'n_estimators': 150},0.019792681
1,CO2,LGBM_separate,0.923866652,1.071909825,-1,-1,0.954411099,0.577959957,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019792681
0,CO2,GBR_separate,0.936970542,0.826597737,-1,-1,0.948271196,0.790080595,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019170779
0,CO2,ETR_separate,0.936948001,0.829339915,-1,-1,0.942119321,0.889846807,{'n_estimators': 200},0.019170779
0,CO2,LGBM_separate,0.93731474,0.817859069,-1,-1,0.945693253,0.856092723,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019170779
1,CO2,GBR_separate,0.930523328,0.880387759,-1,-1,0.945698685,0.854730491,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019845141
1,CO2,ETR_separate,0.933253435,0.841369424,-1,-1,0.942744459,0.889594173,{'n_estimators': 200},0.019845141
1,CO2,LGBM_separate,0.931308597,0.873246514,-1,-1,0.943246315,0.916781412,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019845141
0,CO2,GBR_separate,0.941274124,0.793855225,-1,-1,0.940923518,0.954633408,"{'learning_rate': 0.5, 'n_estimators': 200}",0.018873964
0,CO2,ETR_separate,0.942434459,0.771330345,-1,-1,0.939854861,0.935441768,{'n_estimators': 150},0.018873964
0,CO2,LGBM_separate,0.945211642,0.739044489,-1,-1,0.942406203,0.930014022,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.018873964
1,CO2,GBR_separate,0.935396154,0.880867612,-1,-1,0.929454731,1.121782488,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019595423
1,CO2,ETR_separate,0.942204794,0.800095937,-1,-1,0.938045077,0.959394701,{'n_estimators': 200},0.019595423
1,CO2,LGBM_separate,0.94089596,0.818633638,-1,-1,0.939474934,1.00006974,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019595423
0,CO2,GBR_separate,0.939060058,0.821673438,-1,-1,0.940127645,0.836823739,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019272124
0,CO2,ETR_separate,0.938994009,0.816331678,-1,-1,0.94253984,0.829363964,{'n_estimators': 150},0.019272124
