,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,,
10,Methane,BG_total,0.933268609,0.927656628,0.896389332,0.984523479,0.896966409,1.111835821,{'n_estimators': 100},1.251393617,0.878445329,1.056610938,0.921996251,1.138495647,0.967979878,1.140535993,0.853035702,0.700260876,1.00,0.17
11,E&E,BG_total,0.933268609,0.927656628,0.896389332,0.984523479,0.853580379,0.950911897,{'n_estimators': 100},0.854321555,0.681471306,0.664593901,0.799974938,0.681635307,0.686914914,0.812020408,0.907202295,0.687107602,0.77,0.11
12,CO2,ETR_total,0.943998114,0.778147635,0.906221741,0.881960312,0.909580002,0.773672896,{'n_estimators': 200},0.68060476,0.655151326,0.817122983,0.727655526,0.978298844,0.719841482,0.825260109,0.92391712,0.557264401,0.77,0.13
13,CFCs,ETR_total,0.943998114,0.778147635,0.906221741,0.881960312,0.931397105,1.164879295,{'n_estimators': 200},1.180094885,2.243439198,1.920858873,1.89077849,2.32622436,0.804622024,2.019131366,2.012309894,3.553791185,1.91,0.77
14,Methane,ETR_total,0.943998114,0.778147635,0.906221741,0.881960312,0.892329779,1.136053231,{'n_estimators': 200},1.26465041,0.862890412,1.005365533,0.862077046,1.025847777,0.839435136,0.952506316,0.694534322,0.627283993,0.93,0.19
15,E&E,ETR_total,0.943998114,0.778147635,0.906221741,0.881960312,0.870135384,0.830208706,{'n_estimators': 200},0.804846782,0.500692032,0.549652279,0.68375755,0.555178852,0.56004445,0.713519108,0.61644537,0.558038766,0.64,0.12
16,CO2,RF_total,0.933814805,0.920390415,0.896614161,0.981294719,0.892180567,0.929772765,{'n_estimators': 200},0.848438606,0.765938454,0.984368101,0.888761509,1.025256819,0.848510905,0.885155142,1.124475545,0.628640187,0.89,0.14
17,CFCs,RF_total,0.933814805,0.920390415,0.896614161,0.981294719,0.930775413,1.165052818,{'n_estimators': 200},1.996411471,2.577201088,2.376961107,1.389055852,3.581633487,1.183746934,2.48632902,1.546434077,5.251765742,2.36,1.27
18,Methane,RF_total,0.933814805,0.920390415,0.896614161,0.981294719,0.897967128,1.096257446,{'n_estimators': 200},1.228896572,0.866924524,1.040656331,0.90784714,1.142154446,0.968780309,1.130943525,0.82911767,0.693953188,0.99,0.17
19,E&E,RF_total,0.933814805,0.920390415,0.896614161,0.981294719,0.853881376,0.949492993,{'n_estimators': 200},0.84771825,0.674398682,0.676191948,0.79821183,0.687862787,0.687930551,0.817532794,0.889782857,0.680524192,0.77,0.10
20,CO2,LGBM_total,0.943028762,0.792226543,0.916049638,0.849519615,0.927860571,0.649631972,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.582038598,0.538458452,0.731434024,0.685538034,0.801160515,0.592909939,0.702922298,0.891369018,0.482896327,0.67,0.12
21,CFCs,LGBM_total,0.943028762,0.792226543,0.916049638,0.849519615,0.95044268,0.92401956,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",1.75541384,1.370049993,0.778064549,1.331934436,1.402963241,0.637914701,1.438885558,1.384322789,2.589187371,1.36,0.55
22,Methane,LGBM_total,0.943028762,0.792226543,0.916049638,0.849519615,0.889941151,1.309089969,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",1.255946672,0.904082892,1.180561611,0.959184722,1.450890959,0.92891625,1.195801406,0.860455155,0.798711645,1.08,0.22
23,E&E,LGBM_total,0.943028762,0.792226543,0.916049638,0.849519615,0.861838282,0.942405307,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.981050033,0.324821925,0.3270105,0.628507566,0.437099604,0.679918465,0.557871511,0.585278665,0.500343907,0.60,0.23
24,CO2,BGLGBM_total,0.946882035,0.740452538,0.915140709,0.817621845,0.924140725,0.659292809,{'n_estimators': 50},0.585577084,0.574891993,0.773474791,0.670857034,0.833781284,0.648201652,0.762172007,0.836342192,0.486893942,0.68,0.12
25,CFCs,BGLGBM_total,0.946882035,0.740452538,0.915140709,0.817621845,0.958243491,0.703453644,{'n_estimators': 50},1.504139883,1.300990169,0.768472894,1.030651825,0.972501081,0.640231756,1.531563858,1.877193512,2.762327817,1.31,0.65
26,Methane,BGLGBM_total,0.946882035,0.740452538,0.915140709,0.817621845,0.891317479,1.243734145,{'n_estimators': 50},1.068176028,0.834982865,1.140809834,0.804582655,1.040003379,0.878156173,1.055317426,0.767592376,0.698197166,0.95,0.18
27,E&E,BGLGBM_total,0.946882035,0.740452538,0.915140709,0.817621845,0.864090621,0.836695349,{'n_estimators': 50},0.875862575,0.390179898,0.487629552,0.598332808,0.533016342,0.595744907,0.470838311,0.547193467,0.510171474,0.58,0.16
28,CO2,DT_separate,0.891549695,1.660799187,-1,-1,0.829514611,1.509197084,{'criterion': 'squared_error'},1.422962463,1.506664028,1.67814534,1.569863075,1.465874852,1.50439675,1.54050389,1.947494293,1.081782534,1.52,0.21
29,CO2,GBR_separate,0.944746388,0.855958335,-1,-1,0.92483966,0.694869754,"{'learning_rate': 0.5, 'n_estimators': 200}",0.683617526,0.684766687,0.715417791,0.940329953,0.970119754,0.754200932,0.864967468,0.880489124,0.499756644,0.77,0.14
30,CO2,BG_separate,0.936789646,0.97758488,-1,-1,0.887085229,0.968553723,{'n_estimators': 100},0.8561668,0.760503359,0.980079425,0.905435882,1.056824183,0.866066643,0.900386519,1.110384966,0.621672376,0.90,0.14
31,CO2,ETR_separate,0.944973065,0.840697331,-1,-1,0.908037166,0.787168335,{'n_estimators': 120},0.714674153,0.666972493,0.831613102,0.732642196,0.952216203,0.722388646,0.823357033,0.940836977,0.57667784,0.77,0.12
32,CO2,RF_separate,0.937398806,0.96831495,-1,-1,0.887940323,0.962540137,{'n_estimators': 200},0.843889933,0.76161904,0.959317816,0.914757462,1.033461279,0.866259851,0.89746541,1.109297505,0.616980733,0.90,0.14
33,CO2,LGBM_separate,0.942043563,0.888954945,-1,-1,0.929128256,0.643914894,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.580133869,0.577439587,0.778634297,0.721602165,0.858478443,0.785860318,0.657429219,0.894716347,0.482438358,0.70,0.13
34,CO2,BGLGBM_separate,0.949300898,0.785495278,-1,-1,0.928350432,0.631995191,{'n_estimators': 30},0.547925141,0.579883868,0.661852883,0.659276704,0.793846538,0.614604504,0.676976623,0.815813068,0.43035266,0.64,0.11
35,CFCs,DT_separate,0.755133417,4.36177702,-1,-1,0.849211991,2.858389763,{'criterion': 'absolute_error'},2.301107831,7.692379009,4.683424143,4.449902136,6.741372433,2.664179824,8.004576447,7.771731507,9.997270663,5.72,2.68
36,CFCs,GBR_separate,0.81591012,3.384092463,-1,-1,0.898020185,2.230752137,"{'learning_rate': 0.5, 'n_estimators': 200}",1.073046423,5.132676406,0.864747383,6.487079161,5.528564556,1.22278548,1.571508548,1.525460776,7.324021551,3.30,2.52
37,CFCs,BG_separate,0.843671842,2.894377577,-1,-1,0.922530901,1.4184574,{'n_estimators': 100},2.021930924,5.225771563,0.740730879,4.604396955,5.907683209,1.744607431,1.579220041,2.321066491,6.13615199,3.17,2.06
38,CFCs,ETR_separate,0.903213465,1.925739033,-1,-1,0.948489238,0.910123904,{'n_estimators': 150},1.693918022,2.69142964,0.719154445,3.963727496,2.78197365,0.920139068,2.093539532,2.057042692,4.976900934,2.28,1.38
39,CFCs,RF_separate,0.844104727,2.910135365,-1,-1,0.918855531,1.491892302,{'n_estimators': 180},1.953710916,5.155056403,0.681703988,4.462753127,5.921769084,1.749543558,1.618086438,2.341184251,6.167564117,3.15,2.05
40,CFCs,LGBM_separate,0.859717783,2.87069998,-1,-1,0.891643153,1.814428041,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 10}",0.832392101,9.070146556,0.673591568,4.03799363,5.617735808,0.643259279,1.095600803,2.137447249,5.319819391,3.12,2.82
41,CFCs,BGLGBM_separate,0.866302827,2.606935335,-1,-1,0.920262973,1.319466045,{'n_estimators': 30},1.166267507,5.550087377,0.655037988,4.673784253,5.301024191,1.122524113,0.975840541,1.768513308,6.098364949,2.86,2.23
42,Methane,DT_separate,0.838272283,1.855574521,-1,-1,0.846688242,1.813334196,{'criterion': 'squared_error'},2.113949941,1.733078388,1.93675432,1.441253562,1.716014786,2.073275329,1.878784353,1.413391741,1.475776069,1.76,0.25
43,Methane,GBR_separate,0.916442625,0.961889494,-1,-1,0.909797738,1.000180576,"{'learning_rate': 0.5, 'n_estimators': 200}",1.364684126,0.882883637,1.078662286,0.91654769,0.983579964,0.974121367,1.240655578,0.807415745,0.67782832,0.99,0.20
44,Methane,BG_separate,0.915360515,0.972322129,-1,-1,0.89932939,1.080914224,{'n_estimators': 100},1.242810689,0.904441569,1.032663502,0.881967386,1.147172851,1.013907781,1.138380122,0.882063936,0.704929766,1.00,0.16
45,Methane,ETR_separate,0.930935874,0.782046652,-1,-1,0.891518388,1.140388207,{'n_estimators': 180},1.272234045,0.84374768,0.973235034,0.858177168,1.013623131,0.850098418,0.958835576,0.679284252,0.646492877,0.92,0.19
46,Methane,RF_separate,0.915183816,0.974722561,-1,-1,0.899230609,1.082581666,{'n_estimators': 200},1.260798767,0.900323687,1.026035546,0.872767852,1.129120403,1.01298534,1.126804875,0.864146154,0.697939365,1.00,0.16
47,Methane,LGBM_separate,0.914023928,0.970330067,-1,-1,0.913478853,0.964933951,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 30}",1.060696663,0.924504946,0.971594382,0.813343066,1.033633582,0.74017327,1.047520742,0.713931409,0.751664199,0.90,0.14
48,Methane,BGLGBM_separate,0.928561417,0.803655901,-1,-1,0.912566564,0.964001607,{'n_estimators': 10},1.050736013,0.799942828,0.943411069,0.719246818,0.956047279,0.735765469,0.947084358,0.6626573,0.609044239,0.84,0.15
49,E&E,DT_separate,0.838919276,1.176495743,-1,-1,0.841752241,1.142487138,{'criterion': 'squared_error'},1.23963625,1.261494774,0.995425923,0.99264766,1.148878724,1.130091257,1.480397223,1.418199353,1.079793688,1.19,0.16
50,E&E,GBR_separate,0.931320638,0.501484702,-1,-1,0.903627078,0.644039194,"{'learning_rate': 0.5, 'n_estimators': 200}",0.848309078,0.392973394,0.499436256,0.552066072,0.458010703,0.616337637,0.597480069,0.488641773,0.449091077,0.55,0.13
51,E&E,BG_separate,0.894457018,0.768848765,-1,-1,0.874747231,0.805630128,{'n_estimators': 100},0.76965599,0.713352663,0.689482891,0.701400852,0.740662607,0.732751638,0.919226404,0.977266977,0.682412169,0.77,0.10
52,E&E,ETR_separate,0.89955317,0.728955999,-1,-1,0.879453423,0.777353699,{'n_estimators': 120},0.743979962,0.575271554,0.512208091,0.573857783,0.540928345,0.626901055,0.768254425,0.691143568,0.559199997,0.64,0.10
53,E&E,RF_separate,0.894328775,0.770477914,-1,-1,0.876155576,0.795240559,{'n_estimators': 200},0.767132401,0.7203419,0.680237588,0.703795628,0.735695251,0.735014176,0.896150964,0.978464731,0.678764321,0.77,0.10
54,E&E,LGBM_separate,0.933630878,0.492250994,-1,-1,0.914758755,0.540548849,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",0.61520784,0.534490401,0.452739207,0.452644934,0.450881949,0.536615087,0.539642151,0.452399327,0.396355133,0.50,0.07
55,E&E,BGLGBM_separate,0.936849067,0.467689295,-1,-1,0.915881671,0.525330455,{'n_estimators': 50},0.593744426,0.437916788,0.416944989,0.452694469,0.422911545,0.5431261,0.497866419,0.449261053,0.399692968,0.47,0.06
