,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,,
40,CFCs,LGBM_separate,0.855862014,3.010244353,-1,-1,0.888571823,1.9,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 10}",0.766202125,6.826486676,0.914382404,4.955494073,5.408917529,0.660269116,1.180000379,3.10576309,5.508492921,3.12,2.35
41,CFCs,BGLGBM_separate,0.854962207,3.054513106,-1,-1,0.912934254,1.41,{'n_estimators': 30},1.161012569,5.618915853,0.660200134,5.123130762,5.093618103,1.142946667,1.099139821,1.986868184,5.811782822,2.91,2.19
42,Methane,DT_separate,0.845446787,1.778932027,-1,-1,0.8433552,1.827901996,{'criterion': 'squared_error'},1.937684852,1.624295402,1.802092499,1.602475315,1.573334691,2.257534639,1.872246667,1.441947887,1.481315548,1.74,0.25
43,Methane,GBR_separate,0.919087741,0.934650735,-1,-1,0.908299089,0.991750549,"{'learning_rate': 0.5, 'n_estimators': 200}",1.186345131,0.815052431,1.053164861,0.971302428,0.988285754,0.930611027,1.291677829,0.666617532,0.71633221,0.96,0.19
44,Methane,BG_separate,0.916076181,0.96483624,-1,-1,0.898313245,1.079642176,{'n_estimators': 100},1.266651592,0.861502759,1.046893202,0.885078766,1.102766212,0.995118861,1.1177415,0.862879061,0.707811943,0.99,0.16
45,Methane,ETR_separate,0.932160553,0.768362709,-1,-1,0.892464429,1.11,{'n_estimators': 180},1.219324787,0.799791025,0.979593569,0.881269524,0.945096407,0.806693123,0.952046817,0.645267368,0.609412678,0.89,0.19
46,Methane,RF_separate,0.91610334,0.966003763,-1,-1,0.898267063,1.082971904,{'n_estimators': 200},1.246322286,0.849527099,1.048206531,0.877239293,1.084040386,0.986447021,1.099701329,0.868172954,0.706432716,0.98,0.16
47,Methane,LGBM_separate,0.928589479,0.803454412,-1,-1,0.910265263,0.99,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",0.994862073,0.836408379,0.939480244,0.675474263,0.957092247,0.717633234,1.010221465,0.641751572,0.718098917,0.85,0.15
48,Methane,BGLGBM_separate,0.931497488,0.773003497,-1,-1,0.9153637,0.93,{'n_estimators': 10},0.964879478,0.712809419,0.902325148,0.698480896,0.918938322,0.699851172,0.943338697,0.601403821,0.575899637,0.79,0.15
49,E&E,DT_separate,0.834285929,1.208045851,-1,-1,0.842391331,1.12787575,{'criterion': 'friedman_mse'},1.092285367,1.204207369,0.971333971,1.027847714,1.168021138,1.176293882,1.345371359,1.395248992,1.027262108,1.15,0.14
50,E&E,GBR_separate,0.921513468,0.577562314,-1,-1,0.898818388,0.67502463,"{'learning_rate': 0.5, 'n_estimators': 200}",0.762313728,0.422362884,0.375549128,0.581832564,0.453891415,0.545382745,0.566261711,0.57935278,0.559334668,0.55,0.11
51,E&E,BG_separate,0.896123172,0.756808679,-1,-1,0.878818648,0.78440043,{'n_estimators': 100},0.778030752,0.701247019,0.719583927,0.718575825,0.745307542,0.733586902,0.892461918,1.008782821,0.644504978,0.77,0.11
52,E&E,ETR_separate,0.904660642,0.692872756,-1,-1,0.887528441,0.73,{'n_estimators': 180},0.739800006,0.589393933,0.488005118,0.553003698,0.504694493,0.620382381,0.680040451,0.696624487,0.538571516,0.61,0.09
53,E&E,RF_separate,0.896000481,0.759120841,-1,-1,0.879275293,0.782112202,{'n_estimators': 200},0.773375061,0.708428693,0.703716201,0.718967358,0.741518614,0.738956693,0.876921586,1.026282749,0.648106378,0.77,0.11
54,E&E,LGBM_separate,0.929434301,0.524350823,-1,-1,0.919233075,0.52,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",0.56026008,0.582896794,0.432485103,0.518430799,0.396747004,0.589100567,0.493467997,0.475633432,0.390142228,0.50,0.07
55,E&E,BGLGBM_separate,0.93565882,0.478695328,-1,-1,0.916345633,0.53,{'n_estimators': 50},0.577179076,0.470725253,0.417232826,0.4628728,0.383238491,0.551488459,0.470047817,0.466247992,0.396003048,0.47,0.06
