,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,,
10,Methane,BG_total,0.932049132,0.944187286,0.889800932,1.040873381,0.889901197,1.174409176,{'n_estimators': 100},1.365437611,1.08699603,1.174769845,0.967191726,1.340089289,1.153950112,1.237430668,1.029042279,0.698173268,1.12,0.19
11,E&E,BG_total,0.932049132,0.944187286,0.889800932,1.040873381,0.848103363,0.974485635,{'n_estimators': 100},0.89063987,0.700015313,0.689759613,0.829577023,0.739803704,0.729789662,0.844016924,0.887526567,0.76935886,0.81,0.09
12,CO2,ETR_total,0.939649516,0.837509309,0.89745972,0.956241001,0.899479653,0.864101282,{'n_estimators': 180},0.729129694,0.707541863,0.891088225,0.797399084,0.855220268,0.787282875,0.84766965,1.012145675,0.58318647,0.81,0.12
13,CFCs,ETR_total,0.939649516,0.837509309,0.89745972,0.956241001,0.922412616,1.215002041,{'n_estimators': 180},1.10438518,1.988377187,2.465199624,1.798483465,2.147742516,0.801229179,1.681478826,1.794709475,3.703343463,1.87,0.82
14,Methane,ETR_total,0.939649516,0.837509309,0.89745972,0.956241001,0.887895569,1.171075437,{'n_estimators': 180},1.401388648,1.082051622,1.164414093,0.953245209,1.312922968,0.975302819,1.06209827,0.943467123,0.648316238,1.07,0.21
15,E&E,ETR_total,0.939649516,0.837509309,0.89745972,0.956241001,0.856087597,0.908008071,{'n_estimators': 180},0.836725855,0.567306757,0.553961824,0.698883001,0.604205233,0.641468739,0.803771897,0.640892468,0.680532689,0.69,0.12
16,CO2,RF_total,0.932353303,0.940133566,0.889603013,1.041527328,0.887291856,0.97378759,{'n_estimators': 180},0.876564278,0.792484877,1.017715198,0.926789628,0.990161477,0.897147927,0.875539513,1.153873611,0.642942064,0.91,0.14
17,CFCs,RF_total,0.932353303,0.940133566,0.889603013,1.041527328,0.908888878,1.483130468,{'n_estimators': 180},1.96015916,2.652718273,2.536931239,1.504234929,3.865556666,1.178243177,2.641696882,1.604738396,4.646339818,2.41,1.12
18,Methane,RF_total,0.932353303,0.940133566,0.889603013,1.041527328,0.890204975,1.166347696,{'n_estimators': 180},1.366540441,1.086281515,1.142276752,0.961486223,1.329660952,1.140013063,1.212031974,1.010894696,0.681071959,1.11,0.20
19,E&E,RF_total,0.932353303,0.940133566,0.889603013,1.041527328,0.848576887,0.974745755,{'n_estimators': 180},0.884874025,0.69449986,0.697147466,0.834626933,0.747029024,0.724266833,0.84232739,0.873399044,0.766439165,0.80,0.09
20,CO2,LGBM_total,0.941999902,0.805554021,0.915883954,0.818893055,0.927079696,0.66028486,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.551858134,0.583499084,0.792235042,0.642021462,0.744825392,0.690832518,0.712091406,0.977488262,0.474908919,0.68,0.14
21,CFCs,LGBM_total,0.941999902,0.805554021,0.915883954,0.818893055,0.942933374,0.908979078,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",1.479703328,1.177965493,1.000035208,0.966581544,1.403095038,0.526775431,1.023369837,0.886481658,3.477512811,1.29,0.82
22,Methane,LGBM_total,0.941999902,0.805554021,0.915883954,0.818893055,0.895621339,1.142719205,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",1.10114097,1.081768948,1.276719292,0.954232763,1.487422855,1.286984677,1.074004503,1.13748128,0.872465813,1.14,0.18
23,E&E,LGBM_total,0.941999902,0.805554021,0.915883954,0.818893055,0.856214574,0.959943492,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.757148367,0.284569855,0.57563518,0.576762491,0.55677567,0.657419225,0.456711204,0.667947127,0.45874461,0.60,0.18
24,CO2,BGLGBM_total,0.945789822,0.755383724,0.91437987,0.809913515,0.919554772,0.692670341,{'n_estimators': 50},0.606890366,0.587250367,0.7727755,0.677365562,0.774712444,0.667337333,0.785697241,0.856232145,0.493181832,0.69,0.11
25,CFCs,BGLGBM_total,0.945789822,0.755383724,0.91437987,0.809913515,0.956141481,0.7229526,{'n_estimators': 50},1.462638603,1.234107332,0.847203827,1.107720046,0.999356344,0.669569355,1.337653719,1.784132639,2.817358666,1.30,0.64
26,Methane,BGLGBM_total,0.945789822,0.755383724,0.91437987,0.809913515,0.896987924,1.140138341,{'n_estimators': 50},1.11491268,0.938874111,1.123344629,0.824076219,1.099148298,0.961638104,1.039219124,0.848460681,0.671649632,0.98,0.16
27,E&E,BGLGBM_total,0.945789822,0.755383724,0.91437987,0.809913515,0.868632657,0.79650313,{'n_estimators': 50},0.893815075,0.389671573,0.514964609,0.511281305,0.557225394,0.616868728,0.48107528,0.527508522,0.536303799,0.58,0.15
28,CO2,DT_separate,0.897778307,1.55067198,-1,-1,0.825863558,1.543541354,{'criterion': 'friedman_mse'},1.739083852,1.480126198,1.597277123,1.524773941,1.569869284,1.565049161,1.493428496,1.917236499,1.116757049,1.55,0.20
29,CO2,GBR_separate,0.943179555,0.880495739,-1,-1,0.919733099,0.716408169,"{'learning_rate': 0.5, 'n_estimators': 200}",0.703419824,0.661922693,0.685938206,0.827430916,0.801437442,0.747131317,0.80588182,0.800270474,0.503911124,0.73,0.10
30,CO2,BG_separate,0.937018548,0.972036242,-1,-1,0.880533042,1.023881941,{'n_estimators': 100},0.888192985,0.792753641,1.019762512,0.956341794,1.005673365,0.89862588,0.883169263,1.120523494,0.627083976,0.92,0.14
31,CO2,ETR_separate,0.943934485,0.854141386,-1,-1,0.897178353,0.876314013,{'n_estimators': 180},0.76377951,0.729791261,0.903310692,0.810738259,0.879635496,0.788384748,0.850787256,1.000187704,0.58702443,0.82,0.11
32,CO2,RF_separate,0.937423412,0.965178687,-1,-1,0.882008787,1.017514546,{'n_estimators': 200},0.878208697,0.791492913,0.997468594,0.953123772,0.991385243,0.90283256,0.885809116,1.125095914,0.626094484,0.92,0.14
33,CO2,LGBM_separate,0.940453423,0.90601754,-1,-1,0.91945771,0.730053196,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.648678484,0.586787136,0.745966861,0.710220598,0.814737502,0.761818157,0.742515883,0.854678603,0.515910802,0.71,0.10
34,CO2,BGLGBM_separate,0.949032374,0.785122933,-1,-1,0.918751722,0.703450054,{'n_estimators': 30},0.584201481,0.606879775,0.688389087,0.696756958,0.741661643,0.650838856,0.740267237,0.823784173,0.458619643,0.67,0.10
35,CFCs,DT_separate,0.815958922,3.346262857,-1,-1,0.897425187,2.058785183,{'criterion': 'squared_error'},2.97741233,9.035168874,2.306682697,4.622731113,6.817668188,2.457932944,8.431710882,6.395255313,6.210657402,5.13,2.61
36,CFCs,GBR_separate,0.860470615,2.864607152,-1,-1,0.931346281,1.074738297,"{'learning_rate': 0.5, 'n_estimators': 200}",0.852535206,5.697769612,1.016249855,4.891858822,6.933544038,0.625901381,1.140508364,1.440331223,5.540637555,2.92,2.51
37,CFCs,BG_separate,0.865314263,2.477609629,-1,-1,0.921399281,1.383718344,{'n_estimators': 100},2.210470367,5.454005783,0.913052321,3.734447257,5.626754063,1.828565841,1.409279172,2.176079884,4.699332555,2.94,1.78
38,CFCs,ETR_separate,0.917211548,1.660081593,-1,-1,0.940103843,0.972822434,{'n_estimators': 200},1.639581716,2.362607399,0.758283594,3.463623211,2.426128973,0.801517765,1.496294313,1.610990866,4.769263189,2.03,1.28
39,CFCs,RF_separate,0.862096536,2.546563183,-1,-1,0.919191363,1.443145914,{'n_estimators': 150},2.178645869,5.497623901,0.894950913,3.860578964,5.607977273,1.819612411,1.432756647,2.207665722,4.772774824,2.97,1.79
40,CFCs,LGBM_separate,0.89754479,2.011883046,-1,-1,0.936833453,1.075042138,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 10}",1.050372455,7.613864328,0.723543287,5.044241063,5.469428976,0.723450129,0.910879532,1.752820866,5.395648226,2.98,2.61
41,CFCs,BGLGBM_separate,0.886671476,2.194043577,-1,-1,0.919585096,1.255557386,{'n_estimators': 30},1.055947656,5.295524699,0.764061149,4.497180606,4.751670248,0.954279261,0.856332604,1.521199332,5.382238921,2.63,2.05
42,Methane,DT_separate,0.82860771,1.943018039,-1,-1,0.850563653,1.763425096,{'criterion': 'squared_error'},1.959909804,1.766114248,1.836733839,1.714226159,2.156098322,2.148119652,2.211280909,1.784300482,1.291070596,1.86,0.27
43,Methane,GBR_separate,0.910024076,1.038195617,-1,-1,0.905504845,0.999531905,"{'learning_rate': 0.5, 'n_estimators': 200}",1.220397566,1.208848525,1.019371033,1.088397358,1.163927597,0.9673566,1.170173189,0.81437349,0.708124071,1.04,0.17
44,Methane,BG_separate,0.909324676,1.018406826,-1,-1,0.892307177,1.14590807,{'n_estimators': 100},1.363789679,1.096297305,1.138427603,0.956430131,1.332311,1.141088688,1.222900675,1.046682904,0.700632896,1.11,0.19
45,Methane,ETR_separate,0.919072871,0.920110859,-1,-1,0.885839978,1.191146059,{'n_estimators': 200},1.418654203,1.075444867,1.149352149,0.95324248,1.318141232,0.975760846,1.058002777,0.931326998,0.652245889,1.07,0.22
46,Methane,RF_separate,0.909146867,1.019129583,-1,-1,0.892017219,1.152801743,{'n_estimators': 200},1.371622087,1.095144715,1.152143722,0.952806199,1.325738281,1.14214326,1.240162059,1.024640708,0.691385148,1.11,0.20
47,Methane,LGBM_separate,0.911456458,0.986781026,-1,-1,0.901226833,1.106381571,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",1.209410269,1.127773322,0.987230428,0.863153382,1.213464378,1.113516692,1.28510484,0.906523929,0.738718397,1.06,0.18
48,Methane,BGLGBM_separate,0.922318164,0.872472837,-1,-1,0.907082417,1.010843221,{'n_estimators': 10},1.118069245,0.938461726,0.924283655,0.759524922,1.080402443,0.867558533,0.983573534,0.775960617,0.608893578,0.91,0.16
49,E&E,DT_separate,0.839803996,1.174275904,-1,-1,0.80721305,1.39520177,{'criterion': 'squared_error'},1.308747787,1.071706522,1.065177818,1.069116637,1.226273662,1.310810419,1.353986789,1.296552147,1.198912545,1.23,0.12
50,E&E,GBR_separate,0.931880604,0.492830323,-1,-1,0.901611333,0.647665609,"{'learning_rate': 0.5, 'n_estimators': 200}",0.711177807,0.339324899,0.467939942,0.408301011,0.53145803,0.597145744,0.590178512,0.50677954,0.472600047,0.53,0.11
51,E&E,BG_separate,0.892127068,0.788216365,-1,-1,0.862199354,0.877110356,{'n_estimators': 100},0.809726673,0.647241788,0.674135656,0.735624082,0.81488438,0.804522227,0.923319553,0.973631088,0.782513699,0.80,0.10
52,E&E,ETR_separate,0.893393499,0.773719486,-1,-1,0.866083525,0.840814936,{'n_estimators': 120},0.804200299,0.615894413,0.532022735,0.640624565,0.558071094,0.722284038,0.868420893,0.730935227,0.70909029,0.70,0.12
53,E&E,RF_separate,0.892009781,0.789676689,-1,-1,0.862825449,0.871944734,{'n_estimators': 200},0.796782247,0.648667864,0.667099794,0.730634976,0.81324033,0.806255888,0.926183374,0.977349057,0.780737075,0.80,0.10
54,E&E,LGBM_separate,0.929758016,0.519541599,-1,-1,0.906861195,0.580786035,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",0.591915817,0.508104608,0.364392654,0.406003221,0.437629187,0.553594873,0.482177415,0.437854809,0.441384767,0.48,0.08
55,E&E,BGLGBM_separate,0.934608869,0.486238196,-1,-1,0.913933131,0.526834283,{'n_estimators': 50},0.596742833,0.377933579,0.371533675,0.414515635,0.428987903,0.551270958,0.468248013,0.396478119,0.430710367,0.46,0.08
