,Unnamed: 0,GAC,GAS,E,S,A,B,V,L,BET,Vt,Vmeso,Vmic,%C,%O,%N,Temp(K),Pressure,Adsorp(mmol/g),Index,K,n,R2
1212,68,NPC-600,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1033,0.51,0.08,0.43,71.6,,5.05,273,0.017699115,0.396946565,91,4.849782947,0.553487164,0.997373583
1221,0,COP-M,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1420,1.4,0.45,0.95,,,,273,0.058610148,0.148367953,92,2.660975105,0.840632443,0.995571054
1232,11,COP-M-600,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,820,0.8,0.27,0.53,,,,273,0.029425341,0.341246291,93,3.192517878,0.513391077,0.990958879
1245,24,COP-M-700,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,751,0.7,0.26,0.44,,,,273,0.036360742,0.741839763,94,3.389319039,0.415536488,0.994782084
1258,37,KCOP-M-600,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1950,0.9,0.76,0.14,,,,273,0.116677273,1.520363636,95,7.497849559,0.699961369,0.998855942
1269,48,KCOP-M-700,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,2186,1,0.85,0.15,,,,273,0.210837879,2.142285714,96,6.974917539,0.739149778,0.999666568
1281,60,KCOP-M-600,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1950,0.9,0.76,0.14,,,,298,0.059362121,0.540311688,97,6.30410251,0.784060503,0.998465695
1293,72,KCOP-M-700,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,2186,1,0.85,0.15,,,,298,0.059362121,0.386025974,98,4.707181684,0.84019385,0.998792547
1305,0,CS-6,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,530,0.23,,,,,,296,0.029690552,0.445682451,99,3.79521889,0.523151323,0.997106492
1318,13,CS-P-A,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1740,0.76,,,,,,296,0.029690552,0.208913649,100,4.351580082,0.80604737,0.999841936
1331,26,CS-3-A,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,2120,0.94,,,,,,296,0.139317208,0.849582173,101,4.024133862,0.792455893,0.999805107
1342,37,CS-6-A,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,600,0.27,,,,,,296,0.066232771,0.376044568,102,2.872393285,0.679991536,0.998433195
1353,48,CS*-6,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,540,0.25,,,,,,303,0.0383488,0.499888544,103,3.420618284,0.511753967,0.994143106
1365,60,CS*-P-A,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,2400,1.07,,,,,,303,0.1054592,0.662770732,104,4.631666608,0.834130673,0.999712717
1376,71,CS*-3-A,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1960,0.84,,,,,,303,0.0503328,0.194619996,105,3.93574366,0.825782418,0.998347774
1388,83,CS-P-A,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1740,0.76,,,,,,273,0.223249714,2.938005391,106,8.086655431,0.677092414,0.998989313
1401,96,CS*-P-A,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,2400,1.07,,,,,,273,0.344083657,4.09703504,107,8.80443679,0.709879018,0.999373007
1412,107,CS*-3-A,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1960,0.84,,,,,,273,0.050047312,0.592991914,108,6.869212144,0.751619683,0.999044687
1428,0,NC-600-2,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1023,0.38,,,84.2,,1.35,273,0.021082493,0.655455325,109,5.810428135,0.478434183,0.99230902
1443,15,NC-600-3,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1383,0.52,,,83.3,,1.08,273,0.040149598,0.924680599,110,6.021842125,0.531153677,0.998288888
1456,28,NC-600-4,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1604,0.6,,,84.2,,0.81,273,0.023143802,0.873749949,111,6.777820003,0.536101192,0.999456935
1468,40,NC-600-3,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1383,0.52,,,83.3,,1.08,298,0.036037185,0.454518552,112,4.005160658,0.615896206,0.99942952
1480,52,NC-600-4,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1604,0.6,,,84.2,,0.81,298,0.059385077,0.639954692,113,4.341407542,0.63094089,0.999128481
1491,63,NC-650-2,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1178,0.45,,,82,,1.23,273,0.043544116,1.126481016,114,5.877690805,0.495636205,0.998999926
1502,74,NC-650-3,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1535,0.56,,,81.3,,0.91,273,0.024049681,0.945017279,115,7.047113888,0.503659102,0.999047993
1514,86,NC-650-4,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1687,0.63,,,83,,0.7,273,0.034809487,0.817548918,116,6.640879943,0.585071341,0.998522298
1526,98,NC-650-2,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1178,0.45,,,82,,1.23,298,0.047689839,0.562769276,117,4.067597076,0.591729332,0.997082998
1537,109,NC-650-3,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1535,0.56,,,81.3,,0.91,298,0.049911363,0.762728884,118,4.744606794,0.595575909,0.999656522
1549,121,NC-650-4,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1687,0.63,,,83,,0.7,298,0.030344,0.344902836,119,4.260108491,0.678172816,0.99947612
1561,133,NC-700-4,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1937,0.72,,,86.5,,0.61,273,0.023731665,0.57881137,120,6.756900551,0.599455015,0.999025513
1573,145,NC-700-2,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1550,0.57,,,84.2,,0.86,273,0.040928683,0.795865633,121,6.1129632,0.580453297,0.998034608
1584,156,NC-700-3,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1596,0.6,,,86.3,,0.73,273,0.040972948,0.940568475,122,6.994441702,0.584138065,0.998869929
1596,168,NC-700-2,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1550,0.57,,,84.2,,0.86,298,0.06440029,0.524547804,123,4.067298588,0.680164962,0.997634322
1608,180,NC-700-3,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1596,0.6,,,86.3,,0.73,298,0.111647826,0.976744186,124,4.590316401,0.68030672,0.999411343
1619,191,NC-700-4,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1937,0.78,,,86.5,,0.61,298,0.137376957,1.085271318,125,4.330895897,0.687829535,0.999665406
1629,0,VR-5,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,2450,1.12,,,,,,298,0.078125,0.496170048,126,4.606944173,0.835661242,0.999447016
1639,10,VR-93,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,2895,1.42,,,,,,298,0.046875,0.345929663,127,4.861596316,0.808281506,0.999552212
1649,0,PC,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1220,0.47,0.47,0,,,,298,0.342117429,2.387755102,128,4.356463336,0.304848861,0.980676201
1661,12,AC2-PC,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1598,0.63,0.6,0.03,,,,298,0.136054422,0.734693878,129,4.187035705,0.414742184,0.9791043
1671,22,AC4-PC,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,2151,0.9,0.85,0.05,,,,298,0.999273496,3.765306122,130,4.545376893,0.469409215,0.994617849
1683,0,unmodified AC,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1889,1.178,0.114,1.064,77.2,18,4.9,303,0.983606557,2.982931755,131,2.83360382,0.623555521,0.996032456
1691,8,AC-NH-400,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1637,0.999,0.199,0.8,74.6,11.5,13.9,303,0.819672131,1.23363723,132,1.426620647,0.469806339,0.987876028
1698,15,AC-NH-800,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,2079,1.292,0.127,1.165,69,12.6,18.3,303,1.245901639,4.149678643,133,4.302739466,0.57123516,0.995633987
1706,23,unmodified AC,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1889,1.178,0.114,1.064,77.2,18,4.9,288,0.957446809,2.743142145,134,3.717164667,0.648743815,0.994624193
1714,31,,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1889,1.178,0.114,1.064,77.2,18,4.9,318,0.989361702,1.80798005,135,2.714930094,0.568839765,0.967829368
1722,39,,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1889,1.178,0.114,1.064,77.2,18,4.9,348,1.14893617,1.371571072,136,1.912618675,0.61680192,0.984951822
1730,47,AC-NH-800,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,2079,1.292,0.127,1.165,69,12.6,18.3,288,1.248730964,4.660821412,137,4.466721241,0.585467794,0.995862865
1738,55,,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,2079,1.292,0.127,1.165,69,12.6,18.3,318,1.218274112,2.089152276,138,1.907309654,0.599928884,0.986376079
1746,63,,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,2079,1.292,0.127,1.165,69,12.6,18.3,348,1.30964467,1.670188392,139,1.599438968,0.589875386,0.99632819
1754,0,CF-700,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,499,0.205,0.012,0.193,,,,298,0.027237354,0.211933243,140,2.277726017,0.50719476,0.988206816
1768,14,CF-800,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,540,0.234,0.025,0.209,,,,298,0.029182879,0.381673874,141,3.269798912,0.518160614,0.993719077
1779,25,CF-850,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,452,0.198,0.024,0.174,,,,298,0.044747082,0.466389373,142,2.623071473,0.4809749,0.992520721
1790,36,CF-700-ACT,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,599,0.248,0.019,0.229,,,,298,0.022096183,0.281976088,143,2.652725217,0.506973575,0.995266825
1804,50,CF-750-ACT,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,696,0.289,0.022,0.267,,,,298,0.044119652,0.394766524,144,2.827958118,0.545944155,0.99360386
1816,62,CF-800-ACT,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,863,0.341,0.007,0.334,,,,298,0.04600569,0.530115046,145,3.847440879,0.60033774,0.998188426
1828,74,CF-850-ACT,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1018,0.429,0.036,0.393,,,,298,0.033067016,0.236859914,146,3.150203901,0.64773257,0.995895486
