,E,S,A,B,V,L,BET,Vt,Temp(K),K,n,Vmic
189,0,0.28,0.05,0.1,0.2809,0.058,2520.0,1.25,298.0,3.475922269796554,0.7878005247099708,1.08
190,0,0.28,0.05,0.1,0.2809,0.058,2520.0,1.25,323.0,1.6412805404416473,0.8356800316263789,1.08
191,0,0.28,0.05,0.1,0.2809,0.058,2940.0,1.37,273.0,5.942906617315434,0.7839925221768137,1.14
192,0,0.28,0.05,0.1,0.2809,0.058,2940.0,1.37,298.0,3.1291142031310164,0.8614688340219744,1.14
193,0,0.28,0.05,0.1,0.2809,0.058,2940.0,1.37,323.0,1.6681788035620244,0.9454643068555456,1.14
194,0,0.28,0.05,0.1,0.2809,0.058,3410.0,1.94,273.0,4.401691887522441,0.8617432413364392,1.21
195,0,0.28,0.05,0.1,0.2809,0.058,3410.0,1.94,298.0,2.672392940098106,0.9564954996425572,1.21
196,0,0.28,0.05,0.1,0.2809,0.058,3410.0,1.94,323.0,1.578076075871325,1.0930091202290932,1.21
205,0,0.28,0.05,0.1,0.2809,0.058,879.0,0.38,273.0,4.75758485823159,0.4161348436692156,0.33
206,0,0.28,0.05,0.1,0.2809,0.058,1135.0,0.62,273.0,5.399949046472046,0.5053442633485055,0.43
207,0,0.28,0.05,0.1,0.2809,0.058,1185.0,0.87,273.0,6.253315259202967,0.5913421725424928,0.66
208,0,0.28,0.05,0.1,0.2809,0.058,1562.0,0.75,273.0,6.013413756756804,0.534683799950839,0.64
209,0,0.28,0.05,0.1,0.2809,0.058,879.0,0.38,298.0,3.679357791064216,0.5163487837574235,0.33
210,0,0.28,0.05,0.1,0.2809,0.058,1185.0,0.87,298.0,4.12295844760485,0.6539437370238517,0.66
211,0,0.28,0.05,0.1,0.2809,0.058,1562.0,0.75,298.0,3.7464760038450633,0.6331759385103526,0.64
212,0,0.28,0.05,0.1,0.2809,0.058,1483.0,0.66,273.0,6.110107410995209,0.5352266841565452,0.61
213,0,0.28,0.05,0.1,0.2809,0.058,1487.0,0.79,273.0,6.303118888998726,0.5319237572970206,0.66
214,0,0.28,0.05,0.1,0.2809,0.058,2322.0,1.06,273.0,6.190005049012926,0.6214508248488748,0.79
215,0,0.28,0.05,0.1,0.2809,0.058,2521.0,1.34,273.0,6.082370052295008,0.6655424258876115,0.78
216,0,0.28,0.05,0.1,0.2809,0.058,1483.0,0.66,298.0,4.250054502393729,0.621207534663301,0.61
