,Unnamed: 0,GAC,GAS,E,S,A,B,V,L,BET,Vt,Vmeso,Vmic,%C,%O,%N,Temp(K),Pressure,Adsorp(mmol/g),Index,K,n,R2
688,19,FF-4600,Hydrogen,0,0,0,0,0.1086,-1.2,1970,0.86,0.27,0.59,66.9,31.2,0,77,0.757042254,7.464788732,69,11.12360776,0.233226498,0.920450215
699,30,SF-4800,Hydrogen,0,0,0,0,0.1086,-1.2,2393,1.09,0.39,0.7,82.8,16.4,0.5,77,0.372677818,8.007719916,70,15.44102086,0.209299737,0.896870145
708,39,SF-4700,Hydrogen,0,0,0,0,0.1086,-1.2,2512,1.2,0.29,0.91,77.6,21.3,0.4,77,0.755061962,9.973589761,71,14.67490063,0.228489104,0.92422192
719,50,SF-4600,Hydrogen,0,0,0,0,0.1086,-1.2,4310,2.09,0.38,1.71,70.5,27.8,1.1,77,0.359585562,16.15764881,72,22.74637713,0.185061589,0.952374395
730,0,C3-1/4-800,Hydrogen,0,0,0,0,0.1086,-1.2,2047,0.98,0.24,0.74,95,4.4,,77,0.238886924,6.272727273,73,10.46511869,0.278699672,0.997188976
743,13,C4-1/2-700,Hydrogen,0,0,0,0,0.1086,-1.2,1283,0.68,0.11,0.57,85.8,11.9,,77,0.184075328,2.883116883,74,7.953115992,0.28679571,0.960584219
757,27,E-1/4-700,Hydrogen,0,0,0,0,0.1086,-1.2,2252,1.03,0.12,0.91,94.1,5.2,,77,0.501871931,10.89171975,75,13.3053021,0.246549069,0.999235994
770,40,F-1/4-700,Hydrogen,0,0,0,0,0.1086,-1.2,2178,1.03,0.09,0.94,93,6.1,,77,0.319216868,8.21656051,76,12.39584997,0.26631186,0.995381388
785,55,G-1/4-700,Hydrogen,0,0,0,0,0.1086,-1.2,2121,1,0.09,0.91,92.8,6.4,,77,0.187841364,5.770700637,77,11.60161463,0.280339543,0.992744548
800,70,C1-1/4-600,Hydrogen,0,0,0,0,0.1086,-1.2,2014,0.94,0.13,0.81,,,,77,0.552856649,9.278134397,78,11.84531986,0.247008337,0.99269892
809,79,AC1(1/4-600),Hydrogen,0,0,0,0,0.1086,-1.2,1853,0.87,0.14,0.73,,,,77,0.107939741,5.526670854,79,10.74061945,0.286916249,0.998259245
821,91,AC1(1/4-700),Hydrogen,0,0,0,0,0.1086,-1.2,2722,1.23,0.17,1.06,,,,77,0.142655897,6.250469263,80,12.66716321,0.309139427,0.998845013
834,104,C4-1/2-700,Hydrogen,0,0,0,0,0.1086,-1.2,1283,0.68,0.11,0.57,,,,77,0.109067607,6.361032938,81,11.25957608,0.210714309,0.995162487
845,115,AC4(1/2-700),Hydrogen,0,0,0,0,0.1086,-1.2,1280,0.64,0.11,0.53,,,,77,0.242445863,4.200721392,82,7.877608279,0.30993508,0.994696119
857,127,AC4(1/4-700),Hydrogen,0,0,0,0,0.1086,-1.2,2469,1.18,0.22,0.96,,,,77,0.10919973,6.477763685,83,11.80944393,0.291694591,0.9988081
869,0,Zr-CDC,Hydrogen,0,0,0,0,0.1086,-1.2,1880,0.93,0.06,0.87,,,,77,0.252844501,5.825923875,84,9.617250788,0.241704665,0.988765879
881,12,AC-600,Hydrogen,0,0,0,0,0.1086,-1.2,1910,0.98,0.17,0.82,,,,77,0.278128951,6.652317915,85,10.99978351,0.268215826,0.994963072
895,26,AC-800,Hydrogen,0,0,0,0,0.1086,-1.2,2460,1.23,0.19,1.04,,,,77,0.227560051,7.685480248,86,12.68080743,0.274270135,0.99735603
909,40,AC-700,Hydrogen,0,0,0,0,0.1086,-1.2,2640,1.36,0.28,1.08,,,,77,0.303413401,9.25557146,87,13.05596791,0.281148558,0.998174722
924,55,AC-900,Hydrogen,0,0,0,0,0.1086,-1.2,2770,1.47,0.49,0.98,,,,77,0.202275601,8.470656455,88,13.66580765,0.271878895,0.998499158
939,0,G8-5N3A1,Hydrogen,0,0,0,0,0.1086,-1.2,3049,1.53,,,,,,77,0.247990815,2.102688356,89,5.277797138,0.331463156,0.972679947
949,10,G8-5N3B1,Hydrogen,0,0,0,0,0.1086,-1.2,3460,1.69,,,,,,77,0.33065442,4.849039021,90,9.853262276,0.360086834,0.987951388
960,21,G8-5N3C1.5,Hydrogen,0,0,0,0,0.1086,-1.2,3969,1.93,,,,,,77,0.234213548,3.856002207,91,14.67285999,0.40360437,0.973333272
970,0,CTP,Hydrogen,0,0,0,0,0.1086,-1.2,960,1.13,0.83,0.3,,,,77,0.467128028,3.295847751,92,4.034499692,0.189220581,0.978542933
977,7,CTP-573-Pd,Hydrogen,0,0,0,0,0.1086,-1.2,743,0.83,0.56,0.27,,,,77,0.778546713,2.086065688,93,3.585552111,0.233842427,0.890474782
985,15,CTP-773-Pd,Hydrogen,0,0,0,0,0.1086,-1.2,777,0.83,0.58,0.25,,,,77,0.467128028,3.084154202,94,3.914750976,0.210668009,0.988587922
992,22,CTs,Hydrogen,0,0,0,0,0.1086,-1.2,1540,1.14,0.6,0.54,,,,77,0.460750853,4.88866647,95,7.833075738,0.199114469,0.898632474
998,28,CTs-573-Pd,Hydrogen,0,0,0,0,0.1086,-1.2,1240,0.94,0.41,0.53,,,,77,1.228668942,8.962855632,96,8.715764105,0.127303338,0.975186147
1005,35,CTs-773-Pd,Hydrogen,0,0,0,0,0.1086,-1.2,1350,1.1,0.61,0.49,,,,77,0.767918089,6.72960974,97,8.128391429,0.173283226,0.946190059
1011,0,OMC,Hydrogen,0,0,0,0,0.1086,-1.2,1011,1.12,0.73,0.39,,,,298,5.886287625,0.107677578,98,0.023625932,0.924387138,0.997773794
1018,7,OMC-2-co,Hydrogen,0,0,0,0,0.1086,-1.2,789,0.99,0.68,0.31,,,,298,5.217391304,0.15832568,99,0.037675995,0.897928518,0.999712789
1025,14,OMC-5-co,Hydrogen,0,0,0,0,0.1086,-1.2,776,0.93,0.64,0.29,,,,298,5.418060201,0.27098099,100,0.056489533,0.906336816,0.99938563
1032,21,OMC-8-co,Hydrogen,0,0,0,0,0.1086,-1.2,554,0.39,0.15,0.24,,,,298,5.418060201,0.27098099,101,0.061390601,0.895933287,0.999261323
1039,0,C-CP-1,Hydrogen,0,0,0,0,0.1086,-1.2,3255,1.43,1.3,0.13,,,,77,0.381000344,5.814554916,102,10.66618137,0.346735038,0.987562931
1050,11,C-CP-2,Hydrogen,0,0,0,0,0.1086,-1.2,3290,1.5,1.34,0.16,,,,77,0.120707649,2.796388589,103,11.49270413,0.358516342,0.988824749
1065,26,C-CP-3,Hydrogen,0,0,0,0,0.1086,-1.2,3315,2.39,0.95,1.44,,,,77,0.237772847,2.041356069,104,9.359448839,0.366960423,0.965366636
1078,0,MCN-1-3h,Hydrogen,0,0,0,0,0.1086,-1.2,872,0.84,0.35,0.49,92.7,4.3,2.3,77,0.017478593,1.365448505,105,5.181884674,0.275213367,0.962803878
1091,13,MCN-1-1h,Hydrogen,0,0,0,0,0.1086,-1.2,597,0.73,0.46,0.27,87.8,5.6,4.5,77,0.010021876,0.946843854,106,3.565275832,0.231704305,0.966689953
1105,27,MCN-1,Hydrogen,0,0,0,0,0.1086,-1.2,408,0.38,0.21,0.17,65.5,17.4,13.8,77,0.009983103,0.757475083,107,3.208982281,0.233468807,0.95206092
1117,0,D1000-SU-K6,Hydrogen,0,0,0,0,0.1086,-1.2,2259,,,0.97,,,,298,1.700370129,0.09073724,108,0.172676946,0.646035346,0.992778868
1130,13,D1000-K4,Hydrogen,0,0,0,0,0.1086,-1.2,1456,,,0.67,,,,298,9.453702086,0.487712665,109,0.13760137,0.685925509,0.99258534
1141,24,D1000-K3,Hydrogen,0,0,0,0,0.1086,-1.2,1288,,,0.59,,,,298,10.45829296,0.419659735,110,0.148971647,0.635381146,0.986787237
1153,36,D1000-K2,Hydrogen,0,0,0,0,0.1086,-1.2,966,,,0.46,,,,298,7.767946498,0.396975425,111,0.173269715,0.588571509,0.989953384
1165,48,D1000-K1,Hydrogen,0,0,0,0,0.1086,-1.2,683,,,0.31,,,,298,9.443535448,0.306238185,112,0.142493813,0.593869696,0.983215162
1177,60,D700-SU-K3,Hydrogen,0,0,0,0,0.1086,-1.2,2364,,,1.02,,,,298,9.047619048,0.485407066,113,0.170130448,0.649409027,0.990524675
1186,69,D700-K5,Hydrogen,0,0,0,0,0.1086,-1.2,2888,,,1.23,,,,298,1.428571429,0.097695853,114,0.171727393,0.666607943,0.991256931
1197,80,D700-K3,Hydrogen,0,0,0,0,0.1086,-1.2,2004,,,0.94,,,,298,9.047619048,0.533794163,115,0.19197779,0.633963659,0.989688833
1208,91,D700-K2,Hydrogen,0,0,0,0,0.1086,-1.2,1491,,,0.71,,,,298,20.95238095,0.808947773,116,0.15024617,0.649339937,0.984728485
1218,101,D700-K1,Hydrogen,0,0,0,0,0.1086,-1.2,999,,,0.46,,,,298,11.42857143,0.501728111,117,0.151916837,0.619062708,0.985129485
1229,112,D1000-SU-K6,Hydrogen,0,0,0,0,0.1086,-1.2,2259,,,0.97,,,,77,1.052631579,11.9358277,118,13.55123015,0.143371451,0.917884974
1238,121,D1000-K6,Hydrogen,0,0,0,0,0.1086,-1.2,1894,,,0.89,,,,77,1.244019139,8.862867873,119,9.700374114,0.152762361,0.903324304
1247,130,D1000-K4,Hydrogen,0,0,0,0,0.1086,-1.2,1456,,,0.67,,,,77,0.861244019,10.39984897,120,11.52907117,0.122571464,0.930292859
1255,138,D700-SU-K3,Hydrogen,0,0,0,0,0.1086,-1.2,2364,,,1.02,,,,77,0.91954023,12.42823775,121,14.07249399,0.147999923,0.922344492
