,Unnamed: 0,GAC,GAS,E,S,A,B,V,L,BET,Vt,Vmeso,Vmic,%C,%O,%N,Temp(K),Pressure,Adsorp(mmol/g),Index,K,n,R2
209,72,C800-4,Ethane,0,0,0,0,0.3904,0.492,3111,1.92,,,91.62,7.67,0.7,298,0.013182674,0.373085888,19,6.785973787,0.626768751,0.998955101
221,84,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,3111,1.92,,,91.62,7.67,0.7,298,0.016007533,0.258358803,20,5.326997617,0.667891387,0.999035071
233,96,C800-5,Ethane,0,0,0,0,0.3904,0.492,3067,2.1,,,91.88,7.52,0.61,298,0.011534108,0.291262136,21,5.106268532,0.6587859,0.999546934
245,108,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,3067,2.1,,,91.88,7.52,0.61,298,0.015345598,0.145631068,22,4.043530328,0.699307729,0.99870122
256,119,C600-3,Ethane,0,0,0,0,0.3904,0.492,1971,0.95,,,88.6,10.08,1.31,288,0.008717726,0.766451613,23,7.260947567,0.419366329,0.996249266
267,130,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,1971,0.95,,,88.6,10.08,1.31,288,0.013481518,0.441290323,24,6.372005837,0.483612826,0.992951298
278,141,C700-3,Ethane,0,0,0,0,0.3904,0.492,2546,1.28,,,89.41,9.72,0.88,288,0.007599336,0.613636364,25,8.933756836,0.491348168,0.996742998
288,151,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2546,1.28,,,89.41,9.72,0.88,288,0.015033623,0.443181818,26,7.340738337,0.550261109,0.996728771
299,162,C800-3,Ethane,0,0,0,0,0.3904,0.492,2866,1.6,,,91.18,8.05,0.77,288,0.009689922,0.528720627,27,8.750053876,0.534544873,0.99772793
311,174,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2866,1.6,,,91.18,8.05,0.77,288,0.015503876,0.34073107,28,6.905004986,0.588757867,0.997582062
323,186,C800-4,Ethane,0,0,0,0,0.3904,0.492,3111,1.92,,,91.62,7.67,0.7,288,0.008341737,0.304987535,29,7.613813767,0.62167975,0.998538647
332,195,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,3111,1.92,,,91.62,7.67,0.7,288,0.011142936,0.20338805,30,6.383013404,0.661183831,0.998609637
343,206,C800-5,Ethane,0,0,0,0,0.3904,0.492,3067,2.1,,,91.88,7.52,0.61,288,0.012087308,0.272864629,31,5.879094348,0.631012629,0.998581359
353,216,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,3067,2.1,,,91.88,7.52,0.61,288,0.012097899,0.170592022,32,4.803448253,0.677723416,0.999201526
363,227,C600-3,Ethane,0,0,0,0,0.3904,0.492,1971,0.95,,,88.6,10.08,1.31,308,0.0544867,1.274545933,33,5.637240234,0.474952685,0.996929101
372,236,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,1971,0.95,,,88.6,10.08,1.31,308,0.016240719,0.32486465,34,4.864065633,0.541490903,0.996247834
383,247,C700-3,Ethane,0,0,0,0,0.3904,0.492,2546,1.28,,,89.41,9.72,0.88,308,0.008279669,0.339232406,35,6.320092458,0.564246246,0.998759862
394,258,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2546,1.28,,,89.41,9.72,0.88,308,0.011039558,0.137370441,36,5.094437026,0.630831752,0.996381882
406,270,C800-3,Ethane,0,0,0,0,0.3904,0.492,2866,1.6,,,91.18,8.05,0.77,308,0.014759537,0.345268542,37,6.154225549,0.595971606,0.998159746
416,280,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2866,1.6,,,91.18,8.05,0.77,308,0.017424391,0.199488491,38,4.849393487,0.647543522,0.997651999
425,289,C800-4,Ethane,0,0,0,0,0.3904,0.492,3111,1.92,,,91.62,7.67,0.7,308,0.012100259,0.258044047,39,5.319668391,0.658507915,0.999383354
435,299,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,3111,1.92,,,91.62,7.67,0.7,308,0.011235955,0.151728061,40,4.274730085,0.68189727,0.999044367
445,309,C800-5,Ethane,0,0,0,0,0.3904,0.492,3067,2.1,,,91.88,7.52,0.61,308,0.006978152,0.184271817,41,4.335146712,0.68361,0.999290305
455,319,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,3067,2.1,,,91.88,7.52,0.61,308,0.014904801,0.122690358,42,3.009859268,0.710374539,0.999394449
464,50,RX 1.5,Ethane,0,0,0,0,0.3904,0.492,1683,0.81,0.2,0.61,,,,303,0.02,1.68,43,7.836660883,0.268479894,0.935861527
472,58,RX 0.8,Ethane,0,0,0,0,0.3904,0.492,1323,0.64,0.16,0.48,,,,303,0.02,1.74,44,6.537967862,0.253248984,0.974515309
481,67,CGRAN,Ethane,0,0,0,0,0.3904,0.492,1378,0.99,0.54,0.45,,,,303,0.04,1.36,45,5.981612547,0.357606439,0.978527924
489,75,CNR-115,Ethane,0,0,0,0,0.3904,0.492,1714,0.95,0.31,0.64,,,,303,0.04,1.24,46,6.978430856,0.369613661,0.958010293
497,83,GAC 1240,Ethane,0,0,0,0,0.3904,0.492,982,0.56,0.2,0.36,,,,303,0.04,2.81,47,6.514051233,0.204503032,0.910284683
503,89,RX 1.5,Propane,0,0,0,0,0.5313,1.05,1683,0.81,0.2,0.61,,,,303,0.01,2.25,48,9.804847219,0.236017325,0.919370648
511,97,RX 0.8,Propane,0,0,0,0,0.5313,1.05,1323,0.64,0.16,0.48,,,,303,0.05,4.33,49,6.968812278,0.151695983,0.98962625
518,104,CGRAN,Propane,0,0,0,0,0.5313,1.05,1378,0.99,0.54,0.45,,,,303,0.03,2.84,50,8.439207956,0.30061529,0.998219087
526,112,CNR-115,Propane,0,0,0,0,0.5313,1.05,1714,0.95,0.31,0.64,,,,303,0.01,0.95,51,10.92041414,0.410969898,0.974409451
535,121,GAC 1240,Propane,0,0,0,0,0.5313,1.05,982,0.56,0.2,0.36,,,,303,0.01,1.94,52,8.37611418,0.276243166,0.984985417
542,41,TC,Ethane,0,0,0,0,0.3904,0.492,1500,1.3,0.52,0.78,,,,263,0.329,3.09,53,4.918263785,0.359517318,0.996823809
553,52,,Ethane,0,0,0,0,0.3904,0.492,1500,1.3,0.52,0.78,,,,273,0.342,2.421,54,4.230845848,0.332539812,0.987597157
563,62,,Ethane,0,0,0,0,0.3904,0.492,1500,1.3,0.52,0.78,,,,303,0.264,1.429,55,3.019068283,0.356532778,0.987950608
572,0,C-PDA-2,Ethane,0,0,0,0,0.3904,0.492,2715,1.16,,,,,,298,0.038299298,0.981274146,56,8.113487399,0.56392733,0.995288629
581,9,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2715,1.16,,,,,,298,0.009569897,0.265749428,57,6.757120797,0.605302888,0.997648735
593,21,C-PDA-3,Ethane,0,0,0,0,0.3904,0.492,3160,1.51,,,,,,298,0.015303933,0.314598802,58,6.740530977,0.630229311,0.997469333
606,34,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,3160,1.51,,,,,,298,0.011508235,0.104704748,59,5.208157386,0.659356469,0.997929991
618,46,C-PDA-4,Ethane,0,0,0,0,0.3904,0.492,3291,1.78,,,,,,298,0.007100512,0.189741919,60,5.88843518,0.657160114,0.999215815
630,58,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,3291,1.78,,,,,,298,0.007125901,0.075998324,61,4.580892415,0.696075013,0.998138482
642,70,C-PDA-5,Ethane,0,0,0,0,0.3904,0.492,2847,1.97,,,,,,298,0.010299106,0.208037825,62,4.991577494,0.665957487,0.999242439
654,82,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2847,1.97,,,,,,298,0.008658649,0.056737589,63,3.964305143,0.70099717,0.997701789
665,93,C-PAD-3,Ethane,0,0,0,0,0.3904,0.492,3160,1.51,,,,,,273,0.030141844,1.129895934,64,9.622297945,0.554474095,0.996112478
676,104,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,3160,1.51,,,,,,273,0.035460993,0.903631633,65,7.751081796,0.592087587,0.998523985
687,115,,Ethane,0,0,0,0,0.3904,0.492,3160,1.51,,,,,,288,0.035460993,0.803129121,66,7.566564018,0.612520551,0.997682811
697,125,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,3160,1.51,,,,,,288,0.076241135,1.053360776,67,6.100109931,0.635449324,0.997497733
706,134,,Ethane,0,0,0,0,0.3904,0.492,3160,1.51,,,,,,313,0.028368794,0.401297266,68,5.096007928,0.685151584,0.99821741
715,143,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,3160,1.51,,,,,,313,0.031914894,0.2504544,69,4.013799697,0.738989754,0.998935613
724,0,CMK-3,Ethane,0,0,0,0,0.3904,0.492,1182,1.19,,,,,,303,0.00736594,0.447468968,70,3.125933545,0.385167994,0.998193144
735,11,,Ethane,0,0,0,0,0.3904,0.492,1182,1.19,,,,,,323,0.019179957,0.34991541,71,2.665396445,0.453936471,0.996645354
745,21,,Ethane,0,0,0,0,0.3904,0.492,1182,1.19,,,,,,343,0.019275001,0.25258996,72,2.222536175,0.509449747,0.99720373
755,31,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,1182,1.19,,,,,,303,0.024830346,0.563917349,73,2.909181915,0.417646959,0.998901652
765,41,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,1182,1.19,,,,,,323,0.030822894,0.427547665,74,2.371198356,0.475156472,0.998826002
775,51,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,1182,1.19,,,,,,343,0.019351037,0.174729599,75,1.949943116,0.548208297,0.997559783
784,0,pit-GAC,Ethane,0,0,0,0,0.3904,0.492,645,0.287,0.073,0.214,,,,303,0.165,0.465,76,2.276468631,0.283187754,0.76269954
796,12,,Ethane,0,0,0,0,0.3904,0.492,645,0.287,0.073,0.214,,,,318,0.315,0.292,77,1.531491663,0.389762708,0.801968167
808,24,,Ethane,0,0,0,0,0.3904,0.492,645,0.287,0.073,0.214,,,,333,0.165,0.122,78,1.389898158,0.402421925,0.847453604
822,83,pit-GAC,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,645,0.287,0.073,0.214,,,,303,0.232,0.759,79,2.016584976,0.302332035,0.896373147
835,96,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,645,0.287,0.073,0.214,,,,318,0.265,0.71,80,1.762245271,0.316368376,0.908457373
848,109,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,645,0.287,0.073,0.214,,,,333,0.181,0.117,81,1.362075848,0.414540085,0.889522034
865,38,BDH-AC,Ethane,0,0,0,0,0.3904,0.492,1220,0.534,0.055,0.479,,,,313,0.048879837,0.498880079,82,1.934578129,0.33324689,0.965047442
875,48,,Ethane,0,0,0,0,0.3904,0.492,1220,0.534,0.055,0.479,,,,323,0.122199593,0.482354592,83,1.654740956,0.355512895,0.952777457
887,60,,Ethane,0,0,0,0,0.3904,0.492,1220,0.534,0.055,0.479,,,,333,0.15885947,0.424210613,84,1.405770194,0.413799153,0.951954822
898,26,Co-NDPC-500,Acetylene,0.19,0.47,0.12,0.05,0.3044,0.07,720,0.64,0.31,0.33,67.3,21.18,11.52,298,0.022876221,0.792838875,85,4.099025883,0.391778221,0.995589774
910,38,Co-NDPC-500,Ethane,0,0,0,0,0.3904,0.492,720,0.64,0.31,0.33,67.3,21.18,11.52,298,0.024716878,0.511508951,86,3.113560863,0.389771313,0.986272977
926,54,Co-NDPC-500,Propane,0,0,0,0,0.5312,1.05,720,0.64,0.31,0.33,67.3,21.18,11.52,298,0.008743122,1.170076726,87,3.80616736,0.194294734,0.962870012
940,91,Co-NDPC-600,Acetylene,0.19,0.47,0.12,0.05,0.3044,0.07,911,0.54,0.1,0.44,70.06,18.2,11.74,298,0.021379981,1.001103808,88,6.848582279,0.436753507,0.994113062
953,104,Co-NDPC-600,Ethane,0,0,0,0,0.3904,0.492,911,0.54,0.1,0.44,70.06,18.2,11.74,298,0.009718173,0.692306597,89,6.085547733,0.381135853,0.987563025
967,118,Co-NDPC-600,Propane,0,0,0,0,0.5312,1.05,911,0.54,0.1,0.44,70.06,18.2,11.74,298,0.011661808,2.417984961,90,5.707459466,0.1706853,0.970834797
984,156,Co-NDPC-700,Acetylene,0.19,0.47,0.12,0.05,0.3044,0.07,1149,1.58,1.12,0.46,74.99,14.15,10.86,298,0.034164477,0.972050506,91,6.026033689,0.468058262,0.993579515
996,168,Co-NDPC-700,Ethane,0,0,0,0,0.3904,0.492,1149,1.58,1.12,0.46,74.99,14.15,10.86,298,0.016517059,0.691158226,92,5.427938523,0.400832565,0.986627808
1010,182,Co-NDPC-700,Propane,0,0,0,0,0.5312,1.05,1149,1.58,1.12,0.46,74.99,14.15,10.86,298,0.006103409,3.012233383,93,7.610134974,0.149209476,0.968524057
1024,218,Co-NDPC-800,Acetylene,0.19,0.47,0.12,0.05,0.3044,0.07,1187,1.06,0.54,0.52,82.44,11.25,6.31,298,0.024890893,0.630142156,94,5.683011471,0.510795693,0.996167875
1038,232,Co-NDPC-800,Ethane,0,0,0,0,0.3904,0.492,1187,1.06,0.54,0.52,82.44,11.25,6.31,298,0.015973001,0.705494878,95,5.486618913,0.42561105,0.98981924
1051,245,Co-NDPC-800,Propane,0,0,0,0,0.5312,1.05,1187,1.06,0.54,0.52,82.44,11.25,6.31,298,0.004214931,1.740551741,96,6.423798516,0.205602835,0.965500396
1067,279,Co-NDPC-900,Acetylene,0.19,0.47,0.12,0.05,0.3044,0.07,1168,1.13,0.62,0.51,77.53,19.12,3.35,298,0.026926648,0.6589071,97,6.075248546,0.536680477,0.996889584
1078,290,Co-NDPC-900,Ethane,0,0,0,0,0.3904,0.492,1168,1.13,0.62,0.51,77.53,19.12,3.35,298,0.019498607,0.758856443,98,5.975367479,0.431735465,0.988393899
1090,302,Co-NDPC-900,Propane,0,0,0,0,0.5312,1.05,1168,1.13,0.62,0.51,77.53,19.12,3.35,298,0.009285051,1.697784918,99,7.266017943,0.222613291,0.957581956
1106,338,Co-NDPC-500,Acetylene,0.19,0.47,0.12,0.05,0.3044,0.07,720,0.64,0.31,0.33,67.3,21.18,11.52,273,0.012302655,0.590574844,100,4.072639271,0.393990503,0.996120058
1118,350,Co-NDPC-500,Ethane,0,0,0,0,0.3904,0.492,720,0.64,0.31,0.33,67.3,21.18,11.52,273,0.016328699,0.418843896,101,3.102059919,0.397706144,0.986505743
1130,362,Co-NDPC-500,Propane,0,0,0,0,0.5312,1.05,720,0.64,0.31,0.33,67.3,21.18,11.52,273,0.004253355,0.947772985,102,3.785846159,0.193132945,0.95561432
1147,403,Co-NDPC-600,Acetylene,0.19,0.47,0.12,0.05,0.3044,0.07,911,0.54,0.1,0.44,70.06,18.2,11.74,273,0.019533591,1.541991228,103,8.178074775,0.344204932,0.985644313
1160,416,Co-NDPC-600,Ethane,0,0,0,0,0.3904,0.492,911,0.54,0.1,0.44,70.06,18.2,11.74,273,0.007723558,1.250497328,104,7.214912259,0.287109797,0.973064521
1174,430,Co-NDPC-600,Propane,0,0,0,0,0.5312,1.05,911,0.54,0.1,0.44,70.06,18.2,11.74,273,0.009569063,2.294525801,105,5.871983115,0.148587841,0.947243172
1188,467,Co-NDPC-700,Acetylene,0.19,0.47,0.12,0.05,0.3044,0.07,1149,1.58,1.12,0.46,74.99,14.15,10.86,273,0.013157895,1.364672238,106,8.151651151,0.355988713,0.990767303
1199,478,Co-NDPC-700,Ethane,0,0,0,0,0.3904,0.492,1149,1.58,1.12,0.46,74.99,14.15,10.86,273,0.006578947,0.918815197,107,6.635590327,0.299065117,0.971583955
1211,490,Co-NDPC-700,Propane,0,0,0,0,0.5312,1.05,1149,1.58,1.12,0.46,74.99,14.15,10.86,273,0.006578947,3.378274656,108,7.794509931,0.134361974,0.963299444
1225,527,Co-NDPC-800,Acetylene,0.19,0.47,0.12,0.05,0.3044,0.07,1187,1.06,0.54,0.52,82.44,11.25,6.31,273,0.02072128,1.231528134,109,7.995528051,0.410585064,0.99137078
1239,541,Co-NDPC-800,Ethane,0,0,0,0,0.3904,0.492,1187,1.06,0.54,0.52,82.44,11.25,6.31,273,0.014197218,0.95346885,110,6.882693314,0.341259464,0.96765923
1254,556,Co-NDPC-800,Propane,0,0,0,0,0.5312,1.05,1187,1.06,0.54,0.52,82.44,11.25,6.31,273,0.010100215,2.63564232,111,6.657502835,0.146502029,0.937740422
1269,591,Co-NDPC-900,Acetylene,0.19,0.47,0.12,0.05,0.3044,0.07,1168,1.13,0.62,0.51,77.53,19.12,3.35,273,0.017857143,1.199714886,112,8.740604974,0.426234626,0.993867821
1281,603,Co-NDPC-900,Ethane,0,0,0,0,0.3904,0.492,1168,1.13,0.62,0.51,77.53,19.12,3.35,273,0.009453782,1.38554922,113,7.499694066,0.320452249,0.987850136
1294,616,Co-NDPC-900,Propane,0,0,0,0,0.5312,1.05,1168,1.13,0.62,0.51,77.53,19.12,3.35,273,0.007352941,2.685579232,114,7.801021779,0.157864198,0.934167825
1309,0,G-BAG-G70-R,cyclopentane,0.26,0.1,0,0,0.7045,2.477,1339,0.536,0.16616,0.36984,,,,303,0.00182369,2.476795328,115,5.709621621,0.093958611,0.857962937
1321,12,A-BAG-SP,cyclopentane,0.26,0.1,0,0,0.7045,2.477,1317,0.519,0.15051,0.36849,,,,303,0.004006919,3.161512963,116,5.324243219,0.072933445,0.908189071
1331,22,Chem-A,cyclopentane,0.26,0.1,0,0,0.7045,2.477,1566,0.718,0.3231,0.3949,,,,303,0.006555464,2.06253226,117,6.190316372,0.132210418,0.823914587
1347,38,Chem-D,cyclopentane,0.26,0.1,0,0,0.7045,2.477,878,0.466,0.26562,0.20038,,,,303,0.006483268,1.85119457,118,4.278551925,0.163172943,0.990674134
1360,0,HPC800-0.5,Propane,0,0,0,0,0.5312,1.05,3328,2.347,1.674,0.673,,4.68,0.77,298,0.023668639,1.74336279,119,12.33408563,0.445773628,0.993739923
1370,10,,Ethane,0,0,0,0,0.3904,0.492,3328,2.347,1.674,0.673,,4.68,0.77,298,0.019723866,0.365017864,120,6.775157351,0.685106494,0.999066048
1378,25,HPC800-1.0,Propane,0,0,0,0,0.5312,1.05,3131,2.202,1.565,0.637,,5.63,1.72,298,0.012512584,1.194312796,121,10.9713454,0.437079578,0.993012393
1390,37,,Ethane,0,0,0,0,0.3904,0.492,3131,2.202,1.565,0.637,,5.63,1.72,298,0.021313224,0.312796209,122,5.706478269,0.712817477,0.999158595
1399,54,HPC800-1.5,Propane,0,0,0,0,0.5312,1.05,2626,1.688,1.04,0.648,,6.29,1.73,298,0.012896825,1.508042895,123,9.250914109,0.337078204,0.986848207
1409,64,,Ethane,0,0,0,0,0.3904,0.492,2626,1.688,1.04,0.648,,6.29,1.73,298,0.021825397,0.434316354,124,5.739287564,0.618937263,0.998794709
1418,80,HPC800,Propane,0,0,0,0,0.5312,1.05,3588,2.605,1.983,0.622,,3.51,,288,0.005070363,1.078379,125,13.86170028,0.410385307,0.990561067
1431,93,,Ehtane,0,0,0,0,0.3904,0.492,3588,2.605,1.983,0.622,,3.51,,288,0.017772174,0.413652203,126,7.482024362,0.652780715,0.998256519
1441,113,,Propane,0,0,0,0,0.5312,1.05,3588,2.605,1.983,0.622,,3.51,,298,0.011887613,0.909030695,127,11.47859238,0.437008252,0.987300107
1456,128,,Ethane,0,0,0,0,0.3904,0.492,3588,2.605,1.983,0.622,,3.51,,298,0.01375656,0.369412266,128,6.603741319,0.672629983,0.997603548
1465,144,HPC800-0.5,Propane,0,0,0,0,0.5312,1.05,3328,2.347,1.674,0.673,,4.68,0.77,288,0.021276864,2.238048601,129,15.36141422,0.430982227,0.991573933
1473,152,,Ethane,0,0,0,0,0.3904,0.492,3328,2.347,1.674,0.673,,4.68,0.77,288,0.019156755,0.627214294,130,10.48292308,0.588677416,0.996835852
1481,167,HPC800-1,Propane,0,0,0,0,0.5312,1.05,3131,2.202,1.565,0.637,,5.63,1.72,288,0.013371538,2.639434709,131,14.4157381,0.346865001,0.995664493
1490,176,,Ethane,0,0,0,0,0.3904,0.492,3131,2.202,1.565,0.637,,5.63,1.72,288,0.025787966,1.556006282,132,8.535159532,0.527968882,0.995910161
1498,45,BDH-activatedcarbon,Ethane,0,0,0,0,0.3904,0.492,1220,0.534,0.055,0.479,,,,313,0.042735043,0.493167329,133,1.936743073,0.332045379,0.970385197
1508,55,,Ethane,0,0,0,0,0.3904,0.492,1220,0.534,0.055,0.479,,,,323,0.145299145,0.48491064,134,1.680337477,0.359679561,0.939357845
1523,70,,Ethane,0,0,0,0,0.3904,0.492,1220,0.534,0.055,0.479,,,,333,0.226495726,0.484827899,135,1.414728604,0.414171051,0.945240264
1537,0,MC-S-Ag-3,Propylene,0.1,0.08,0,0.07,0.4883,0.946,1193,0.58,0.15,0.43,,,,298,0.016320749,1.204634321,136,5.645858512,0.29212749,0.974404019
1552,15,,Propane,0,0,0,0,0.5312,1.05,1193,0.58,0.15,0.43,,,,298,0.013420118,0.863836854,137,4.9491834,0.310666967,0.977611245
1565,28,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,1193,0.58,0.15,0.43,,,,298,0.012394744,0.380357023,138,3.393413151,0.467607063,0.999356493
1578,41,,Ethane,0,0,0,0,0.3904,0.492,1193,0.58,0.15,0.43,,,,298,0.019949672,0.150446191,139,2.63412275,0.612752048,0.998140703
1590,0,Norit-GAC,Ethane,0,0,0,0,0.3904,0.492,1300,0.622,,,,,,298,0.013389063,0.511764706,140,4.48383364,0.442510664,0.993795652
1605,15,,Propane,0,0,0,0,0.5312,1.05,1300,0.622,,,,,,298,0.010667356,1.332352941,141,5.879189085,0.235714753,0.953840627
1621,10,ANPC_1-800,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2836,1.35,0.827,0.523,92.19,5.88,1.93,298,0.023566308,0.611825217,142,5.872911547,0.57123726,0.997501682
1635,24,,Ethane,0,0,0,0,0.3904,0.492,2836,1.35,0.827,0.523,92.19,5.88,1.93,298,0.011322374,0.428198559,143,7.048794049,0.546400659,0.996793362
1648,37,,Propylene,0.1,0.08,0,0.07,0.4883,0.946,2836,1.35,0.827,0.523,92.19,5.88,1.93,298,0.031286326,3.088376351,144,10.25549649,0.313209088,0.988882579
1660,49,,Propane,0,0,0,0,0.5312,1.05,2836,1.35,0.827,0.523,92.19,5.88,1.93,298,0.046359656,3.363766007,145,10.05353322,0.288649561,0.975153142
1675,74,ANPC-2-700,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2729,1.5,1.3,0.2,85.16,9.52,5.32,298,0.049701474,0.692192609,146,4.778304974,0.573422836,0.997137161
1686,85,,Ethane,0,0,0,0,0.3904,0.492,2729,1.5,1.3,0.2,85.16,9.52,5.32,298,0.023985199,0.490141474,147,5.035481233,0.556441823,0.997694546
1700,99,,Propylene,0.1,0.08,0,0.07,0.4883,0.946,2729,1.5,1.3,0.2,85.16,9.52,5.32,298,0.015317054,1.772129448,148,9.397624132,0.333273871,0.988375807
1714,113,,Propane,0,0,0,0,0.5312,1.05,2729,1.5,1.3,0.2,85.16,9.52,5.32,298,0.014399413,1.556029794,149,9.091906344,0.339368847,0.987323646
1728,138,ANPC-2-800,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,3177,2.18,2.14,0.04,94.94,3.63,1.42,298,0.027312864,0.328963051,150,4.982113332,0.676440921,0.998750236
1743,153,,Ethane,0,0,0,0,0.3904,0.492,3177,2.18,2.14,0.04,94.94,3.63,1.42,298,0.04054332,0.686531585,151,6.317727635,0.663827125,0.999177439
1759,169,,Propylene,0.1,0.08,0,0.07,0.4883,0.946,3177,2.18,2.14,0.04,94.94,3.63,1.42,298,0.029204578,2.116805721,152,11.66936696,0.412530471,0.990763843
1777,187,,Propane,0,0,0,0,0.5312,1.05,3177,2.18,2.14,0.04,94.94,3.63,1.42,298,0.014190477,1.444576877,153,11.95149501,0.401985374,0.990744879
1796,217,ANPC-1-600,Ethane,0,0,0,0,0.3904,0.492,1473,0.637,0.173,0.464,82.47,10.26,7.27,298,0.019608805,0.358238579,154,3.911093094,0.441382667,0.983774652
1810,231,,Propylene,0.1,0.08,0,0.07,0.4883,0.946,1473,0.637,0.173,0.464,82.47,10.26,7.27,298,0.052609337,2.719177345,155,5.348958541,0.197611536,0.974067936
1821,242,,Propane,0,0,0,0,0.5312,1.05,1473,0.637,0.173,0.464,82.47,10.26,7.27,298,0.013209709,0.996834481,156,4.964390079,0.237171586,0.906971438
1833,263,ANPC-1-700,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2266,1.03,0.384,0.646,85.78,9.82,4.4,298,0.049230769,0.936648143,157,5.259185708,0.515129696,0.996546289
